ACN,Date
10.927639961242676,2001-07-19
10.812386512756348,2001-07-20
10.805180549621582,2001-07-23
10.70433521270752,2001-07-24
10.769165992736816,2001-07-25
10.4450101852417,2001-07-26
10.452214241027832,2001-07-27
10.589079856872559,2001-07-30
10.77637004852295,2001-07-31
11.16535758972168,2001-08-01
11.093321800231934,2001-08-02
10.913233757019043,2001-08-03
10.877218246459961,2001-08-06
11.16535758972168,2001-08-07
10.805180549621582,2001-08-08
11.16535758972168,2001-08-09
10.942047119140625,2001-08-10
10.812386512756348,2001-08-13
10.589079856872559,2001-08-14
10.653907775878906,2001-08-15
10.120855331420898,2001-08-16
10.459416389465332,2001-08-17
11.05730152130127,2001-08-20
11.136542320251465,2001-08-21
11.050098419189453,2001-08-22
10.985271453857422,2001-08-23
11.093321800231934,2001-08-24
11.150948524475098,2001-08-27
11.064506530761719,2001-08-28
10.812386512756348,2001-08-29
10.769165992736816,2001-08-30
10.733148574829102,2001-08-31
11.078912734985352,2001-09-04
10.740352630615234,2001-09-05
10.4450101852417,2001-09-06
10.459416389465332,2001-09-07
10.913233757019043,2001-09-10
10.517045021057129,2001-09-17
10.481026649475098,2001-09-18
10.048819541931152,2001-09-19
9.328475952148438,2001-09-20
9.184403419494629,2001-09-21
9.508562088012695,2001-09-24
9.22042179107666,2001-09-25
8.788214683532715,2001-09-26
8.536093711853027,2001-09-27
9.184403419494629,2001-09-28
9.148386001586914,2001-10-01
9.061944961547852,2001-10-02
9.328475952148438,2001-10-03
9.717462539672852,2001-10-04
9.760680198669434,2001-10-05
9.530170440673828,2001-10-08
9.652628898620605,2001-10-09
9.847124099731445,2001-10-10
10.920441627502441,2001-10-11
11.92171573638916,2001-10-12
12.606043815612793,2001-10-15
12.570028305053711,2001-10-16
12.231467247009277,2001-10-17
12.029770851135254,2001-10-18
12.137822151184082,2001-10-19
12.606043815612793,2001-10-22
12.692488670349121,2001-10-23
12.77892780303955,2001-10-24
12.77892780303955,2001-10-25
12.692488670349121,2001-10-26
12.64206314086914,2001-10-29
12.49799919128418,2001-10-30
12.65647029876709,2001-10-31
13.189526557922363,2001-11-01
13.146308898925781,2001-11-02
13.038256645202637,2001-11-05
12.944608688354492,2001-11-06
13.614531517028809,2001-11-07
14.370889663696289,2001-11-08
14.370889663696289,2001-11-09
14.039532661437988,2001-11-12
14.983185768127441,2001-11-13
14.558184623718262,2001-11-14
14.58699893951416,2001-11-15
15.156068801879883,2001-11-16
15.847599029541016,2001-11-19
15.307342529296875,2001-11-20
14.65903377532959,2001-11-21
14.803096771240234,2001-11-23
15.487428665161133,2001-11-26
16.207773208618164,2001-11-27
15.739553451538086,2001-11-28
15.437005996704102,2001-11-29
16.27980613708496,2001-11-30
16.495912551879883,2001-12-03
17.432361602783203,2001-12-04
19.19720458984375,2001-12-05
18.909069061279297,2001-12-06
