HES,Date
4.298669338226318,1980-03-17
4.448491096496582,1980-03-18
4.460013389587402,1980-03-19
4.356290817260742,1980-03-20
4.2756218910217285,1980-03-21
4.022082805633545,1980-03-24
3.918361186981201,1980-03-25
3.860736608505249,1980-03-26
3.780064344406128,1980-03-27
3.987506151199341,1980-03-28
4.010554790496826,1980-03-31
3.9529337882995605,1980-04-01
4.010554790496826,1980-04-02
3.9644582271575928,1980-04-03
3.872260332107544,1980-04-07
3.9644582271575928,1980-04-08
4.0797038078308105,1980-04-09
4.114278316497803,1980-04-10
4.264098644256592,1980-04-11
4.310195446014404,1980-04-14
4.252572536468506,1980-04-15
4.091230869293213,1980-04-16
4.091230869293213,1980-04-17
4.091230869293213,1980-04-18
4.022082805633545,1980-04-21
4.4023919105529785,1980-04-22
4.32172155380249,1980-04-23
4.287147521972656,1980-04-24
4.287147521972656,1980-04-25
4.333244800567627,1980-04-28
4.448491096496582,1980-04-29
4.4023919105529785,1980-04-30
4.344769477844238,1980-05-01
4.2756218910217285,1980-05-02
4.24104642868042,1980-05-05
4.14885139465332,1980-05-06
4.045130252838135,1980-05-07
4.010554790496826,1980-05-08
3.941406726837158,1980-05-09
3.941406726837158,1980-05-12
4.091230869293213,1980-05-13
4.033605098724365,1980-05-14
4.045130252838135,1980-05-15
3.9990317821502686,1980-05-16
3.9644582271575928,1980-05-19
3.9644582271575928,1980-05-20
3.9759840965270996,1980-05-21
4.102753639221191,1980-05-22
4.206475734710693,1980-05-23
4.206475734710693,1980-05-27
4.471539497375488,1980-05-28
4.367818832397461,1980-05-29
4.471539497375488,1980-05-30
4.506113529205322,1980-06-02
4.655932426452637,1980-06-03
4.759653091430664,1980-06-04
4.713555812835693,1980-06-05
4.805753707885742,1980-06-06
5.024720668792725,1980-06-09
5.139967441558838,1980-06-10
5.186063766479492,1980-06-11
5.047769069671631,1980-06-12
5.036245346069336,1980-06-13
4.944047451019287,1980-06-16
5.059291839599609,1980-06-17
5.036245346069336,1980-06-18
4.990145683288574,1980-06-19
4.909472465515137,1980-06-20
4.955573558807373,1980-06-23
4.955573558807373,1980-06-24
5.070816993713379,1980-06-25
5.105390548706055,1980-06-26
5.151490211486816,1980-06-27
4.8864240646362305,1980-06-30
4.955573558807373,1980-07-01
5.024720668792725,1980-07-02
5.3013081550598145,1980-07-03
5.4396071434021,1980-07-07
5.347406387329102,1980-07-08
5.1975908279418945,1980-07-09
5.1284403800964355,1980-07-10
5.2552103996276855,1980-07-11
5.497226238250732,1980-07-14
5.312833309173584,1980-07-15
5.312833309173584,1980-07-16
5.405033111572266,1980-07-17
5.347406387329102,1980-07-18
5.4396071434021,1980-07-21
5.508752346038818,1980-07-22
5.566377639770508,1980-07-23
5.600950241088867,1980-07-24
5.6816205978393555,1980-07-25
5.854487895965576,1980-07-28
5.923635482788086,1980-07-29
5.600950241088867,1980-07-30
5.508752346038818,1980-07-31
5.485703468322754,1980-08-01
5.416557788848877,1980-08-04
5.474178791046143,1980-08-05
5.531798362731934,1980-08-06
5.693143367767334,1980-08-07
5.704671382904053,1980-08-08
5.647049903869629,1980-08-11
5.531798362731934,1980-08-12
5.5202789306640625,1980-08-13
5.704671382904053,1980-08-14
5.727720737457275,1980-08-15
5.670095920562744,1980-08-18
5.647049903869629,1980-08-19
5.670095920562744,1980-08-20
5.969735145568848,1980-08-21
5.9927849769592285,1980-08-22
6.027362823486328,1980-08-25
5.958212852478027,1980-08-26
5.7738189697265625,1980-08-27
5.739243030548096,1980-08-28
5.624001502990723,1980-08-29
5.76229190826416,1980-09-02
6.061931610107422,1980-09-03
5.946685314178467,1980-09-04
5.900588035583496,1980-09-05
5.76229190826416,1980-09-08
5.7161946296691895,1980-09-09
5.7161946296691895,1980-09-10
5.8314433097839355,1980-09-11
5.923635482788086,1980-09-12
6.061931610107422,1980-09-15
6.154130458831787,1980-09-16
6.315474033355713,1980-09-17
6.177178859710693,1980-09-18
6.015833854675293,1980-09-19
6.108030796051025,1980-09-22
6.453768730163574,1980-09-23
6.684260368347168,1980-09-24
6.476816654205322,1980-09-25
6.269378185272217,1980-09-26
5.877542018890381,1980-09-29
6.2463250160217285,1980-09-30
6.730360984802246,1980-10-01
6.7534074783325195,1980-10-02
6.707308292388916,1980-10-03
6.91475248336792,1980-10-06
6.82255744934082,1980-10-07
7.029999732971191,1980-10-08
7.006950378417969,1980-10-09
7.122193336486816,1980-10-10
7.490983009338379,1980-10-13
7.306588172912598,1980-10-14
7.652329921722412,1980-10-15
7.5370774269104,1980-10-16
7.5370774269104,1980-10-17
7.698431491851807,1980-10-20
7.882813453674316,1980-10-21
7.882813453674316,1980-10-22
7.467936992645264,1980-10-23
7.444884300231934,1980-10-24
7.191344738006592,1980-10-27
7.099146842956543,1980-10-28
7.237438201904297,1980-10-29
7.076100826263428,1980-10-30
