BMY,Date
0.32053107023239136,1972-06-01
0.3237238824367523,1972-06-02
0.32436177134513855,1972-06-05
0.32244667410850525,1972-06-06
0.32180821895599365,1972-06-07
0.3237238824367523,1972-06-08
0.319892555475235,1972-06-09
0.32053107023239136,1972-06-12
0.32116955518722534,1972-06-13
0.3167000114917755,1972-06-14
0.31925371289253235,1972-06-15
0.3167000114917755,1972-06-16
0.3173384666442871,1972-06-19
0.31925371289253235,1972-06-20
0.319892555475235,1972-06-21
0.3167000114917755,1972-06-22
0.3128688335418701,1972-06-23
0.3154229521751404,1972-06-26
0.31478434801101685,1972-06-27
0.3154229521751404,1972-06-28
0.3173384666442871,1972-06-29
0.31925371289253235,1972-06-30
0.31797686219215393,1972-07-03
0.31925371289253235,1972-07-05
0.31925371289253235,1972-07-06
0.31925371289253235,1972-07-07
0.31925371289253235,1972-07-10
0.3173384666442871,1972-07-11
0.3173384666442871,1972-07-12
0.31861549615859985,1972-07-13
0.31925371289253235,1972-07-14
0.31606122851371765,1972-07-17
0.31606122851371765,1972-07-18
0.3173384666442871,1972-07-19
0.32053107023239136,1972-07-20
0.32308506965637207,1972-07-21
0.32308506965637207,1972-07-24
0.32691606879234314,1972-07-25
0.3271726965904236,1972-07-26
0.32973864674568176,1972-07-27
0.3303804397583008,1972-07-28
0.3303804397583008,1972-07-31
0.33358776569366455,1972-08-01
0.34641793370246887,1972-08-02
0.35347476601600647,1972-08-03
0.3566824793815613,1972-08-04
0.3541163504123688,1972-08-07
0.3547578454017639,1972-08-08
0.3592483401298523,1972-08-09
0.3714372515678406,1972-08-10
0.369512677192688,1972-08-11
0.3605315089225769,1972-08-14
0.3586069643497467,1972-08-15
0.3547578454017639,1972-08-16
0.35155048966407776,1972-08-17
0.35219186544418335,1972-08-18
0.35026708245277405,1972-08-21
0.35604074597358704,1972-08-22
0.34898433089256287,1972-08-23
0.3451351225376129,1972-08-24
0.3444936275482178,1972-08-25
0.3432105481624603,1972-08-28
0.3451351225376129,1972-08-29
0.3432105481624603,1972-08-30
0.35219186544418335,1972-08-31
0.35155048966407776,1972-09-01
0.34898433089256287,1972-09-05
0.3451351225376129,1972-09-06
0.3451351225376129,1972-09-07
0.3451351225376129,1972-09-08
0.34256890416145325,1972-09-11
0.3400028645992279,1972-09-12
0.33743682503700256,1972-09-13
0.3406444787979126,1972-09-14
0.33936142921447754,1972-09-15
0.3406444787979126,1972-09-18
0.3412860631942749,1972-09-19
0.3412860631942749,1972-09-20
0.3387201726436615,1972-09-21
0.3387201726436615,1972-09-22
0.33166319131851196,1972-09-25
0.32973864674568176,1972-09-26
0.33743682503700256,1972-09-27
0.3355124592781067,1972-09-28
0.33294615149497986,1972-09-29
0.32845568656921387,1972-10-02
0.3252484202384949,1972-10-03
0.3252484202384949,1972-10-04
0.3194744884967804,1972-10-05
0.32332369685173035,1972-10-06
0.32845568656921387,1972-10-09
0.3271726965904236,1972-10-10
0.3265311121940613,1972-10-11
0.324606716632843,1972-10-12
0.32781413197517395,1972-10-13
0.3252484202384949,1972-10-16
0.3400028645992279,1972-10-17
0.34192749857902527,1972-10-18
0.33743682503700256,1972-10-19
0.3348708748817444,1972-10-20
0.34256890416145325,1972-10-23
0.34641793370246887,1972-10-24
0.35026708245277405,1972-10-25
