HUM,Date
1.9571133852005005,1981-12-31
2.027010917663574,1982-01-04
1.985072135925293,1982-01-05
1.9710930585861206,1982-01-06
1.9710930585861206,1982-01-07
1.985072135925293,1982-01-08
1.95012366771698,1982-01-11
1.9361448287963867,1982-01-12
1.9361448287963867,1982-01-13
1.9081859588623047,1982-01-14
1.8942060470581055,1982-01-15
1.8662471771240234,1982-01-18
1.83828866481781,1982-01-19
1.8312981128692627,1982-01-20
1.8173201084136963,1982-01-21
1.8033404350280762,1982-01-22
1.8033404350280762,1982-01-25
1.7614030838012695,1982-01-26
1.7683911323547363,1982-01-27
1.9151750802993774,1982-01-28
1.9920626878738403,1982-01-29
1.9081859588623047,1982-02-01
1.9186697006225586,1982-02-02
1.960608720779419,1982-02-03
1.887216567993164,1982-02-04
1.9710930585861206,1982-02-05
1.9815778732299805,1982-02-08
1.9396384954452515,1982-02-09
1.9920626878738403,1982-02-10
1.9815778732299805,1982-02-11
2.034001111984253,1982-02-12
2.002546787261963,1982-02-16
2.0444846153259277,1982-02-17
2.0969078540802,1982-02-18
2.1388449668884277,1982-02-19
2.0549697875976562,1982-02-22
2.0549697875976562,1982-02-23
2.0969078540802,1982-02-24
2.0969078540802,1982-02-25
2.0549697875976562,1982-02-26
2.086422920227051,1982-03-01
2.0759379863739014,1982-03-02
2.034001111984253,1982-03-03
1.9920626878738403,1982-03-04
1.9396384954452515,1982-03-05
1.813825249671936,1982-03-08
1.9291553497314453,1982-03-09
1.887216567993164,1982-03-10
1.8347930908203125,1982-03-11
1.7509180307388306,1982-03-12
1.7718865871429443,1982-03-15
1.7928555011749268,1982-03-16
1.7194641828536987,1982-03-17
1.7718865871429443,1982-03-18
1.8243097066879272,1982-03-19
1.9081859588623047,1982-03-22
1.95012366771698,1982-03-23
2.013031244277954,1982-03-24
2.013031244277954,1982-03-25
1.9710930585861206,1982-03-26
1.962651252746582,1982-03-29
1.983755111694336,1982-03-30
1.9943079948425293,1982-03-31
1.983755111694336,1982-04-01
2.1103785037994385,1982-04-02
2.089273691177368,1982-04-05
2.0998263359069824,1982-04-06
2.1209301948547363,1982-04-07
2.1525847911834717,1982-04-08
2.1209301948547363,1982-04-12
2.1525847911834717,1982-04-13
2.1103785037994385,1982-04-14
2.1525847911834717,1982-04-15
2.2370002269744873,1982-04-16
2.173689365386963,1982-04-19
2.142033576965332,1982-04-20
2.1103785037994385,1982-04-21
2.1314821243286133,1982-04-22
2.1631364822387695,1982-04-23
2.247553586959839,1982-04-26
2.2370002269744873,1982-04-27
2.226447820663452,1982-04-28
2.18424129486084,1982-04-29
2.18424129486084,1982-04-30
2.2158966064453125,1982-05-03
2.205345392227173,1982-05-04
2.18424129486084,1982-05-05
2.18424129486084,1982-05-06
2.173689365386963,1982-05-07
2.142033576965332,1982-05-10
2.1525847911834717,1982-05-11
2.1314821243286133,1982-05-12
2.142033576965332,1982-05-13
2.1103785037994385,1982-05-14
2.142033576965332,1982-05-17
2.0998263359069824,1982-05-18
2.089273691177368,1982-05-19
2.068169593811035,1982-05-20
2.089273691177368,1982-05-21
2.0470659732818604,1982-05-24
2.068169593811035,1982-05-25
2.0365149974823,1982-05-26
2.0048584938049316,1982-05-27
1.983755111694336,1982-05-28
1.9204435348510742,1982-06-01
1.9098931550979614,1982-06-02
1.9204435348510742,1982-06-03
1.8782364130020142,1982-06-04
1.867684006690979,1982-06-07
1.8571327924728394,1982-06-08
1.8571327924728394,1982-06-09
1.8782364130020142,1982-06-10
2.0259628295898438,1982-06-11
2.0048584938049316,1982-06-14
2.0470659732818604,1982-06-15
1.9943079948425293,1982-06-16
1.9943079948425293,1982-06-17
1.983755111694336,1982-06-18
2.0154104232788086,1982-06-21
2.0470659732818604,1982-06-22
2.0470659732818604,1982-06-23
2.0576183795928955,1982-06-24
2.0576183795928955,1982-06-25
2.0787220001220703,1982-06-28
2.0808446407318115,1982-06-29
2.12331223487854,1982-06-30
2.091461658477783,1982-07-01
2.0702288150787354,1982-07-02
2.038379430770874,1982-07-06
2.017145872116089,1982-07-07
2.006530284881592,1982-07-08
2.0277621746063232,1982-07-09
2.197627544403076,1982-07-12
2.2188615798950195,1982-07-13
2.197627544403076,1982-07-14
2.187011241912842,1982-07-15
2.2082433700561523,1982-07-16
