JNPR,Date
12.995048522949219,1999-06-25
13.02790641784668,1999-06-28
15.180054664611816,1999-06-29
19.582927703857422,1999-06-30
19.188648223876953,1999-07-01
18.761497497558594,1999-07-02
18.334354400634766,1999-07-06
17.751140594482422,1999-07-07
16.822919845581055,1999-07-08
17.44721031188965,1999-07-09
16.822919845581055,1999-07-12
16.428630828857422,1999-07-13
17.356847763061523,1999-07-14
19.64864730834961,1999-07-15
18.777935028076172,1999-07-16
17.742921829223633,1999-07-19
18.13721466064453,1999-07-20
18.89292335510254,1999-07-21
19.517210006713867,1999-07-22
19.172218322753906,1999-07-23
18.958648681640625,1999-07-26
19.20507049560547,1999-07-27
18.89292335510254,1999-07-28
19.057214736938477,1999-07-29
21.349014282226562,1999-07-30
21.192935943603516,1999-08-02
20.420791625976562,1999-08-03
20.48650550842285,1999-08-04
20.72061538696289,1999-08-05
21.02865219116211,1999-08-06
21.349014282226562,1999-08-09
22.466154098510742,1999-08-10
24.36366844177246,1999-08-11
25.891523361206055,1999-08-12
28.092973709106445,1999-08-13
26.8115234375,1999-08-16
28.72957420349121,1999-08-17
27.181171417236328,1999-08-18
27.205820083618164,1999-08-19
26.893678665161133,1999-08-20
29.834392547607422,1999-08-23
29.086904525756836,1999-08-24
28.454391479492188,1999-08-25
28.29831886291504,1999-08-26
28.651540756225586,1999-08-27
27.608312606811523,1999-08-30
26.942964553833008,1999-08-31
23.690088272094727,1999-09-01
26.105106353759766,1999-09-02
25.398670196533203,1999-09-03
25.4315185546875,1999-09-07
25.4315185546875,1999-09-08
25.259029388427734,1999-09-09
25.168664932250977,1999-09-10
23.657236099243164,1999-09-13
24.067949295043945,1999-09-14
24.244552612304688,1999-09-15
24.10080909729004,1999-09-16
23.985803604125977,1999-09-17
24.05152130126953,1999-09-20
24.577238082885742,1999-09-21
24.93866729736328,1999-09-22
24.043310165405273,1999-09-23
26.14617156982422,1999-09-24
27.18939208984375,1999-09-27
25.924388885498047,1999-09-28
25.16045570373535,1999-09-29
23.928312301635742,1999-09-30
24.31848907470703,1999-10-01
23.936519622802734,1999-10-04
24.182950973510742,1999-10-05
25.086524963378906,1999-10-06
26.006526947021484,1999-10-07
27.994396209716797,1999-10-08
32.06869125366211,1999-10-11
29.24297332763672,1999-10-12
28.7829647064209,1999-10-13
29.012971878051758,1999-10-14
28.470823287963867,1999-10-15
30.06439781188965,1999-10-18
31.009050369262695,1999-10-19
32.52869415283203,1999-10-20
34.007266998291016,1999-10-21
34.40155792236328,1999-10-22
33.87583923339844,1999-10-25
33.15298843383789,1999-10-26
32.849056243896484,1999-10-27
34.828704833984375,1999-10-28
36.22513961791992,1999-10-29
35.29692840576172,1999-11-01
34.86155700683594,1999-11-02
36.767276763916016,1999-11-03
36.55370330810547,1999-11-04
35.89656448364258,1999-11-05
37.966575622558594,1999-11-08
34.96013259887695,1999-11-09
35.091575622558594,1999-11-10
34.393348693847656,1999-11-11
37.72013854980469,1999-11-12
37.26013946533203,1999-11-15
43.17444610595703,1999-11-16
40.31585693359375,1999-11-17
39.92158126831055,1999-11-18
40.743011474609375,1999-11-19
39.823001861572266,1999-11-22
38.64014434814453,1999-11-23
39.13300323486328,1999-11-24
40.23373031616211,1999-11-26
38.64014434814453,1999-11-29
36.422279357910156,1999-11-30
35.79799270629883,1999-12-01
39.4287223815918,1999-12-02
39.798370361328125,1999-12-03
37.88444900512695,1999-12-06
43.63444137573242,1999-12-07
46.01660919189453,1999-12-08
46.59160232543945,1999-12-09
46.42731857299805,1999-12-10
44.53802490234375,1999-12-13
43.40444564819336,1999-12-14
41.720523834228516,1999-12-15
41.60551834106445,1999-12-16
39.95444107055664,1999-12-17
39.4287223815918,1999-12-20
43.897315979003906,1999-12-21
42.40229797363281,1999-12-22
42.496768951416016,1999-12-23
45.663387298583984,1999-12-27
45.20339584350586,1999-12-28
44.02873611450195,1999-12-29
44.38606262207031,1999-12-30
44.68589401245117,1999-12-31
45.21160125732422,2000-01-03
43.223731994628906,2000-01-04
42.895164489746094,2000-01-05
41.00587844848633,2000-01-06
42.69802474975586,2000-01-07
42.78017044067383,2000-01-10
42.56660079956055,2000-01-11
40.44729232788086,2000-01-12
41.326229095458984,2000-01-13
44.70231628417969,2000-01-14
46.82160949707031,2000-01-18
46.92018127441406,2000-01-19
46.106964111328125,2000-01-20
59.118438720703125,2000-01-21
55.74233627319336,2000-01-24
56.33378219604492,2000-01-25
56.67878723144531,2000-01-26
56.161293029785156,2000-01-27
55.49592590332031,2000-01-28
53.351985931396484,2000-01-31
54.608795166015625,2000-02-01
54.041988372802734,2000-02-02
61.08987045288086,2000-02-03
67.02883911132812,2000-02-04
68.21170043945312,2000-02-07
66.8809814453125,2000-02-08
73.31278991699219,2000-02-09
82.20890808105469,2000-02-10
85.11675262451172,2000-02-11
80.45923614501953,2000-02-14
83.9338607788086,2000-02-15
86.9403305053711,2000-02-16
95.12181854248047,2000-02-17
93.96356201171875,2000-02-18
90.9817886352539,2000-02-22
92.63285827636719,2000-02-23
90.2917709350586,2000-02-24
91.77034759521484,2000-02-25
90.31642150878906,2000-02-28
108.15792083740234,2000-02-29
106.85184478759766,2000-03-01
102.61325073242188,2000-03-02
104.26432800292969,2000-03-03
106.70397186279297,2000-03-06
109.88294982910156,2000-03-07
108.28115844726562,2000-03-08
108.82328033447266,2000-03-09
111.36149597167969,2000-03-10
104.04253387451172,2000-03-13
96.8221435546875,2000-03-14
90.5875015258789,2000-03-15
93.44606018066406,2000-03-16
98.54715728759766,2000-03-17
92.68214416503906,2000-03-20
101.33181762695312,2000-03-21
104.97895050048828,2000-03-22
106.4575424194336,2000-03-23
106.0632553100586,2000-03-24
108.99574279785156,2000-03-27
121.04617309570312,2000-03-28
113.55471801757812,2000-03-29
105.27467346191406,2000-03-30
103.9193344116211,2000-03-31
91.86894226074219,2000-04-03
82.99744415283203,2000-04-04
