NDAQ,Date
4.124258995056152,2002-07-01
4.160000324249268,2002-07-02
4.124258995056152,2002-07-03
4.124258995056152,2002-07-05
3.849308490753174,2002-07-08
4.261733055114746,2002-07-09
4.261733055114746,2002-07-10
4.261733055114746,2002-07-11
4.124258995056152,2002-07-12
3.505620002746582,2002-07-15
3.4368813037872314,2002-07-16
3.4368813037872314,2002-07-17
3.2306692600250244,2002-07-18
2.88698148727417,2002-07-19
2.804494857788086,2002-07-22
2.804494857788086,2002-07-23
2.88698148727417,2002-07-24
2.790748357772827,2002-07-25
2.790748357772827,2002-07-26
3.051950693130493,2002-07-29
3.1619300842285156,2002-07-30
3.2994062900543213,2002-07-31
3.2444162368774414,2002-08-01
3.2444162368774414,2002-08-02
3.2581636905670166,2002-08-05
3.2994062900543213,2002-08-06
3.3131539821624756,2002-08-07
3.3269009590148926,2002-08-08
3.340648889541626,2002-08-09
3.340648889541626,2002-08-12
3.3543965816497803,2002-08-13
3.3543965816497803,2002-08-14
3.3269009590148926,2002-08-15
3.340648889541626,2002-08-16
3.2031733989715576,2002-08-19
3.1894259452819824,2002-08-20
3.2306692600250244,2002-08-21
3.024456262588501,2002-08-22
3.051950693130493,2002-08-23
2.9887125492095947,2002-08-26
2.8897299766540527,2002-08-27
2.777001142501831,2002-08-28
2.804494857788086,2002-08-29
2.7495052814483643,2002-08-30
2.7220101356506348,2002-09-03
2.5570404529571533,2002-09-04
2.5570404529571533,2002-09-05
2.667020320892334,2002-09-06
2.6945152282714844,2002-09-09
2.7220101356506348,2002-09-10
2.763253927230835,2002-09-11
2.7220101356506348,2002-09-12
2.7330081462860107,2002-09-13
2.7495052814483643,2002-09-16
2.7220101356506348,2002-09-17
2.713761806488037,2002-09-18
2.6945152282714844,2002-09-19
2.5845353603363037,2002-09-20
2.667020320892334,2002-09-23
2.5845353603363037,2002-09-24
2.6395256519317627,2002-09-25
2.667020320892334,2002-09-26
2.6092798709869385,2002-09-27
2.5707874298095703,2002-09-30
2.6120316982269287,2002-10-01
2.6037819385528564,2002-10-02
2.6257777214050293,2002-10-03
2.6257777214050293,2002-10-04
2.6120316982269287,2002-10-07
2.5432932376861572,2002-10-08
2.474555492401123,2002-10-09
2.474555492401123,2002-10-10
2.474555492401123,2002-10-11
2.4718058109283447,2002-10-14
2.378321647644043,2002-10-15
2.295836925506592,2002-10-16
2.2683424949645996,2002-10-17
2.2683424949645996,2002-10-18
2.213350534439087,2002-10-21
2.1996052265167236,2002-10-22
2.1446142196655273,2002-10-23
1.993391990661621,2002-10-24
1.9796439409255981,2002-10-25
1.9246537685394287,2002-10-28
2.130866289138794,2002-10-29
2.075876474380493,2002-10-30
2.062129497528076,2002-10-31
2.062129497528076,2002-11-01
2.062129497528076,2002-11-04
2.062129497528076,2002-11-05
2.0896244049072266,2002-11-06
2.062129497528076,2002-11-07
2.062129497528076,2002-11-08
2.172109365463257,2002-11-11
2.172109365463257,2002-11-12
2.3040852546691895,2002-11-13
2.3233325481414795,2002-11-14
2.309584617614746,2002-11-15
2.33707857131958,2002-11-18
2.27384090423584,2002-11-19
2.309584617614746,2002-11-20
2.309584617614746,2002-11-21
2.309584617614746,2002-11-22
2.309584617614746,2002-11-25
2.5570404529571533,2002-11-26
2.7495052814483643,2002-11-27
2.7495052814483643,2002-11-29
2.790748357772827,2002-12-02
2.790748357772827,2002-12-03
2.763253927230835,2002-12-04
2.88698148727417,2002-12-05
2.9419713020324707,2002-12-06
2.873232841491699,2002-12-09
2.914475202560425,2002-12-10
2.914475202560425,2002-12-11
3.051950693130493,2002-12-12
3.024456262588501,2002-12-13
3.0382039546966553,2002-12-16
3.0272057056427,2002-12-17
3.0382039546966553,2002-12-18
3.0382039546966553,2002-12-19
2.88698148727417,2002-12-20
2.969465970993042,2002-12-23
2.969465970993042,2002-12-24
2.88698148727417,2002-12-26
2.88698148727417,2002-12-27
2.89247989654541,2002-12-30
2.7495052814483643,2002-12-31
2.8182437419891357,2003-01-02
2.8182437419891357,2003-01-03
2.8594863414764404,2003-01-06
2.8319902420043945,2003-01-07
2.804494857788086,2003-01-08
2.6120316982269287,2003-01-09
2.5432932376861572,2003-01-10
2.7522547245025635,2003-01-13
2.529545307159424,2003-01-14
2.6945152282714844,2003-01-15
2.680767297744751,2003-01-16
