BKNG,Date
495.98077392578125,1999-03-31
481.76715087890625,1999-04-01
449.5994567871094,1999-04-05
472.79010009765625,1999-04-06
445.8590393066406,1999-04-07
433.8896484375,1999-04-08
442.86669921875,1999-04-09
458.20245361328125,1999-04-12
487.7518310546875,1999-04-13
557.3237915039062,1999-04-14
478.0267028808594,1999-04-15
487.00372314453125,1999-04-16
358.3330078125,1999-04-19
404.7143249511719,1999-04-20
445.8590393066406,1999-04-21
457.080322265625,1999-04-22
526.6522827148438,1999-04-23
722.6506958007812,1999-04-26
776.1388549804688,1999-04-27
724.1468505859375,1999-04-28
824.764404296875,1999-04-29
971.7632446289062,1999-04-30
833.3673706054688,1999-05-03
801.94775390625,1999-05-04
904.8095703125,1999-05-05
834.489501953125,1999-05-06
781.9364624023438,1999-05-07
766.0396728515625,1999-05-10
736.1162719726562,1999-05-11
754.0703125,1999-05-12
727.1392211914062,1999-05-13
794.8409423828125,1999-05-14
788.4822387695312,1999-05-17
814.6652221679688,1999-05-18
852.817626953125,1999-05-19
804.1920166015625,1999-05-20
831.4971923828125,1999-05-21
750.1428833007812,1999-05-24
622.4072265625,1999-05-25
680.9449462890625,1999-05-26
663.1779174804688,1999-05-27
670.4717407226562,1999-05-28
595.1021118164062,1999-06-01
556.0146484375,1999-06-02
503.46160888671875,1999-06-03
540.4918823242188,1999-06-04
607.4454956054688,1999-06-07
623.9033813476562,1999-06-08
628.3919067382812,1999-06-09
611.9340209960938,1999-06-10
572.6595458984375,1999-06-11
460.0726623535156,1999-06-14
469.4237365722656,1999-06-15
529.6445922851562,1999-06-16
532.262939453125,1999-06-17
562.5603637695312,1999-06-18
636.246826171875,1999-06-21
650.83447265625,1999-06-22
663.5519409179688,1999-06-23
610.4378662109375,1999-06-24
573.0335693359375,1999-06-25
631.38427734375,1999-06-28
643.3536376953125,1999-06-29
691.6051635742188,1999-06-30
643.3536376953125,1999-07-01
667.2923583984375,1999-07-02
670.2847290039062,1999-07-06
664.300048828125,1999-07-07
662.4298095703125,1999-07-08
652.3306884765625,1999-07-09
627.456787109375,1999-07-12
617.170654296875,1999-07-13
623.9033813476562,1999-07-14
605.2012939453125,1999-07-15
582.9457397460938,1999-07-16
584.44189453125,1999-07-19
547.9727172851562,1999-07-20
527.96142578125,1999-07-21
500.0952453613281,1999-07-22
485.8816223144531,1999-07-23
467.92755126953125,1999-07-26
440.8094482421875,1999-07-27
508.6982116699219,1999-07-28
481.76715087890625,1999-07-29
452.2177429199219,1999-07-30
463.8130798339844,1999-08-02
437.25604248046875,1999-08-03
396.4853820800781,1999-08-04
467.5534973144531,1999-08-05
445.1109313964844,1999-08-06
418.9279479980469,1999-08-09
429.4011535644531,1999-08-10
418.9279479980469,1999-08-11
402.8441162109375,1999-08-12
397.9815368652344,1999-08-13
411.44708251953125,1999-08-16
419.302001953125,1999-08-17
423.4164733886719,1999-08-18
397.9815368652344,1999-08-19
405.46240234375,1999-08-20
401.3479309082031,1999-08-23
404.7143249511719,1999-08-24
390.12664794921875,1999-08-25
434.63775634765625,1999-08-26
439.87432861328125,1999-08-27
400.0387878417969,1999-08-30
407.7066650390625,1999-08-31
392.55792236328125,1999-09-01
383.20684814453125,1999-09-02
397.23345947265625,1999-09-03
405.8364562988281,1999-09-07
378.53131103515625,1999-09-08
348.0468444824219,1999-09-09
346.7376708984375,1999-09-10
332.8981018066406,1999-09-13
359.0810852050781,1999-09-14
359.0810852050781,1999-09-15
341.8751220703125,1999-09-16
348.60791015625,1999-09-17
384.1419677734375,1999-09-20
400.0387878417969,1999-09-21
428.6530456542969,1999-09-22
389.3785705566406,1999-09-23
392.37091064453125,1999-09-24
369.3672790527344,1999-09-27
367.3100280761719,1999-09-28
377.03515625,1999-09-29
386.0121765136719,1999-09-30
378.15728759765625,1999-10-01
372.7336730957031,1999-10-04
384.5160217285156,1999-10-05
435.3858337402344,1999-10-06
433.8896484375,1999-10-07
441.3705139160156,1999-10-08
454.8360595703125,1999-10-11
454.4620056152344,1999-10-12
432.39349365234375,1999-10-13
418.9279479980469,1999-10-14
404.34027099609375,1999-10-15
385.26409912109375,1999-10-18
387.1343078613281,1999-10-19
397.9815368652344,1999-10-20
411.44708251953125,1999-10-21
399.47772216796875,1999-10-22
410.324951171875,1999-10-25
405.0883483886719,1999-10-26
399.47772216796875,1999-10-27
406.2104797363281,1999-10-28
360.5772705078125,1999-10-29
350.10406494140625,1999-11-01
331.7759704589844,1999-11-02
331.40191650390625,1999-11-03
317.18829345703125,1999-11-04
314.94403076171875,1999-11-05
369.5542907714844,1999-11-08
356.83685302734375,1999-11-09
344.119384765625,1999-11-10
336.6385192871094,1999-11-11
338.8827819824219,1999-11-12
358.7070617675781,1999-11-15
411.44708251953125,1999-11-16
460.0726623535156,1999-11-17
430.14923095703125,1999-11-18
406.2104797363281,1999-11-19
399.47772216796875,1999-11-22
370.6764221191406,1999-11-23
365.0657958984375,1999-11-24
380.77557373046875,1999-11-26
385.26409912109375,1999-11-29
371.05047607421875,1999-11-30
362.821533203125,1999-12-01
389.3785705566406,1999-12-02
370.3023681640625,1999-12-03
365.4398193359375,1999-12-06
368.0581359863281,1999-12-07
355.3406677246094,1999-12-08
346.3636474609375,1999-12-09
349.3559875488281,1999-12-10
347.1117248535156,1999-12-13
325.417236328125,1999-12-14
330.6538391113281,1999-12-15
342.2491760253906,1999-12-16
340.75299072265625,1999-12-17
335.1423645019531,1999-12-20
355.3406677246094,1999-12-21
341.1270446777344,1999-12-22
329.1576843261719,1999-12-23
325.417236328125,1999-12-27
310.4555358886719,1999-12-28
302.60064697265625,1999-12-29
279.7840270996094,1999-12-30
283.5244445800781,1999-12-31
306.7151184082031,2000-01-03
323.1729736328125,2000-01-04
358.7070617675781,2000-01-05
344.119384765625,2000-01-06
342.6231994628906,2000-01-07
324.6691589355469,2000-01-10
316.066162109375,2000-01-11
305.9670104980469,2000-01-12
308.9593505859375,2000-01-13
340.37896728515625,2000-01-14
354.2185363769531,2000-01-18
373.66876220703125,2000-01-19
370.6764221191406,2000-01-20
380.0274963378906,2000-01-21
358.7070617675781,2000-01-24
376.6611022949219,2000-01-25
396.4853820800781,2000-01-26
383.7679138183594,2000-01-27
356.83685302734375,2000-01-28
347.1117248535156,2000-01-31
342.6231994628906,2000-02-01
356.4627990722656,2000-02-02
356.4627990722656,2000-02-03
361.3253479003906,2000-02-04
360.5772705078125,2000-02-07
347.48577880859375,2000-02-08
349.73004150390625,2000-02-09
336.6385192871094,2000-02-10
322.4248962402344,2000-02-11
325.417236328125,2000-02-14
317.18829345703125,2000-02-15
316.81427001953125,2000-02-16
329.1576843261719,2000-02-17
305.21893310546875,2000-02-18
299.9823303222656,2000-02-22
310.4555358886719,2000-02-23
339.630859375,2000-02-24
340.37896728515625,2000-02-25
322.4248962402344,2000-02-28
334.768310546875,2000-02-29
385.26409912109375,2000-03-01
427.90496826171875,2000-03-02
448.85137939453125,2000-03-03
539.7437744140625,2000-03-06
470.5458679199219,2000-03-07
524.0339965820312,2000-03-08
560.690185546875,2000-03-09
565.552734375,2000-03-10
574.1557006835938,2000-03-13
568.1710205078125,2000-03-14
532.636962890625,2000-03-15
526.2782592773438,2000-03-16
538.6216430664062,2000-03-17
464.9352111816406,2000-03-20
486.2556457519531,2000-03-21
520.6676025390625,2000-03-22
526.6522827148438,2000-03-23
541.614013671875,2000-03-24
550.5910034179688,2000-03-27
520.2935180664062,2000-03-28
489.6220397949219,2000-03-29
485.507568359375,2000-03-30
478.7747802734375,2000-03-31
391.248779296875,2000-04-03
450.3475341796875,2000-04-04
430.5232849121094,2000-04-05
461.5688171386719,2000-04-06
467.1794738769531,2000-04-07
436.1339111328125,2000-04-10
389.3785705566406,2000-04-11
359.8291931152344,2000-04-12
371.7985534667969,2000-04-13
350.3846130371094,2000-04-14
311.5776672363281,2000-04-17
383.01983642578125,2000-04-18
389.3785705566406,2000-04-19
406.2104797363281,2000-04-20
369.5542907714844,2000-04-24
386.38623046875,2000-04-25
382.2717590332031,2000-04-26
388.6304931640625,2000-04-27
378.53131103515625,2000-04-28
380.40155029296875,2000-05-01
356.0887451171875,2000-05-02
347.2052307128906,2000-05-03
346.7376708984375,2000-05-04
343.7453308105469,2000-05-05
328.4095764160156,2000-05-08
316.81427001953125,2000-05-09
308.5853271484375,2000-05-10
296.2419128417969,2000-05-11
297.3640441894531,2000-05-12
301.8525390625,2000-05-15
323.5470275878906,2000-05-16
303.3487243652344,2000-05-17
281.65423583984375,2000-05-18
267.81463623046875,2000-05-19
265.9444274902344,2000-05-22
242.37974548339844,2000-05-23
218.4409942626953,2000-05-24
216.94482421875,2000-05-25
216.19674682617188,2000-05-26
234.8988800048828,2000-05-30
228.16610717773438,2000-05-31
250.98272705078125,2000-06-01
278.287841796875,2000-06-02
293.24957275390625,2000-06-05
263.7001953125,2000-06-06
269.3108215332031,2000-06-07
272.6772155761719,2000-06-08
270.05889892578125,2000-06-09
251.3567657470703,2000-06-12
260.33380126953125,2000-06-13
258.4635925292969,2000-06-14
255.84527587890625,2000-06-15
258.4635925292969,2000-06-16
266.6925354003906,2000-06-19
278.287841796875,2000-06-20
269.3108215332031,2000-06-21
271.1810302734375,2000-06-22
250.23463439941406,2000-06-23
227.41802978515625,2000-06-26
239.38739013671875,2000-06-27
240.509521484375,2000-06-28
220.31121826171875,2000-06-29
227.32452392578125,2000-06-30
239.38739013671875,2000-07-03
222.18142700195312,2000-07-05
227.7920684814453,2000-07-06
224.7997283935547,2000-07-07
222.9295196533203,2000-07-10
194.50225830078125,2000-07-11
213.20440673828125,2000-07-12
230.0363311767578,2000-07-13
236.02101135253906,2000-07-14
236.76910400390625,2000-07-17
231.9065399169922,2000-07-18
237.89122009277344,2000-07-19
242.7537841796875,2000-07-20
239.76144409179688,2000-07-21
186.2733154296875,2000-07-24
187.0214080810547,2000-07-25
171.3115997314453,2000-07-26
154.47967529296875,2000-07-27
146.62478637695312,2000-07-28
141.38818359375,2000-07-31
149.2430877685547,2000-08-01
148.4949951171875,2000-08-02
145.50265502929688,2000-08-03
145.1286163330078,2000-08-04
164.57884216308594,2000-08-07
167.57118225097656,2000-08-08
153.35755920410156,2000-08-09
142.13626098632812,2000-08-10
143.6324462890625,2000-08-11
146.9988250732422,2000-08-14
151.8613739013672,2000-08-15
150.36520385742188,2000-08-16
151.11329650878906,2000-08-17
158.22010803222656,2000-08-18
152.60946655273438,2000-08-21
148.12095642089844,2000-08-22
152.2354278564453,2000-08-23
162.33457946777344,2000-08-24
158.59414672851562,2000-08-25
159.71627807617188,2000-08-28
164.57884216308594,2000-08-29
166.07501220703125,2000-08-30
162.7086181640625,2000-08-31
155.22776794433594,2000-09-01
173.18182373046875,2000-09-05
164.57884216308594,2000-09-06
155.22776794433594,2000-09-07
154.1056365966797,2000-09-08
158.59414672851562,2000-09-11
164.57884216308594,2000-09-12
167.19712829589844,2000-09-13
161.58648681640625,2000-09-14
156.3498992919922,2000-09-15
152.60946655273438,2000-09-18
150.36520385742188,2000-09-19
140.26605224609375,2000-09-20
129.04476928710938,2000-09-21
130.91497802734375,2000-09-22
122.31199645996094,2000-09-25
111.55826568603516,2000-09-26
64.33536529541016,2000-09-27
71.06813049316406,2000-09-28
71.06813049316406,2000-09-29
65.08345031738281,2000-10-02
59.09876251220703,2000-10-03
56.106422424316406,2000-10-04
34.785980224609375,2000-10-05
33.28981018066406,2000-10-06
38.90045166015625,2000-10-09
40.58364486694336,2000-10-10
32.541725158691406,2000-10-11
31.04555320739746,2000-10-12
37.778324127197266,2000-10-13
34.41193771362305,2000-10-16
30.858531951904297,2000-10-17
29.175338745117188,2000-10-18
30.671510696411133,2000-10-19
32.44821548461914,2000-10-20
33.66385269165039,2000-10-23
32.35470199584961,2000-10-24
31.793638229370117,2000-10-25
30.297468185424805,2000-10-26
33.66385269165039,2000-10-27
33.28981018066406,2000-10-30
34.41193771362305,2000-10-31
37.03023910522461,2000-11-01
40.95768737792969,2000-11-02
28.240232467651367,2000-11-03
26.931081771850586,2000-11-06
25.621932983398438,2000-11-07
19.450225830078125,2000-11-08
19.26320457458496,2000-11-09
20.011289596557617,2000-11-10
18.32809829711914,2000-11-13
18.515119552612305,2000-11-14
16.457883834838867,2000-11-15
16.457883834838867,2000-11-16
15.52277660369873,2000-11-17
14.587669372558594,2000-11-20
13.839584350585938,2000-11-21
13.652562141418457,2000-11-22
15.148734092712402,2000-11-24
14.961711883544922,2000-11-27
13.839584350585938,2000-11-28
15.335755348205566,2000-11-29
14.961711883544922,2000-11-30
14.587669372558594,2000-12-01
12.530433654785156,2000-12-04
12.156391143798828,2000-12-05
10.6602201461792,2000-12-06
11.221283912658691,2000-12-07
14.587669372558594,2000-12-08
13.465540885925293,2000-12-11
13.278519630432129,2000-12-12
13.091498374938965,2000-12-13
12.343412399291992,2000-12-14
10.847241401672363,2000-12-15
9.351070404052734,2000-12-18
9.16404914855957,2000-12-19
7.480855941772461,2000-12-20
7.667877674102783,2000-12-21
7.667877674102783,2000-12-22
6.7327704429626465,2000-12-26
8.415963172912598,2000-12-27
7.854898929595947,2000-12-28
7.854898929595947,2000-12-29
8.415963172912598,2001-01-02
10.847241401672363,2001-01-03
11.595327377319336,2001-01-04
10.286177635192871,2001-01-05
9.351070404052734,2001-01-08
10.847241401672363,2001-01-09
12.343412399291992,2001-01-10
15.52277660369873,2001-01-11
17.767032623291016,2001-01-12
20.94639778137207,2001-01-16
20.011289596557617,2001-01-17
17.58001136779785,2001-01-18
