SJM,Date
11.974288940429688,1994-10-31
11.785222053527832,1994-11-01
11.974288940429688,1994-11-02
11.91126537322998,1994-11-03
11.659172058105469,1994-11-04
11.722196578979492,1994-11-07
11.596153259277344,1994-11-08
11.659172058105469,1994-11-09
11.659172058105469,1994-11-10
11.659172058105469,1994-11-11
11.659172058105469,1994-11-14
11.596153259277344,1994-11-15
11.659172058105469,1994-11-16
12.037308692932129,1994-11-17
11.91126537322998,1994-11-18
11.974288940429688,1994-11-21
11.848246574401855,1994-11-22
11.91126537322998,1994-11-23
11.848246574401855,1994-11-25
11.848246574401855,1994-11-28
11.785222053527832,1994-11-29
11.785222053527832,1994-11-30
11.470108032226562,1994-12-01
11.470108032226562,1994-12-02
11.407084465026855,1994-12-05
11.15499210357666,1994-12-06
11.15499210357666,1994-12-07
11.21802043914795,1994-12-08
11.091974258422852,1994-12-09
11.15499210357666,1994-12-12
11.407084465026855,1994-12-13
12.037308692932129,1994-12-14
12.478468894958496,1994-12-15
12.289403915405273,1994-12-16
12.100332260131836,1994-12-19
12.289403915405273,1994-12-20
12.541491508483887,1994-12-21
12.541491508483887,1994-12-22
12.604517936706543,1994-12-23
12.478468894958496,1994-12-27
12.478468894958496,1994-12-28
11.974288940429688,1994-12-29
12.100332260131836,1994-12-30
11.974288940429688,1995-01-03
12.226375579833984,1995-01-04
12.163359642028809,1995-01-05
12.226375579833984,1995-01-06
12.163359642028809,1995-01-09
11.848246574401855,1995-01-10
11.848246574401855,1995-01-11
11.785222053527832,1995-01-12
11.848246574401855,1995-01-13
11.848246574401855,1995-01-16
11.974288940429688,1995-01-17
11.974288940429688,1995-01-18
11.848246574401855,1995-01-19
11.470108032226562,1995-01-20
11.722196578979492,1995-01-23
11.722196578979492,1995-01-24
11.91126537322998,1995-01-25
11.785222053527832,1995-01-26
11.533127784729004,1995-01-27
11.533127784729004,1995-01-30
11.659172058105469,1995-01-31
11.533127784729004,1995-02-01
11.596153259277344,1995-02-02
11.533127784729004,1995-02-03
11.659172058105469,1995-02-06
11.596153259277344,1995-02-07
11.21802043914795,1995-02-08
11.470108032226562,1995-02-09
11.785222053527832,1995-02-10
11.848246574401855,1995-02-13
11.974288940429688,1995-02-14
11.785222053527832,1995-02-15
11.596153259277344,1995-02-16
11.722196578979492,1995-02-17
11.596153259277344,1995-02-21
11.533127784729004,1995-02-22
11.470108032226562,1995-02-23
11.533127784729004,1995-02-24
11.722196578979492,1995-02-27
11.848246574401855,1995-02-28
11.533127784729004,1995-03-01
11.659172058105469,1995-03-02
11.659172058105469,1995-03-03
11.722196578979492,1995-03-06
11.470108032226562,1995-03-07
11.470108032226562,1995-03-08
11.659172058105469,1995-03-09
11.659172058105469,1995-03-10
11.722196578979492,1995-03-13
11.533127784729004,1995-03-14
11.470108032226562,1995-03-15
11.15499210357666,1995-03-16
10.965926170349121,1995-03-17
10.776856422424316,1995-03-20
10.587787628173828,1995-03-21
10.461745262145996,1995-03-22
10.461745262145996,1995-03-23
10.650814056396484,1995-03-24
10.713833808898926,1995-03-27
10.587787628173828,1995-03-28
10.90290641784668,1995-03-29
11.281041145324707,1995-03-30
11.15499210357666,1995-03-31
11.596153259277344,1995-04-03
11.15499210357666,1995-04-04
11.091974258422852,1995-04-05
10.965926170349121,1995-04-06
11.028944969177246,1995-04-07
11.21802043914795,1995-04-10
10.839882850646973,1995-04-11
10.965926170349121,1995-04-12
10.839882850646973,1995-04-13
10.90290641784668,1995-04-17
10.90290641784668,1995-04-18
10.713833808898926,1995-04-19
10.587787628173828,1995-04-20
10.776856422424316,1995-04-21
10.965926170349121,1995-04-24
10.839882850646973,1995-04-25
10.776856422424316,1995-04-26
10.839882850646973,1995-04-27
10.839882850646973,1995-04-28
10.839882850646973,1995-05-01
10.839882850646973,1995-05-02
10.776856422424316,1995-05-03
10.839882850646973,1995-05-04
11.028944969177246,1995-05-05
10.90290641784668,1995-05-08
10.90290641784668,1995-05-09
10.776856422424316,1995-05-10
10.713833808898926,1995-05-11
10.839882850646973,1995-05-12
10.839882850646973,1995-05-15
10.90290641784668,1995-05-16
10.965926170349121,1995-05-17
11.21802043914795,1995-05-18
11.091974258422852,1995-05-19
10.90290641784668,1995-05-22
11.281041145324707,1995-05-23
11.15499210357666,1995-05-24
11.15499210357666,1995-05-25
11.091974258422852,1995-05-26
11.344059944152832,1995-05-30
11.344059944152832,1995-05-31
11.407084465026855,1995-06-01
11.848246574401855,1995-06-02
11.91126537322998,1995-06-05
11.91126537322998,1995-06-06
11.848246574401855,1995-06-07
11.722196578979492,1995-06-08
11.848246574401855,1995-06-09
11.344059944152832,1995-06-12
11.091974258422852,1995-06-13
11.344059944152832,1995-06-14
11.15499210357666,1995-06-15
11.091974258422852,1995-06-16
11.028944969177246,1995-06-19
11.091974258422852,1995-06-20
11.21802043914795,1995-06-21
11.15499210357666,1995-06-22
10.965926170349121,1995-06-23
10.965926170349121,1995-06-26
10.776856422424316,1995-06-27
10.776856422424316,1995-06-28
10.90290641784668,1995-06-29
11.15499210357666,1995-06-30
11.028944969177246,1995-07-03
11.028944969177246,1995-07-05
11.344059944152832,1995-07-06
11.15499210357666,1995-07-07
10.965926170349121,1995-07-10
11.15499210357666,1995-07-11
11.091974258422852,1995-07-12
11.21802043914795,1995-07-13
11.091974258422852,1995-07-14
11.028944969177246,1995-07-17
10.524772644042969,1995-07-18
10.461745262145996,1995-07-19
10.524772644042969,1995-07-20
10.650814056396484,1995-07-21
10.461745262145996,1995-07-24
10.587787628173828,1995-07-25
10.776856422424316,1995-07-26
10.90290641784668,1995-07-27
10.776856422424316,1995-07-28
11.028944969177246,1995-07-31
11.091974258422852,1995-08-01
11.281041145324707,1995-08-02
11.21802043914795,1995-08-03
11.281041145324707,1995-08-04
11.344059944152832,1995-08-07
11.344059944152832,1995-08-08
11.028944969177246,1995-08-09
10.90290641784668,1995-08-10
10.90290641784668,1995-08-11
11.028944969177246,1995-08-14
10.839882850646973,1995-08-15
10.90290641784668,1995-08-16
10.965926170349121,1995-08-17
10.839882850646973,1995-08-18
10.965926170349121,1995-08-21
10.776856422424316,1995-08-22
10.839882850646973,1995-08-23
10.839882850646973,1995-08-24
10.839882850646973,1995-08-25
10.776856422424316,1995-08-28
10.461745262145996,1995-08-29
10.524772644042969,1995-08-30
10.587787628173828,1995-08-31
10.524772644042969,1995-09-01
10.398723602294922,1995-09-05
10.524772644042969,1995-09-06
10.650814056396484,1995-09-07
10.650814056396484,1995-09-08
10.587787628173828,1995-09-11
10.650814056396484,1995-09-12
10.713833808898926,1995-09-13
10.650814056396484,1995-09-14
10.713833808898926,1995-09-15
10.713833808898926,1995-09-18
10.650814056396484,1995-09-19
10.650814056396484,1995-09-20
10.461745262145996,1995-09-21
10.398723602294922,1995-09-22
10.524772644042969,1995-09-25
10.587787628173828,1995-09-26
10.524772644042969,1995-09-27
10.398723602294922,1995-09-28
10.524772644042969,1995-09-29
10.461745262145996,1995-10-02
10.461745262145996,1995-10-03
10.461745262145996,1995-10-04
10.272680282592773,1995-10-05
10.524772644042969,1995-10-06
10.461745262145996,1995-10-09
10.461745262145996,1995-10-10
10.398723602294922,1995-10-11
10.398723602294922,1995-10-12
10.461745262145996,1995-10-13
10.398723602294922,1995-10-16
10.461745262145996,1995-10-17
10.461745262145996,1995-10-18
10.398723602294922,1995-10-19
10.398723602294922,1995-10-20
10.146632194519043,1995-10-23
10.461745262145996,1995-10-24
10.335701942443848,1995-10-25
10.335701942443848,1995-10-26
10.272680282592773,1995-10-27
10.209656715393066,1995-10-30
9.894540786743164,1995-10-31
9.831517219543457,1995-11-01
9.831517219543457,1995-11-02
10.083605766296387,1995-11-03
10.020581245422363,1995-11-06
9.264318466186523,1995-11-07
9.075252532958984,1995-11-08
9.201295852661133,1995-11-09
9.201295852661133,1995-11-10
8.949200630187988,1995-11-13
9.075252532958984,1995-11-14
9.075252532958984,1995-11-15
9.327340126037598,1995-11-16
9.390360832214355,1995-11-17
9.264318466186523,1995-11-20
9.327340126037598,1995-11-21
9.705477714538574,1995-11-22
10.209656715393066,1995-11-24
10.335701942443848,1995-11-27
10.335701942443848,1995-11-28
10.335701942443848,1995-11-29
10.524772644042969,1995-11-30
10.524772644042969,1995-12-01
10.398723602294922,1995-12-04
10.398723602294922,1995-12-05
10.398723602294922,1995-12-06
10.209656715393066,1995-12-07
10.020581245422363,1995-12-08
9.768497467041016,1995-12-11
9.516407012939453,1995-12-12
9.579429626464844,1995-12-13
9.516407012939453,1995-12-14
9.453385353088379,1995-12-15
9.075252532958984,1995-12-18
9.13827133178711,1995-12-19
9.201295852661133,1995-12-20
9.012226104736328,1995-12-21
9.075252532958984,1995-12-22
9.516407012939453,1995-12-26
10.083605766296387,1995-12-27
10.776856422424316,1995-12-28
11.091974258422852,1995-12-29
10.587787628173828,1996-01-02
10.524772644042969,1996-01-03
10.965926170349121,1996-01-04
10.839882850646973,1996-01-05
10.587787628173828,1996-01-08
10.650814056396484,1996-01-09
10.398723602294922,1996-01-10
10.335701942443848,1996-01-11
10.209656715393066,1996-01-12
10.020581245422363,1996-01-15
10.209656715393066,1996-01-16
10.083605766296387,1996-01-17
10.146632194519043,1996-01-18
10.335701942443848,1996-01-19
10.461745262145996,1996-01-22
10.524772644042969,1996-01-23
10.461745262145996,1996-01-24
10.587787628173828,1996-01-25
10.524772644042969,1996-01-26
10.398723602294922,1996-01-29
10.650814056396484,1996-01-30
10.461745262145996,1996-01-31
10.398723602294922,1996-02-01
10.461745262145996,1996-02-02
10.146632194519043,1996-02-05
10.209656715393066,1996-02-06
10.146632194519043,1996-02-07
9.957565307617188,1996-02-08
10.020581245422363,1996-02-09
9.957565307617188,1996-02-12
10.083605766296387,1996-02-13
10.020581245422363,1996-02-14
9.894540786743164,1996-02-15
10.146632194519043,1996-02-16
9.894540786743164,1996-02-20
10.020581245422363,1996-02-21
10.146632194519043,1996-02-22
10.209656715393066,1996-02-23
10.083605766296387,1996-02-26
10.272680282592773,1996-02-27
10.083605766296387,1996-02-28
10.146632194519043,1996-02-29
10.90290641784668,1996-03-01
10.965926170349121,1996-03-04
10.587787628173828,1996-03-05
10.272680282592773,1996-03-06
10.272680282592773,1996-03-07
9.957565307617188,1996-03-08
10.083605766296387,1996-03-11
10.209656715393066,1996-03-12
10.083605766296387,1996-03-13
10.146632194519043,1996-03-14
10.272680282592773,1996-03-15
10.335701942443848,1996-03-18
10.335701942443848,1996-03-19
10.272680282592773,1996-03-20
10.146632194519043,1996-03-21
9.957565307617188,1996-03-22
10.083605766296387,1996-03-25
10.272680282592773,1996-03-26
10.398723602294922,1996-03-27
10.461745262145996,1996-03-28
11.21802043914795,1996-03-29
11.028944969177246,1996-04-01
10.776856422424316,1996-04-02
10.524772644042969,1996-04-03
10.713833808898926,1996-04-04
10.272680282592773,1996-04-08
10.713833808898926,1996-04-09
10.650814056396484,1996-04-10
10.839882850646973,1996-04-11
10.839882850646973,1996-04-12
10.713833808898926,1996-04-15
10.587787628173828,1996-04-16
10.776856422424316,1996-04-17
