F,Date
0.2419022023677826,1972-06-01
0.24144691228866577,1972-06-02
0.24144691228866577,1972-06-05
0.23871339857578278,1972-06-06
0.2373468577861786,1972-06-07
0.23552443087100983,1972-06-08
0.2341577559709549,1972-06-09
0.2341577559709549,1972-06-12
0.23597998917102814,1972-06-13
0.23962460458278656,1972-06-14
0.23871339857578278,1972-06-15
0.23962460458278656,1972-06-16
0.2382579743862152,1972-06-19
0.23916898667812347,1972-06-20
0.2368912547826767,1972-06-21
0.23552443087100983,1972-06-22
0.23506875336170197,1972-06-23
0.2341577559709549,1972-06-26
0.23597998917102814,1972-06-27
0.23552443087100983,1972-06-28
0.23461337387561798,1972-06-29
0.23279117047786713,1972-06-30
0.2318800538778305,1972-07-03
0.23051320016384125,1972-07-05
0.2332465648651123,1972-07-06
0.23233559727668762,1972-07-07
0.22960206866264343,1972-07-10
0.22823545336723328,1972-07-11
0.22641324996948242,1972-07-12
0.22641324996948242,1972-07-13
0.2259577363729477,1972-07-14
0.2259577363729477,1972-07-17
0.22823545336723328,1972-07-18
0.22960206866264343,1972-07-19
0.22641324996948242,1972-07-20
0.22960206866264343,1972-07-21
0.23597998917102814,1972-07-24
0.23754514753818512,1972-07-25
0.23662450909614563,1972-07-26
0.235703706741333,1972-07-27
0.23800554871559143,1972-07-28
0.23800554871559143,1972-07-31
0.23800554871559143,1972-08-01
0.24122805893421173,1972-08-02
0.24537129700183868,1972-08-03
0.2462921142578125,1972-08-04
0.24675223231315613,1972-08-07
0.24583162367343903,1972-08-08
0.24214892089366913,1972-08-09
0.24260926246643066,1972-08-10
0.24445047974586487,1972-08-11
0.24583162367343903,1972-08-14
0.24399036169052124,1972-08-15
0.23754514753818512,1972-08-16
0.24168841540813446,1972-08-17
0.24168841540813446,1972-08-18
0.24260926246643066,1972-08-21
0.2462921142578125,1972-08-22
0.2559596002101898,1972-08-23
0.25227653980255127,1972-08-24
0.24905423820018768,1972-08-25
0.24905423820018768,1972-08-28
0.24491102993488312,1972-08-29
0.24306964874267578,1972-08-30
0.24813342094421387,1972-08-31
0.24813342094421387,1972-09-01
0.24491102993488312,1972-09-05
0.24306964874267578,1972-09-06
0.24399036169052124,1972-09-07
0.24352994561195374,1972-09-08
0.24306964874267578,1972-09-11
0.24030743539333344,1972-09-12
0.24168841540813446,1972-09-13
0.24122805893421173,1972-09-14
0.24168841540813446,1972-09-15
0.24122805893421173,1972-09-18
0.24030743539333344,1972-09-19
0.23846592009067535,1972-09-20
0.23294153809547424,1972-09-21
0.2347830981016159,1972-09-22
0.23524340987205505,1972-09-25
0.23662450909614563,1972-09-26
0.24030743539333344,1972-09-27
0.24352994561195374,1972-09-28
0.24537129700183868,1972-09-29
0.24583162367343903,1972-10-02
0.24214892089366913,1972-10-03
0.24168841540813446,1972-10-04
0.24030743539333344,1972-10-05
0.24030743539333344,1972-10-06
0.24122805893421173,1972-10-09
0.24306964874267578,1972-10-10
0.24260926246643066,1972-10-11
0.24076789617538452,1972-10-12
0.23708488047122955,1972-10-13
0.235703706741333,1972-10-16
0.2347830981016159,1972-10-17
0.235703706741333,1972-10-18
0.23432275652885437,1972-10-19
0.23846592009067535,1972-10-20
0.23892635107040405,1972-10-23
0.24260926246643066,1972-10-24
0.24372544884681702,1972-10-25
0.24419058859348297,1972-10-26
0.24651621282100677,1972-10-27
0.24558590352535248,1972-10-30
0.24651621282100677,1972-10-31
0.25209763646125793,1972-11-01
0.2590746581554413,1972-11-02
0.2679119110107422,1972-11-03
0.2707028090953827,1972-11-06
0.2693072557449341,1972-11-08
0.274888813495636,1972-11-09
0.2786097526550293,1972-11-10
0.27581921219825745,1972-11-13
0.2804703712463379,1972-11-14
0.2786097526550293,1972-11-15
0.2827959656715393,1972-11-16
0.28977304697036743,1972-11-17
0.29070302844047546,1972-11-20
0.2930286228656769,1972-11-21
0.291168212890625,1972-11-22
0.28837746381759644,1972-11-24
0.2837260961532593,1972-11-27
0.2790750563144684,1972-11-28
0.2772144675254822,1972-11-29
0.2804703712463379,1972-11-30
0.2818656861782074,1972-12-01
0.2832609713077545,1972-12-04
0.28930768370628357,1972-12-05
0.28977304697036743,1972-12-06
0.2916332185268402,1972-12-07
0.28837746381759644,1972-12-08
0.291168212890625,1972-12-11
0.28884240984916687,1972-12-12
0.28837746381759644,1972-12-13
0.28930768370628357,1972-12-14
0.28465646505355835,1972-12-15
0.274888813495636,1972-12-18
0.27674925327301025,1972-12-19
0.27581921219825745,1972-12-20
0.27581921219825745,1972-12-21
0.2809355556964874,1972-12-22
0.28744736313819885,1972-12-26
0.2939591109752655,1972-12-27
0.2962845265865326,1972-12-29
0.2939591109752655,1973-01-02
0.29070302844047546,1973-01-03
0.2981449365615845,1973-01-04
0.2981449365615845,1973-01-05
0.3000054657459259,1973-01-08
0.2976798117160797,1973-01-09
0.2953542470932007,1973-01-10
0.29954060912132263,1973-01-11
0.29256346821784973,1973-01-12
0.2916332185268402,1973-01-15
0.28884240984916687,1973-01-16
0.28977304697036743,1973-01-17
0.28465646505355835,1973-01-18
0.2837260961532593,1973-01-19
0.2809355556964874,1973-01-22
0.2812170088291168,1973-01-23
0.2793391942977905,1973-01-24
0.2793391942977905,1973-01-26
0.2784004211425781,1973-01-29
0.2784004211425781,1973-01-30
0.27886971831321716,1973-01-31
0.26478543877601624,1973-02-01
0.26478543877601624,1973-02-02
0.2629075050354004,1973-02-05
0.261968731880188,1973-02-06
0.2605600655078888,1973-02-07
0.25962114334106445,1973-02-08
0.2629075050354004,1973-02-09
0.2629075050354004,1973-02-12
