AM,Date
11.388692855834961,2017-05-04
11.533638954162598,2017-05-05
11.404224395751953,2017-05-08
11.388692855834961,2017-05-09
11.15056324005127,2017-05-10
11.000439643859863,2017-05-11
11.12985897064209,2017-05-12
11.021149635314941,2017-05-15
11.052206039428711,2017-05-16
10.871025085449219,2017-05-17
10.876202583312988,2017-05-18
10.871025085449219,2017-05-19
11.342103004455566,2017-05-22
11.404224395751953,2017-05-23
11.223039627075195,2017-05-24
11.41974925994873,2017-05-25
11.373160362243652,2017-05-26
11.445633888244629,2017-05-30
11.430106163024902,2017-05-31
11.683762550354004,2017-06-01
11.533638954162598,2017-06-02
11.543990135192871,2017-06-05
11.673408508300781,2017-06-06
11.512932777404785,2017-06-07
11.39387035369873,2017-06-08
11.378336906433105,2017-06-09
11.19715404510498,2017-06-12
11.424928665161133,2017-06-13
11.40939712524414,2017-06-14
10.860671043395996,2017-06-15
11.06773567199707,2017-06-16
11.015972137451172,2017-06-19
10.638072967529297,2017-06-20
10.586309432983398,2017-06-21
10.674311637878418,2017-06-22
10.808905601501465,2017-06-23
11.036678314208984,2017-06-26
11.114327430725098,2017-06-27
11.39904499053955,2017-06-28
11.20750617980957,2017-06-29
11.378336906433105,2017-06-30
11.342103004455566,2017-07-03
10.933145523071289,2017-07-05
11.036678314208984,2017-07-06
10.964204788208008,2017-07-07
10.896907806396484,2017-07-10
11.052206039428711,2017-07-11
11.124682426452637,2017-07-12
11.233392715454102,2017-07-13
11.135035514831543,2017-07-14
11.264453887939453,2017-07-17
11.166091918945312,2017-07-18
11.06773567199707,2017-07-19
11.026321411132812,2017-07-20
10.933145523071289,2017-07-21
10.881378173828125,2017-07-24
10.876202583312988,2017-07-25
10.876202583312988,2017-07-26
10.881378173828125,2017-07-27
10.917614936828613,2017-07-28
10.990089416503906,2017-07-31
11.159579277038574,2017-08-01
10.8641357421875,2017-08-02
10.516857147216797,2017-08-03
10.537588119506836,2017-08-04
10.371723175048828,2017-08-07
10.107377052307129,2017-08-08
10.039994239807129,2017-08-09
9.817112922668457,2017-08-10
9.832664489746094,2017-08-11
9.88449478149414,2017-08-14
9.697896957397461,2017-08-15
9.6564302444458,2017-08-16
9.578682899475098,2017-08-17
9.52166748046875,2017-08-18
9.402451515197754,2017-08-21
9.41281795501709,2017-08-22
9.552767753601074,2017-08-23
9.578682899475098,2017-08-24
9.526848793029785,2017-08-25
9.366170883178711,2017-08-28
9.298787117004395,2017-08-29
9.563136100769043,2017-08-30
9.879313468933105,2017-08-31
10.00370979309082,2017-09-01
10.159209251403809,2017-09-05
10.28879165649414,2017-09-06
10.257692337036133,2017-09-07
9.967429161071777,2017-09-08
9.931145668029785,2017-09-11
10.024444580078125,2017-09-12
10.07109546661377,2017-09-13
10.065913200378418,2017-09-14
10.107377052307129,2017-09-15
10.086642265319824,2017-09-18
10.050359725952148,2017-09-19
10.169574737548828,2017-09-20
10.128110885620117,2017-09-21
10.154026985168457,2017-09-22
10.413188934326172,2017-09-25
10.547956466674805,2017-09-26
10.418373107910156,2017-09-27
10.439106941223145,2017-09-28
10.610153198242188,2017-09-29
10.568687438964844,2017-10-02
10.485756874084473,2017-10-03
10.376908302307129,2017-10-04
10.465023040771484,2017-10-05
10.402822494506836,2017-10-06
10.428741455078125,2017-10-09
10.604971885681152,2017-10-10
10.604971885681152,2017-10-11
10.506487846374512,2017-10-12
10.413188934326172,2017-10-13
10.236958503723145,2017-10-16
10.195490837097168,2017-10-17
10.034811019897461,2017-10-18
9.858580589294434,2017-10-19
9.900046348571777,2017-10-20
9.542399406433105,2017-10-23
9.542399406433105,2017-10-24
9.532032012939453,2017-10-25
9.542399406433105,2017-10-26
9.485383987426758,2017-10-27
9.500933647155762,2017-10-30
9.729214668273926,2017-10-31
9.958016395568848,2017-11-01
9.45361614227295,2017-11-02
9.526413917541504,2017-11-03
9.479616165161133,2017-11-06
9.396414756774902,2017-11-07
9.308014869689941,2017-11-08
9.276814460754395,2017-11-09
9.20401668548584,2017-11-10
8.990812301635742,2017-11-13
8.777612686157227,2017-11-14
8.959613800048828,2017-11-15
8.840014457702637,2017-11-16
8.964812278747559,2017-11-17
8.86081314086914,2017-11-20
8.72561264038086,2017-11-21
8.80361557006836,2017-11-22
9.058414459228516,2017-11-24
9.001213073730469,2017-11-27
9.037612915039062,2017-11-28
9.053214073181152,2017-11-29
9.230013847351074,2017-11-30
9.365213394165039,2017-12-01
9.334014892578125,2017-12-04
9.297616958618164,2017-12-05
9.323615074157715,2017-12-06
9.57321548461914,2017-12-07
9.672016143798828,2017-12-08
9.786416053771973,2017-12-11
9.859213829040527,2017-12-12
9.822813987731934,2017-12-13
9.880012512207031,2017-12-14
10.046419143676758,2017-12-15
10.051615715026855,2017-12-18
9.989213943481445,2017-12-19
9.781214714050293,2017-12-20
9.646014213562012,2017-12-21
9.646014213562012,2017-12-22
9.7708158493042,2017-12-26
9.568015098571777,2017-12-27
9.848814964294434,2017-12-28
10.254414558410645,2017-12-29
10.769216537475586,2018-01-02
10.920016288757324,2018-01-03
10.88361644744873,2018-01-04
10.821216583251953,2018-01-05
10.712016105651855,2018-01-08
10.77441692352295,2018-01-09
10.899216651916504,2018-01-10
10.89401626586914,2018-01-11
10.940815925598145,2018-01-12
