INVH,Date
17.302377700805664,2017-02-01
17.501359939575195,2017-02-02
17.847400665283203,2017-02-03
17.93391990661621,2017-02-06
17.99447250366211,2017-02-07
18.029077529907227,2017-02-08
18.063684463500977,2017-02-09
18.18480110168457,2017-02-10
18.167503356933594,2017-02-13
18.19345474243164,2017-02-14
18.089637756347656,2017-02-15
18.13289451599121,2017-02-16
18.297266006469727,2017-02-17
18.5741024017334,2017-02-21
18.660614013671875,2017-02-22
18.669269561767578,2017-02-23
18.686565399169922,2017-02-24
18.868242263793945,2017-02-27
18.850948333740234,2017-02-28
18.626012802124023,2017-03-01
18.79038429260254,2017-03-02
18.868242263793945,2017-03-03
18.963409423828125,2017-03-06
18.868242263793945,2017-03-07
18.643310546875,2017-03-08
18.375125885009766,2017-03-09
18.513547897338867,2017-03-10
18.496246337890625,2017-03-13
18.383777618408203,2017-03-14
18.617361068725586,2017-03-15
18.582759857177734,2017-03-16
18.686565399169922,2017-03-17
18.634660720825195,2017-03-20
18.504892349243164,2017-03-21
18.60005760192871,2017-03-22
18.591402053833008,2017-03-23
18.669269561767578,2017-03-24
18.626012802124023,2017-03-27
18.721176147460938,2017-03-28
18.76443099975586,2017-03-29
18.81633949279785,2017-03-30
18.88555145263672,2017-03-31
18.7125244140625,2017-04-03
18.634660720825195,2017-04-04
18.669269561767578,2017-04-05
18.77308464050293,2017-04-06
18.695222854614258,2017-04-07
18.721176147460938,2017-04-10
18.643310546875,2017-04-11
18.643310546875,2017-04-12
18.41838264465332,2017-04-13
18.747129440307617,2017-04-17
18.833642959594727,2017-04-18
18.81633949279785,2017-04-19
18.591402053833008,2017-04-20
18.73847198486328,2017-04-21
18.721176147460938,2017-04-24
18.79038429260254,2017-04-25
18.75577735900879,2017-04-26
18.677921295166016,2017-04-27
18.643310546875,2017-04-28
18.75577735900879,2017-05-01
18.617361068725586,2017-05-02
18.582759857177734,2017-05-03
18.34052276611328,2017-05-04
18.401081085205078,2017-05-05
18.409727096557617,2017-05-08
18.556800842285156,2017-05-09
18.747129440307617,2017-05-10
18.998708724975586,2017-05-11
18.903284072875977,2017-05-12
18.998708724975586,2017-05-15
18.538928985595703,2017-05-16
18.686403274536133,2017-05-17
18.781829833984375,2017-05-18
18.89461326599121,2017-05-19
18.79918098449707,2017-05-22
18.703752517700195,2017-05-23
18.773157119750977,2017-05-24
18.391441345214844,2017-05-25
18.391441345214844,2017-05-26
18.53025245666504,2017-05-30
18.66904640197754,2017-05-31
18.8078556060791,2017-06-01
19.024734497070312,2017-06-02
