TDG,Date
9.877908706665039,2006-03-15
9.947587966918945,2006-03-16
10.250893592834473,2006-03-17
10.20580768585205,2006-03-20
9.918898582458496,2006-03-21
9.902502059936523,2006-03-22
9.877908706665039,2006-03-23
10.041858673095703,2006-03-24
10.144326210021973,2006-03-27
10.123833656311035,2006-03-28
10.20580768585205,2006-03-29
10.431238174438477,2006-03-30
10.554197311401367,2006-03-31
10.20580768585205,2006-04-03
10.164820671081543,2006-04-04
10.115636825561523,2006-04-05
9.939391136169434,2006-04-06
9.88200855255127,2006-04-07
9.963984489440918,2006-04-10
9.877908706665039,2006-04-11
9.877908706665039,2006-04-12
9.992674827575684,2006-04-13
10.082846641540527,2006-04-17
9.939391136169434,2006-04-18
10.144326210021973,2006-04-19
10.492716789245605,2006-04-20
10.431238174438477,2006-04-21
10.455830574035645,2006-04-24
10.574692726135254,2006-04-25
10.554197311401367,2006-04-26
10.406644821166992,2006-04-27
10.136128425598145,2006-04-28
10.304177284240723,2006-05-01
10.144326210021973,2006-05-02
10.091044425964355,2006-05-03
10.074647903442383,2006-05-04
10.062350273132324,2006-05-05
10.189413070678711,2006-05-08
10.214004516601562,2006-05-09
10.242695808410645,2006-05-10
10.574692726135254,2006-05-11
10.439434051513672,2006-05-12
10.36155891418457,2006-05-15
10.468125343322754,2006-05-16
10.410743713378906,2006-05-17
10.414841651916504,2006-05-18
10.410743713378906,2006-05-19
10.455830574035645,2006-05-22
10.349263191223145,2006-05-23
10.369754791259766,2006-05-24
10.279584884643555,2006-05-25
10.246795654296875,2006-05-26
10.238595962524414,2006-05-30
10.32466983795166,2006-05-31
10.65666675567627,2006-06-01
10.861601829528809,2006-06-02
10.853404998779297,2006-06-05
10.677159309387207,2006-06-06
10.603384017944336,2006-06-07
10.582891464233398,2006-06-08
10.164820671081543,2006-06-09
9.841021537780762,2006-06-12
9.443446159362793,2006-06-13
9.111449241638184,2006-06-14
9.20162296295166,2006-06-15
9.611494064331055,2006-06-16
9.386063575744629,2006-06-19
9.701665878295898,2006-06-20
10.017266273498535,2006-06-21
10.095142364501953,2006-06-22
10.402544975280762,2006-06-23
10.681259155273438,2006-06-26
10.701752662658691,2006-06-27
10.439434051513672,2006-06-28
10.607481002807617,2006-06-29
9.816431045532227,2006-06-30
9.644283294677734,2006-07-03
9.62378978729248,2006-07-05
9.443446159362793,2006-07-06
9.427050590515137,2006-07-07
9.492630958557129,2006-07-10
9.619690895080566,2006-07-11
9.652481079101562,2006-07-12
9.62378978729248,2006-07-13
9.472137451171875,2006-07-14
9.504927635192871,2006-07-17
9.693466186523438,2006-07-18
10.238595962524414,2006-07-19
10.250893592834473,2006-07-20
10.254993438720703,2006-07-21
10.484519958496094,2006-07-24
10.714049339294434,2006-07-25
10.291881561279297,2006-07-26
10.246795654296875,2006-07-27
10.45173168182373,2006-07-28
10.492716789245605,2006-07-31
10.28778076171875,2006-08-01
10.32466983795166,2006-08-02
10.46402645111084,2006-08-03
10.242695808410645,2006-08-04
10.152524948120117,2006-08-07
9.968083381652832,2006-08-08
9.500828742980957,2006-08-09
9.71396255493164,2006-08-10
9.656579971313477,2006-08-11
9.816431045532227,2006-08-14
9.836923599243164,2006-08-15
9.779541015625,2006-08-16
9.76314640045166,2006-08-17
9.76314640045166,2006-08-18
9.615591049194336,2006-08-21
9.537715911865234,2006-08-22
9.263101577758789,2006-08-23
9.16473388671875,2006-08-24
9.267200469970703,2006-08-25
9.345076560974121,2006-08-28
9.21391773223877,2006-08-29
9.316386222839355,2006-08-30
9.275398254394531,2006-08-31
