FMC,Date
0.44129326939582825,1980-03-17
0.44352221488952637,1980-03-18
0.44129326939582825,1980-03-19
0.44129326939582825,1980-03-20
0.43460699915885925,1980-03-21
0.41231968998908997,1980-03-24
0.39894700050354004,1980-03-25
0.3967180550098419,1980-03-26
0.3878033459186554,1980-03-27
0.4011757969856262,1980-03-28
0.3944895565509796,1980-03-31
0.4011757969856262,1980-04-01
0.40786170959472656,1980-04-02
0.40786170959472656,1980-04-03
0.4011757969856262,1980-04-07
0.4056333005428314,1980-04-08
0.41454800963401794,1980-04-09
0.432378351688385,1980-04-10
0.436835914850235,1980-04-11
0.432378351688385,1980-04-14
0.42123427987098694,1980-04-15
0.41231968998908997,1980-04-16
0.3878033459186554,1980-04-17
0.39894700050354004,1980-04-18
0.39003172516822815,1980-04-21
0.4034043550491333,1980-04-22
0.4034043550491333,1980-04-23
0.4056333005428314,1980-04-24
0.39226067066192627,1980-04-25
0.39226067066192627,1980-04-28
0.4034043550491333,1980-04-29
0.4056333005428314,1980-04-30
0.40786170959472656,1980-05-01
0.4011757969856262,1980-05-02
0.41009068489074707,1980-05-05
0.41009068489074707,1980-05-06
0.41454800963401794,1980-05-07
0.41454800963401794,1980-05-08
0.41900578141212463,1980-05-09
0.41454800963401794,1980-05-12
0.42123427987098694,1980-05-13
0.4167768061161041,1980-05-14
0.42123427987098694,1980-05-15
0.4279206395149231,1980-05-16
0.432378351688385,1980-05-19
0.42569220066070557,1980-05-20
0.4056333005428314,1980-05-21
0.41454800963401794,1980-05-22
0.4279206395149231,1980-05-23
0.4279206395149231,1980-05-27
0.42569220066070557,1980-05-28
0.42123427987098694,1980-05-29
0.41900578141212463,1980-05-30
0.42346325516700745,1980-06-02
0.4167768061161041,1980-06-03
0.42346325516700745,1980-06-04
0.436835914850235,1980-06-05
0.4279206395149231,1980-06-06
0.42346325516700745,1980-06-09
0.4167768061161041,1980-06-10
0.4279206395149231,1980-06-11
0.432378351688385,1980-06-12
0.432378351688385,1980-06-13
0.432378351688385,1980-06-16
0.436835914850235,1980-06-17
0.43460699915885925,1980-06-18
0.42569220066070557,1980-06-19
0.41900578141212463,1980-06-20
0.41900578141212463,1980-06-23
0.4167768061161041,1980-06-24
0.41454800963401794,1980-06-25
0.4167768061161041,1980-06-26
0.42569220066070557,1980-06-27
0.42123427987098694,1980-06-30
0.42123427987098694,1980-07-01
0.432378351688385,1980-07-02
0.4390643239021301,1980-07-03
