URBN,Date
1.734375,1994-09-30
1.6875,1994-10-03
1.6875,1994-10-04
1.71875,1994-10-05
1.75,1994-10-06
1.75,1994-10-07
1.71875,1994-10-10
1.796875,1994-10-11
1.8125,1994-10-12
1.796875,1994-10-13
1.816406011581421,1994-10-14
1.828125,1994-10-17
1.796875,1994-10-18
1.796875,1994-10-19
1.90625,1994-10-20
1.78125,1994-10-21
1.84375,1994-10-24
1.8828129768371582,1994-10-25
1.90625,1994-10-26
1.890625,1994-10-27
1.875,1994-10-28
1.890625,1994-10-31
1.890625,1994-11-01
1.90625,1994-11-02
1.90625,1994-11-03
1.875,1994-11-04
1.875,1994-11-07
1.8515629768371582,1994-11-08
1.890625,1994-11-09
1.84375,1994-11-10
1.84375,1994-11-11
1.875,1994-11-14
1.84375,1994-11-15
1.875,1994-11-16
1.875,1994-11-17
1.875,1994-11-18
1.875,1994-11-21
1.84375,1994-11-22
1.828125,1994-11-23
1.84375,1994-11-25
1.828125,1994-11-28
1.828125,1994-11-29
1.875,1994-11-30
1.8515629768371582,1994-12-01
1.859375,1994-12-02
1.890625,1994-12-05
1.84375,1994-12-06
1.8515629768371582,1994-12-07
1.8515629768371582,1994-12-08
1.8125,1994-12-09
1.859375,1994-12-12
1.875,1994-12-13
1.8671879768371582,1994-12-14
1.90625,1994-12-15
1.890625,1994-12-16
1.84375,1994-12-19
1.8359379768371582,1994-12-20
1.859375,1994-12-21
1.875,1994-12-22
1.8828129768371582,1994-12-23
1.8125,1994-12-27
1.8125,1994-12-28
1.78125,1994-12-29
1.703125,1994-12-30
1.703125,1995-01-03
1.671875,1995-01-04
1.7265629768371582,1995-01-05
1.703125,1995-01-06
1.671875,1995-01-09
1.640625,1995-01-10
1.65625,1995-01-11
1.6640629768371582,1995-01-12
1.625,1995-01-13
1.671875,1995-01-16
1.6640629768371582,1995-01-17
1.6875,1995-01-18
1.6875,1995-01-19
1.65625,1995-01-20
1.65625,1995-01-23
1.628906011581421,1995-01-24
1.625,1995-01-25
1.6328129768371582,1995-01-26
1.6328129768371582,1995-01-27
1.625,1995-01-30
1.609375,1995-01-31
1.640625,1995-02-01
1.609375,1995-02-02
1.640625,1995-02-03
1.609375,1995-02-06
1.578125,1995-02-07
1.515625,1995-02-08
1.578125,1995-02-09
1.578125,1995-02-10
1.5234379768371582,1995-02-13
1.515625,1995-02-14
1.5234379768371582,1995-02-15
1.5234379768371582,1995-02-16
1.5,1995-02-17
1.5,1995-02-21
1.515625,1995-02-22
1.53125,1995-02-23
1.53125,1995-02-24
1.46875,1995-02-27
1.46875,1995-02-28
1.40625,1995-03-01
1.3828129768371582,1995-03-02
1.375,1995-03-03
1.421875,1995-03-06
1.4375,1995-03-07
1.4765629768371582,1995-03-08
1.4765629768371582,1995-03-09
1.5,1995-03-10
1.5,1995-03-13
1.53125,1995-03-14
1.53125,1995-03-15
1.46875,1995-03-16
1.46875,1995-03-17
1.4609379768371582,1995-03-20
1.4375,1995-03-21
1.375,1995-03-22
1.390625,1995-03-23
1.390625,1995-03-24
1.328125,1995-03-27
1.328125,1995-03-28
1.3046879768371582,1995-03-29
1.3125,1995-03-30
1.25,1995-03-31
1.25,1995-04-03
1.34375,1995-04-04
1.4375,1995-04-05
1.4375,1995-04-06
1.375,1995-04-07
1.390625,1995-04-10
1.3125,1995-04-11
1.296875,1995-04-12
1.3125,1995-04-13
1.3125,1995-04-17
1.3125,1995-04-18
1.328125,1995-04-19
1.3828129768371582,1995-04-20
1.359375,1995-04-21
1.390625,1995-04-24
1.390625,1995-04-25
1.3671879768371582,1995-04-26
1.421875,1995-04-27
1.328125,1995-04-28
1.28125,1995-05-01
1.296875,1995-05-02
1.3125,1995-05-03
1.296875,1995-05-04
1.265625,1995-05-05
1.234375,1995-05-08
1.1875,1995-05-09
1.171875,1995-05-10
1.171875,1995-05-11
1.140625,1995-05-12
1.234375,1995-05-15
1.25,1995-05-16
1.234375,1995-05-17
1.25,1995-05-18
1.265625,1995-05-19
1.296875,1995-05-22
1.238281011581421,1995-05-23
1.25,1995-05-24
1.234375,1995-05-25
1.1875,1995-05-26
1.171875,1995-05-30
1.171875,1995-05-31
1.128906011581421,1995-06-01
