QCOM,Date
0.3535073697566986,1991-12-13
0.3485978841781616,1991-12-16
0.3485978841781616,1991-12-17
0.3584175705909729,1991-12-18
0.3436877429485321,1991-12-19
0.3535073697566986,1991-12-20
0.35105273127555847,1991-12-23
0.3780568838119507,1991-12-24
0.43206462264060974,1991-12-26
0.41733554005622864,1991-12-27
0.42715513706207275,1991-12-30
0.486072838306427,1991-12-31
0.5425354242324829,1992-01-02
0.549900233745575,1992-01-03
0.5155318379402161,1992-01-06
0.5008022785186768,1992-01-07
0.4418841600418091,1992-01-08
0.486072838306427,1992-01-09
0.47134312987327576,1992-01-10
0.5106217861175537,1992-01-13
0.5155318379402161,1992-01-14
0.5204414129257202,1992-01-15
0.5057122707366943,1992-01-16
0.49589264392852783,1992-01-17
0.4909825623035431,1992-01-20
0.47134312987327576,1992-01-21
0.4909825623035431,1992-01-22
0.4615234434604645,1992-01-23
0.4664335250854492,1992-01-24
0.4566139578819275,1992-01-27
0.4418841600418091,1992-01-28
0.4517039358615875,1992-01-29
0.4664335250854492,1992-01-30
0.47134312987327576,1992-01-31
0.48361754417419434,1992-02-03
0.4909825623035431,1992-02-04
0.486072838306427,1992-02-05
0.4762532711029053,1992-02-06
0.4615234434604645,1992-02-07
0.4418841600418091,1992-02-10
0.4467945396900177,1992-02-11
0.47134312987327576,1992-02-12
0.4467945396900177,1992-02-13
0.4566139578819275,1992-02-14
0.4467945396900177,1992-02-18
0.43206462264060974,1992-02-19
0.4566139578819275,1992-02-20
0.4124252498149872,1992-02-21
0.38542112708091736,1992-02-24
0.3927861154079437,1992-02-25
0.40751585364341736,1992-02-26
0.3976961374282837,1992-02-27
0.4026055634021759,1992-02-28
0.4026055634021759,1992-03-02
0.3878765404224396,1992-03-03
0.38296613097190857,1992-03-04
0.37314659357070923,1992-03-05
0.3633270859718323,1992-03-06
0.3633270859718323,1992-03-09
0.3878765404224396,1992-03-10
0.3633270859718323,1992-03-11
0.3780568838119507,1992-03-12
0.3780568838119507,1992-03-13
0.3633270859718323,1992-03-16
0.36823731660842896,1992-03-17
0.40015095472335815,1992-03-18
0.42715513706207275,1992-03-19
0.43697473406791687,1992-03-20
0.422245055437088,1992-03-23
0.422245055437088,1992-03-24
0.43206462264060974,1992-03-25
0.43697473406791687,1992-03-26
0.422245055437088,1992-03-27
0.422245055437088,1992-03-30
0.4517039358615875,1992-03-31
0.4296097457408905,1992-04-01
0.40751585364341736,1992-04-02
0.40751585364341736,1992-04-03
0.41488006711006165,1992-04-06
0.41733554005622864,1992-04-07
0.41733554005622864,1992-04-08
0.4124252498149872,1992-04-09
0.422245055437088,1992-04-10
0.43206462264060974,1992-04-13
0.4418841600418091,1992-04-14
0.4566139578819275,1992-04-15
0.44924893975257874,1992-04-16
0.4517039358615875,1992-04-20
0.4566139578819275,1992-04-21
0.47134312987327576,1992-04-22
0.4566139578819275,1992-04-23
0.4467945396900177,1992-04-24
0.4418841600418091,1992-04-27
0.41733554005622864,1992-04-28
0.42715513706207275,1992-04-29
0.4124252498149872,1992-04-30
0.41733554005622864,1992-05-01
0.41733554005622864,1992-05-04
0.422245055437088,1992-05-05
0.422245055437088,1992-05-06
0.41733554005622864,1992-05-07
0.41733554005622864,1992-05-08
0.41733554005622864,1992-05-11
0.3927861154079437,1992-05-12
0.3780568838119507,1992-05-13
0.3780568838119507,1992-05-14
0.36823731660842896,1992-05-15
0.3657818138599396,1992-05-18
0.3633270859718323,1992-05-19
0.3485978841781616,1992-05-20
0.3535073697566986,1992-05-21
0.3584175705909729,1992-05-22
0.3706919252872467,1992-05-26
0.3559620976448059,1992-05-27
0.3535073697566986,1992-05-28
0.3608722984790802,1992-05-29
0.37314659357070923,1992-06-01
0.3633270859718323,1992-06-02
0.38296613097190857,1992-06-03
0.3976961374282837,1992-06-04
0.3976961374282837,1992-06-05
0.37314659357070923,1992-06-08
0.3584175705909729,1992-06-09
0.3485978841781616,1992-06-10
0.36823731660842896,1992-06-11
0.4026055634021759,1992-06-12
0.4026055634021759,1992-06-15
0.38296613097190857,1992-06-16
0.3584175705909729,1992-06-17
0.35105273127555847,1992-06-18
0.3535073697566986,1992-06-19
0.3461424708366394,1992-06-22
0.3535073697566986,1992-06-23
0.3485978841781616,1992-06-24
0.3535073697566986,1992-06-25
0.3535073697566986,1992-06-26
0.37314659357070923,1992-06-29
0.38296613097190857,1992-06-30
0.38296613097190857,1992-07-01
0.3780568838119507,1992-07-02
0.36823731660842896,1992-07-06
0.37314659357070923,1992-07-07
0.3780568838119507,1992-07-08
0.37314659357070923,1992-07-09
0.37314659357070923,1992-07-10
0.36823731660842896,1992-07-13
0.3780568838119507,1992-07-14
0.35105273127555847,1992-07-15
0.35105273127555847,1992-07-16
0.35105273127555847,1992-07-17
0.3387782573699951,1992-07-20
0.31177398562431335,1992-07-21
0.29704439640045166,1992-07-22
0.3191390037536621,1992-07-23
0.304408997297287,1992-07-24
0.30931925773620605,1992-07-27
0.3387782573699951,1992-07-28
0.3387782573699951,1992-07-29
