HSIC,Date
4.460783958435059,1995-11-03
4.485293865203857,1995-11-06
4.411765098571777,1995-11-07
4.3627448081970215,1995-11-08
4.460783958435059,1995-11-09
4.264706134796143,1995-11-10
4.3627448081970215,1995-11-13
4.264706134796143,1995-11-14
4.350490093231201,1995-11-15
4.411765098571777,1995-11-16
4.313724994659424,1995-11-17
4.313724994659424,1995-11-20
4.313724994659424,1995-11-21
4.313724994659424,1995-11-22
4.44852876663208,1995-11-24
4.509803771972656,1995-11-27
4.607842922210693,1995-11-28
5.0,1995-11-29
4.950980186462402,1995-11-30
4.950980186462402,1995-12-01
4.779411792755127,1995-12-04
4.852941036224365,1995-12-05
4.877450942993164,1995-12-06
4.754901885986328,1995-12-07
4.803922176361084,1995-12-08
4.803922176361084,1995-12-11
4.754901885986328,1995-12-12
4.656863212585449,1995-12-13
4.558824062347412,1995-12-14
4.558824062347412,1995-12-15
4.460783958435059,1995-12-18
4.558824062347412,1995-12-19
4.656863212585449,1995-12-20
4.558824062347412,1995-12-21
4.7058820724487305,1995-12-22
4.558824062347412,1995-12-26
5.245098114013672,1995-12-27
5.539216041564941,1995-12-28
5.784314155578613,1995-12-29
5.343136787414551,1996-01-02
5.147058963775635,1996-01-03
4.779411792755127,1996-01-04
4.754901885986328,1996-01-05
4.632352828979492,1996-01-08
4.6691179275512695,1996-01-09
4.754901885986328,1996-01-10
4.656863212585449,1996-01-11
4.656863212585449,1996-01-12
4.656863212585449,1996-01-15
4.803922176361084,1996-01-16
4.803922176361084,1996-01-17
4.950980186462402,1996-01-18
5.245098114013672,1996-01-19
5.490196228027344,1996-01-22
5.563724994659424,1996-01-23
5.539216041564941,1996-01-24
5.539216041564941,1996-01-25
5.343136787414551,1996-01-26
5.490196228027344,1996-01-29
5.490196228027344,1996-01-30
5.784314155578613,1996-01-31
5.588234901428223,1996-02-01
5.735293865203857,1996-02-02
5.735293865203857,1996-02-05
5.784314155578613,1996-02-06
5.882352828979492,1996-02-07
5.735293865203857,1996-02-08
5.784314155578613,1996-02-09
5.784314155578613,1996-02-12
5.808824062347412,1996-02-13
5.784314155578613,1996-02-14
5.686275005340576,1996-02-15
5.735293865203857,1996-02-16
5.686275005340576,1996-02-20
5.686275005340576,1996-02-21
5.8333330154418945,1996-02-22
5.710783958435059,1996-02-23
5.759803771972656,1996-02-26
5.686275005340576,1996-02-27
5.686275005340576,1996-02-28
5.686275005340576,1996-02-29
5.735293865203857,1996-03-01
