SRE,Date
2.246328115463257,1998-06-29
2.187343120574951,1998-06-30
2.192258358001709,1998-07-01
2.177513360977173,1998-07-02
2.1381900310516357,1998-07-06
2.12835955619812,1998-07-07
2.1431055068969727,1998-07-08
2.1234428882598877,1998-07-09
2.1234428882598877,1998-07-10
2.1136131286621094,1998-07-13
2.1234428882598877,1998-07-14
2.1185288429260254,1998-07-15
2.0939512252807617,1998-07-16
2.084120512008667,1998-07-17
2.0693750381469727,1998-07-20
2.044796943664551,1998-07-21
2.049712657928467,1998-07-22
2.0693750381469727,1998-07-23
2.0546276569366455,1998-07-24
2.0595436096191406,1998-07-27
2.0251355171203613,1998-07-28
2.00547456741333,1998-07-29
2.0251355171203613,1998-07-30
1.9808984994888306,1998-07-31
1.9563206434249878,1998-08-03
1.8924208879470825,1998-08-04
1.9759823083877563,1998-08-05
1.946489691734314,1998-08-06
1.9219129085540771,1998-08-07
1.946489691734314,1998-08-10
1.9022513628005981,1998-08-11
1.9759823083877563,1998-08-12
1.9612361192703247,1998-08-13
1.946489691734314,1998-08-14
1.9858124256134033,1998-08-17
1.966151475906372,1998-08-18
1.9563206434249878,1998-08-19
1.9710667133331299,1998-08-20
1.9858124256134033,1998-08-21
1.995644211769104,1998-08-24
2.0251355171203613,1998-08-25
2.015305995941162,1998-08-26
2.010389804840088,1998-08-27
2.015305995941162,1998-08-28
2.0005593299865723,1998-08-31
1.9907281398773193,1998-09-01
1.9710667133331299,1998-09-02
1.966151475906372,1998-09-03
1.9759823083877563,1998-09-04
1.9907281398773193,1998-09-08
1.9858124256134033,1998-09-09
1.9907281398773193,1998-09-10
1.995644211769104,1998-09-11
2.0251355171203613,1998-09-14
2.0693750381469727,1998-09-15
2.0792057514190674,1998-09-16
2.1018950939178467,1998-09-17
2.13228440284729,1998-09-18
2.13228440284729,1998-09-21
2.112025022506714,1998-09-22
2.162673234939575,1998-09-23
2.1272192001342773,1998-09-24
2.1373496055603027,1998-09-25
2.147479295730591,1998-09-28
2.1677374839782715,1998-09-29
2.112025022506714,1998-09-30
2.162673234939575,1998-10-01
2.2538392543792725,1998-10-02
2.3247458934783936,1998-10-05
2.3348774909973145,1998-10-06
2.3652660846710205,1998-10-07
2.3399412631988525,1998-10-08
2.269033432006836,1998-10-09
2.122154474258423,1998-10-12
2.1981263160705566,1998-10-13
2.2437095642089844,1998-10-14
2.1981263160705566,1998-10-15
2.1677374839782715,1998-10-16
2.147479295730591,1998-10-19
2.0512475967407227,1998-10-20
2.056312084197998,1998-10-21
2.106959581375122,1998-10-22
2.091766357421875,1998-10-23
2.071506977081299,1998-10-26
2.0512475967407227,1998-10-27
2.091766357421875,1998-10-28
2.076571464538574,1998-10-29
2.106959581375122,1998-10-30
2.1525442600250244,1998-11-02
2.2133209705352783,1998-11-03
2.1778676509857178,1998-11-04
2.157608985900879,1998-11-05
2.1525442600250244,1998-11-06
2.1525442600250244,1998-11-09
2.157608985900879,1998-11-10
2.13228440284729,1998-11-11
2.147479295730591,1998-11-12
2.147479295730591,1998-11-13
2.13228440284729,1998-11-16
2.142414093017578,1998-11-17
2.106959581375122,1998-11-18
2.091766357421875,1998-11-19
2.096830368041992,1998-11-20
2.112025022506714,1998-11-23
2.1170902252197266,1998-11-24
2.106959581375122,1998-11-25
2.076571464538574,1998-11-27
2.0157930850982666,1998-11-30
2.0461831092834473,1998-12-01
2.056312084197998,1998-12-02
2.0461831092834473,1998-12-03
2.076571464538574,1998-12-04
2.091766357421875,1998-12-07
2.091766357421875,1998-12-08
2.096830368041992,1998-12-09
2.071506977081299,1998-12-10
2.066441774368286,1998-12-11
2.0461831092834473,1998-12-14
2.0411179065704346,1998-12-15
2.0360538959503174,1998-12-16
2.059471607208252,1998-12-17
2.0908331871032715,1998-12-18
2.12742280960083,1998-12-21
2.1117405891418457,1998-12-22
2.12742280960083,1998-12-23
2.1326494216918945,1998-12-24
2.1065146923065186,1998-12-28
2.12742280960083,1998-12-29
2.1169681549072266,1998-12-30
2.1221954822540283,1998-12-31
2.137876510620117,1999-01-04
2.1744654178619385,1999-01-05
2.1483309268951416,1999-01-06
2.1483309268951416,1999-01-07
2.1169681549072266,1999-01-08
2.06992506980896,1999-01-11
2.101287841796875,1999-01-12
2.101287841796875,1999-01-13
2.0803775787353516,1999-01-14
2.06992506980896,1999-01-15
2.059471607208252,1999-01-19
2.0176546573638916,1999-01-20
2.059471607208252,1999-01-21
2.043788433074951,1999-01-22
2.0542430877685547,1999-01-25
2.038562297821045,1999-01-26
2.033334732055664,1999-01-27
1.9653823375701904,1999-01-28
1.923566222190857,1999-01-29
1.8922041654586792,1999-02-01
1.8608406782150269,1999-02-02
1.9078857898712158,1999-02-03
1.8869765996932983,1999-02-04
1.850386619567871,1999-02-05
1.8922041654586792,1999-02-08
1.8660688400268555,1999-02-09
1.834706425666809,1999-02-10
1.8190240859985352,1999-02-11
1.8085707426071167,1999-02-12
1.8451603651046753,1999-02-16
1.8190240859985352,1999-02-17
1.850386619567871,1999-02-18
1.8660688400268555,1999-02-19
1.8033431768417358,1999-02-22
1.8033431768417358,1999-02-23
1.7824350595474243,1999-02-24
1.7510721683502197,1999-02-25
1.7562988996505737,1999-02-26
1.7667535543441772,1999-03-01
1.7615267038345337,1999-03-02
1.7249361276626587,1999-03-03
1.7719813585281372,1999-03-04
1.7981157302856445,1999-03-05
1.7772083282470703,1999-03-08
1.7353909015655518,1999-03-09
1.7144824266433716,1999-03-10
1.7144824266433716,1999-03-11
1.7510721683502197,1999-03-12
1.7667535543441772,1999-03-15
1.792887806892395,1999-03-16
1.811766505241394,1999-03-17
1.7900676727294922,1999-03-18
1.768370270729065,1999-03-19
1.7737948894500732,1999-03-22
1.7358239889144897,1999-03-23
1.7737948894500732,1999-03-24
1.7303990125656128,1999-03-25
1.7358239889144897,1999-03-26
1.7249741554260254,1999-03-29
1.6707302331924438,1999-03-30
1.6653062105178833,1999-03-31
1.6707302331924438,1999-04-01
1.6707302331924438,1999-04-05
