IEX,Date
1.847251534461975,1989-06-02
1.83146333694458,1989-06-05
1.83146333694458,1989-06-06
1.847251534461975,1989-06-07
1.847251534461975,1989-06-08
1.8630388975143433,1989-06-09
1.847251534461975,1989-06-12
1.8156750202178955,1989-06-13
1.7998865842819214,1989-06-14
1.7840970754623413,1989-06-15
1.7998865842819214,1989-06-16
1.83146333694458,1989-06-19
1.83146333694458,1989-06-20
1.847251534461975,1989-06-21
1.847251534461975,1989-06-22
1.83146333694458,1989-06-23
1.83146333694458,1989-06-26
1.847251534461975,1989-06-27
1.8156750202178955,1989-06-28
1.8156750202178955,1989-06-29
1.7998865842819214,1989-06-30
1.8156750202178955,1989-07-03
1.83146333694458,1989-07-05
1.7840970754623413,1989-07-06
1.8156750202178955,1989-07-07
1.8630388975143433,1989-07-10
1.847251534461975,1989-07-11
1.847251534461975,1989-07-12
1.847251534461975,1989-07-13
1.847251534461975,1989-07-14
1.8630388975143433,1989-07-17
1.8630388975143433,1989-07-18
1.8946170806884766,1989-07-19
1.8946170806884766,1989-07-20
1.8946170806884766,1989-07-21
1.9893478155136108,1989-07-24
1.9577692747116089,1989-07-25
1.9893478155136108,1989-07-26
2.005136489868164,1989-07-27
2.005136489868164,1989-07-28
2.036712646484375,1989-07-31
2.052501916885376,1989-08-01
2.052501916885376,1989-08-02
2.052501916885376,1989-08-03
2.0209248065948486,1989-08-04
2.052501916885376,1989-08-07
2.036712646484375,1989-08-08
2.0209248065948486,1989-08-09
2.0209248065948486,1989-08-10
2.005136489868164,1989-08-11
1.9893478155136108,1989-08-14
2.005136489868164,1989-08-15
2.0209248065948486,1989-08-16
2.0209248065948486,1989-08-17
1.9893478155136108,1989-08-18
1.9735585451126099,1989-08-21
1.9735585451126099,1989-08-22
1.9893478155136108,1989-08-23
1.9893478155136108,1989-08-24
1.9893478155136108,1989-08-25
1.9735585451126099,1989-08-28
1.9419831037521362,1989-08-29
1.9419831037521362,1989-08-30
1.9419831037521362,1989-08-31
1.9577692747116089,1989-09-01
1.9735585451126099,1989-09-05
1.9735585451126099,1989-09-06
2.005136489868164,1989-09-07
2.005136489868164,1989-09-08
2.0209248065948486,1989-09-11
2.0209248065948486,1989-09-12
2.005136489868164,1989-09-13
2.005136489868164,1989-09-14
2.0209248065948486,1989-09-15
2.0209248065948486,1989-09-18
2.005136489868164,1989-09-19
2.005136489868164,1989-09-20
2.005136489868164,1989-09-21
2.005136489868164,1989-09-22
1.9735585451126099,1989-09-25
1.9577692747116089,1989-09-26
2.005136489868164,1989-09-27
1.9735585451126099,1989-09-28
1.9735585451126099,1989-09-29
1.9893478155136108,1989-10-02
2.005136489868164,1989-10-03
2.052501916885376,1989-10-04
2.005136489868164,1989-10-05
2.0209248065948486,1989-10-06
2.068289279937744,1989-10-09
2.068289279937744,1989-10-10
2.084078550338745,1989-10-11
2.052501916885376,1989-10-12
1.9577692747116089,1989-10-13
1.910404920578003,1989-10-16
1.8946170806884766,1989-10-17
1.8946170806884766,1989-10-18
1.8946170806884766,1989-10-19
1.9577692747116089,1989-10-20
1.9419831037521362,1989-10-23
1.910404920578003,1989-10-24
1.9261945486068726,1989-10-25
1.8946170806884766,1989-10-26
1.8946170806884766,1989-10-27
1.8788280487060547,1989-10-30
1.8788280487060547,1989-10-31
1.9261945486068726,1989-11-01
1.8788280487060547,1989-11-02
1.8788280487060547,1989-11-03
