PRGO,Date
9.204733848571777,1991-12-17
9.105758666992188,1991-12-18
8.907806396484375,1991-12-19
9.105758666992188,1991-12-20
9.402688980102539,1991-12-23
9.501660346984863,1991-12-24
10.689367294311523,1991-12-26
10.689367294311523,1991-12-27
11.283224105834961,1991-12-30
11.77810001373291,1991-12-31
11.283224105834961,1992-01-02
11.976053237915039,1992-01-03
12.272978782653809,1992-01-06
11.87707805633545,1992-01-07
11.87707805633545,1992-01-08
11.48117446899414,1992-01-09
11.77810001373291,1992-01-10
12.075030326843262,1992-01-13
11.976053237915039,1992-01-14
11.87707805633545,1992-01-15
11.679122924804688,1992-01-16
11.382197380065918,1992-01-17
10.788346290588379,1992-01-20
10.689367294311523,1992-01-21
10.887316703796387,1992-01-22
11.679122924804688,1992-01-23
12.272978782653809,1992-01-24
12.272978782653809,1992-01-27
12.371956825256348,1992-01-28
12.569906234741211,1992-01-29
12.619392395019531,1992-01-30
12.66888427734375,1992-01-31
12.866835594177246,1992-02-03
12.965808868408203,1992-02-04
12.866835594177246,1992-02-05
13.064788818359375,1992-02-06
13.163756370544434,1992-02-07
13.361713409423828,1992-02-10
13.163756370544434,1992-02-11
13.163756370544434,1992-02-12
13.064788818359375,1992-02-13
12.866835594177246,1992-02-14
12.965808868408203,1992-02-18
12.66888427734375,1992-02-19
12.965808868408203,1992-02-20
14.05454158782959,1992-02-21
13.163756370544434,1992-02-24
12.767857551574707,1992-02-25
12.866835594177246,1992-02-26
12.470934867858887,1992-02-27
12.470934867858887,1992-02-28
12.075030326843262,1992-03-02
11.77810001373291,1992-03-03
11.629640579223633,1992-03-04
11.976053237915039,1992-03-05
11.679122924804688,1992-03-06
11.976053237915039,1992-03-09
12.470934867858887,1992-03-10
12.174005508422852,1992-03-11
12.272978782653809,1992-03-12
12.075030326843262,1992-03-13
12.174005508422852,1992-03-16
12.075030326843262,1992-03-17
11.77810001373291,1992-03-18
11.679122924804688,1992-03-19
12.124516487121582,1992-03-20
12.272978782653809,1992-03-23
12.470934867858887,1992-03-24
12.4214448928833,1992-03-25
12.965808868408203,1992-03-26
12.965808868408203,1992-03-27
12.965808868408203,1992-03-30
12.965808868408203,1992-03-31
13.064788818359375,1992-04-01
12.569906234741211,1992-04-02
12.272978782653809,1992-04-03
12.272978782653809,1992-04-06
12.075030326843262,1992-04-07
11.679122924804688,1992-04-08
11.87707805633545,1992-04-09
12.371956825256348,1992-04-10
12.965808868408203,1992-04-13
13.163756370544434,1992-04-14
13.856592178344727,1992-04-15
12.866835594177246,1992-04-16
12.470934867858887,1992-04-20
12.4214448928833,1992-04-21
12.371956825256348,1992-04-22
12.174005508422852,1992-04-23
11.87707805633545,1992-04-24
11.085268020629883,1992-04-27
10.887316703796387,1992-04-28
11.48117446899414,1992-04-29
12.371956825256348,1992-04-30
12.075030326843262,1992-05-01
12.075030326843262,1992-05-04
12.272978782653809,1992-05-05
12.075030326843262,1992-05-06
12.075030326843262,1992-05-07
11.976053237915039,1992-05-08
12.174005508422852,1992-05-11
11.976053237915039,1992-05-12
11.976053237915039,1992-05-13
12.174005508422852,1992-05-14
11.77810001373291,1992-05-15
11.530660629272461,1992-05-18
11.679122924804688,1992-05-19
11.382197380065918,1992-05-20
