MSFT,Date
0.06016287952661514,1986-03-13
0.06231142580509186,1986-03-14
0.06338629871606827,1986-03-17
0.06177426502108574,1986-03-18
0.060699980705976486,1986-03-19
0.05908858776092529,1986-03-20
0.05747717246413231,1986-03-21
0.05586577579379082,1986-03-24
0.05694003775715828,1986-03-25
0.058551471680402756,1986-03-26
0.05962572991847992,1986-03-27
0.05908858776092529,1986-03-31
0.058551471680402756,1986-04-01
0.05908858776092529,1986-04-02
0.05962572991847992,1986-04-03
0.05962572991847992,1986-04-04
0.058551471680402756,1986-04-07
0.05908858776092529,1986-04-08
0.06016287952661514,1986-04-09
0.060699980705976486,1986-04-10
0.06177426502108574,1986-04-11
0.06231142580509186,1986-04-14
0.06231142580509186,1986-04-15
0.06446055322885513,1986-04-16
0.06499771028757095,1986-04-17
0.06284918636083603,1986-04-18
0.06284918636083603,1986-04-21
0.06177426502108574,1986-04-22
0.062042828649282455,1986-04-23
0.06822051107883453,1986-04-24
0.0725182443857193,1986-04-25
0.07305533438920975,1986-04-28
0.07090618461370468,1986-04-29
0.06929478794336319,1986-04-30
0.06822051107883453,1986-05-01
0.06822051107883453,1986-05-02
0.06768336892127991,1986-05-05
0.06822051107883453,1986-05-06
0.06822051107883453,1986-05-07
0.06875768303871155,1986-05-08
0.06822051107883453,1986-05-09
0.06875768303871155,1986-05-12
0.06929478794336319,1986-05-13
0.06875768303871155,1986-05-14
0.06875768303871155,1986-05-15
0.06929478794336319,1986-05-16
0.06822051107883453,1986-05-19
0.06768336892127991,1986-05-20
0.06660908460617065,1986-05-21
0.06660908460617065,1986-05-22
0.06660908460617065,1986-05-23
0.06875768303871155,1986-05-27
0.07090618461370468,1986-05-28
0.0725182443857193,1986-05-29
0.07520390301942825,1986-05-30
0.07305533438920975,1986-06-02
0.07305533438920975,1986-06-03
0.0725182443857193,1986-06-04
0.07359249889850616,1986-06-05
0.07359249889850616,1986-06-06
0.07036904990673065,1986-06-09
0.07036904990673065,1986-06-10
0.07036904990673065,1986-06-11
0.06768336892127991,1986-06-12
0.06768336892127991,1986-06-13
0.06714624166488647,1986-06-16
0.06822051107883453,1986-06-17
0.06768336892127991,1986-06-18
0.06714624166488647,1986-06-19
0.06741482019424438,1986-06-20
0.06822051107883453,1986-06-23
0.06768336892127991,1986-06-24
0.06660908460617065,1986-06-25
0.06446055322885513,1986-06-26
0.06392338126897812,1986-06-27
0.06607197970151901,1986-06-30
0.06607197970151901,1986-07-01
0.06607197970151901,1986-07-02
0.06714624166488647,1986-07-03
