WBA,Date
0.10288237780332565,1980-03-17
0.10240188986063004,1980-03-18
0.10528630763292313,1980-03-19
0.10480576753616333,1980-03-20
0.10528630763292313,1980-03-21
0.10480576753616333,1980-03-24
0.10384435206651688,1980-03-25
0.10576726496219635,1980-03-26
0.10480576753616333,1980-03-27
0.10528630763292313,1980-03-28
0.1086515560746193,1980-03-31
0.1086515560746193,1980-04-01
0.10624770075082779,1980-04-02
0.10576726496219635,1980-04-03
0.10384435206651688,1980-04-07
0.10384435206651688,1980-04-08
0.10336336493492126,1980-04-09
0.10480576753616333,1980-04-10
0.10384435206651688,1980-04-11
0.10480576753616333,1980-04-14
0.10384435206651688,1980-04-15
0.10432478040456772,1980-04-16
0.10432478040456772,1980-04-17
0.10480576753616333,1980-04-18
0.10336336493492126,1980-04-21
0.10432478040456772,1980-04-22
0.10576726496219635,1980-04-23
0.10624770075082779,1980-04-24
0.10769011080265045,1980-04-25
0.10624770075082779,1980-04-28
0.10624770075082779,1980-04-29
0.10817113518714905,1980-04-30
0.10961306840181351,1980-05-01
0.1100940927863121,1980-05-02
0.10961306840181351,1980-05-05
0.11057455837726593,1980-05-06
0.11538231372833252,1980-05-07
0.11538231372833252,1980-05-08
0.11586334556341171,1980-05-09
0.11393985152244568,1980-05-12
0.1182667538523674,1980-05-13
0.12163204699754715,1980-05-14
0.12355540692806244,1980-05-15
0.123074471950531,1980-05-16
0.123074471950531,1980-05-19
0.123074471950531,1980-05-20
0.12259351462125778,1980-05-21
0.12067057937383652,1980-05-22
0.12067057937383652,1980-05-23
0.12067057937383652,1980-05-27
0.12115158885717392,1980-05-28
0.1177862361073494,1980-05-29
0.11634380370378494,1980-05-30
0.11634380370378494,1980-06-02
0.1177862361073494,1980-06-03
0.1201901063323021,1980-06-04
0.12211304157972336,1980-06-05
0.12211304157972336,1980-06-06
0.12115158885717392,1980-06-09
0.1201901063323021,1980-06-10
0.1201901063323021,1980-06-11
0.11922865360975266,1980-06-12
0.11874770373106003,1980-06-13
0.11922865360975266,1980-06-16
0.11970914155244827,1980-06-17
0.1182667538523674,1980-06-18
0.11970914155244827,1980-06-19
0.11874770373106003,1980-06-20
0.11634380370378494,1980-06-23
0.11730523407459259,1980-06-24
0.1177862361073494,1980-06-25
0.11970914155244827,1980-06-26
0.11874770373106003,1980-06-27
0.11922865360975266,1980-06-30
0.123074471950531,1980-07-01
0.12403596937656403,1980-07-02
0.1283627450466156,1980-07-03
0.12980516254901886,1980-07-07
0.1307666003704071,1980-07-08
0.12740132212638855,1980-07-09
0.12980516254901886,1980-07-10
0.1283627450466156,1980-07-11
0.12884372472763062,1980-07-14
0.134613037109375,1980-07-15
0.13365107774734497,1980-07-16
0.13317054510116577,1980-07-17
0.13413192331790924,1980-07-18
0.13509337604045868,1980-07-21
0.1379777491092682,1980-07-22
0.13749733567237854,1980-07-23
0.13845887780189514,1980-07-24
0.1379777491092682,1980-07-25
0.13845887780189514,1980-07-28
0.1423051506280899,1980-07-29
0.14134329557418823,1980-07-30
0.14086271822452545,1980-07-31
0.13893970847129822,1980-08-01
0.13701647520065308,1980-08-04
0.1379777491092682,1980-08-05
0.13605493307113647,1980-08-06
0.13893970847129822,1980-08-07
0.14470849931240082,1980-08-08
0.14566993713378906,1980-08-11
0.14999724924564362,1980-08-12
0.14999724924564362,1980-08-13
0.14663183689117432,1980-08-14
0.14807389676570892,1980-08-15
0.14663183689117432,1980-08-18
0.1423051506280899,1980-08-19
0.1442279815673828,1980-08-20
0.14615091681480408,1980-08-21
0.14566993713378906,1980-08-22
0.14615091681480408,1980-08-25
0.14807389676570892,1980-08-26
0.14807389676570892,1980-08-27
0.1471123844385147,1980-08-28
0.14566993713378906,1980-08-29
0.1451895385980606,1980-09-02
0.1418241411447525,1980-09-03
0.14326657354831696,1980-09-04
0.14278560876846313,1980-09-05
0.14278560876846313,1980-09-08
0.14326657354831696,1980-09-09
0.14374715089797974,1980-09-10
0.14566993713378906,1980-09-11
0.14566993713378906,1980-09-12
0.1442279815673828,1980-09-15
0.14663183689117432,1980-09-16
0.14951631426811218,1980-09-17
0.15047769248485565,1980-09-18
0.1538429856300354,1980-09-19
0.15817002952098846,1980-09-22
0.15768933296203613,1980-09-23
0.15672750771045685,1980-09-24
0.15720847249031067,1980-09-25
0.15720847249031067,1980-09-26
0.1548045426607132,1980-09-29
0.15432408452033997,1980-09-30
0.15143921971321106,1980-10-01
0.14999724924564362,1980-10-02
0.15047769248485565,1980-10-03
0.14903530478477478,1980-10-06
0.14903530478477478,1980-10-07
0.14999724924564362,1980-10-08
0.1475934088230133,1980-10-09
0.1442279815673828,1980-10-10
0.1418241411447525,1980-10-13
0.1423051506280899,1980-10-14
0.1423051506280899,1980-10-15
0.14326657354831696,1980-10-16
0.14278560876846313,1980-10-17
0.1423051506280899,1980-10-20
0.14326657354831696,1980-10-21
0.14134329557418823,1980-10-22
0.14086271822452545,1980-10-23
0.1418241411447525,1980-10-24
0.1418241411447525,1980-10-27
0.1418241411447525,1980-10-28
0.14086271822452545,1980-10-29
0.1403816193342209,1980-10-30
0.1423051506280899,1980-10-31
0.14374715089797974,1980-11-03
0.14566993713378906,1980-11-05
0.1442279815673828,1980-11-06
0.14615091681480408,1980-11-07
0.1475934088230133,1980-11-10
0.14903530478477478,1980-11-11
0.1528816670179367,1980-11-12
0.1548045426607132,1980-11-13
0.1538429856300354,1980-11-14
0.15240062773227692,1980-11-17
0.1528816670179367,1980-11-18
0.1538429856300354,1980-11-19
0.1548045426607132,1980-11-20
