SBUX,Date
0.262681245803833,1992-06-26
0.28100740909576416,1992-06-29
0.27184391021728516,1992-06-30
0.27795323729515076,1992-07-01
0.27795323729515076,1992-07-02
0.27795323729515076,1992-07-06
0.27795323729515076,1992-07-07
0.27184391021728516,1992-07-08
0.28100740909576416,1992-07-09
0.28406164050102234,1992-07-10
0.29017090797424316,1992-07-13
0.29017090797424316,1992-07-14
0.29933425784111023,1992-07-15
0.3191877007484436,1992-07-16
0.33598753809928894,1992-07-17
0.33904168009757996,1992-07-20
0.3420959413051605,1992-07-21
0.33904168009757996,1992-07-22
0.3451502323150635,1992-07-23
0.34820523858070374,1992-07-24
0.3558407723903656,1992-07-27
0.3420959413051605,1992-07-28
0.32529696822166443,1992-07-29
0.32376980781555176,1992-07-30
0.32529696822166443,1992-07-31
0.32835114002227783,1992-08-03
0.33445945382118225,1992-08-04
0.3207148015499115,1992-08-05
0.3207148015499115,1992-08-06
0.3329325020313263,1992-08-07
0.3329325020313263,1992-08-10
0.33598753809928894,1992-08-11
0.3207148015499115,1992-08-12
0.3207148015499115,1992-08-13
0.30238866806030273,1992-08-14
0.30849701166152954,1992-08-17
0.3054428994655609,1992-08-18
0.3054428994655609,1992-08-19
0.30238866806030273,1992-08-20
0.29627931118011475,1992-08-21
0.29933425784111023,1992-08-24
0.29627931118011475,1992-08-25
0.29322510957717896,1992-08-26
0.29933425784111023,1992-08-27
0.3054428994655609,1992-08-28
0.30391570925712585,1992-08-31
0.30849701166152954,1992-09-01
0.33751460909843445,1992-09-02
0.34820523858070374,1992-09-03
0.35125941038131714,1992-09-04
0.38027623295783997,1992-09-08
0.3756949007511139,1992-09-09
0.37264060974121094,1992-09-10
0.3818032741546631,1992-09-11
0.40013033151626587,1992-09-14
0.3756949007511139,1992-09-15
0.3634771704673767,1992-09-16
0.34820523858070374,1992-09-17
0.3329325020313263,1992-09-18
0.36042290925979614,1992-09-21
0.3756949007511139,1992-09-22
0.37264060974121094,1992-09-23
0.3756949007511139,1992-09-24
0.37264060974121094,1992-09-25
0.3924938440322876,1992-09-28
0.3772220015525818,1992-09-29
0.3695855736732483,1992-09-30
0.36042290925979614,1992-10-01
0.35125941038131714,1992-10-02
0.3543136715888977,1992-10-05
0.3573678731918335,1992-10-06
0.34820523858070374,1992-10-07
0.3573678731918335,1992-10-08
0.34973233938217163,1992-10-09
0.3634771704673767,1992-10-12
0.3695855736732483,1992-10-13
0.3634771704673767,1992-10-14
0.3665313124656677,1992-10-15
0.3787490725517273,1992-10-16
0.3970760405063629,1992-10-19
0.39096692204475403,1992-10-20
0.3848583698272705,1992-10-21
0.39402106404304504,1992-10-22
0.39096692204475403,1992-10-23
0.3879126012325287,1992-10-26
0.36042290925979614,1992-10-27
0.3451502323150635,1992-10-28
0.3665313124656677,1992-10-29
0.36042290925979614,1992-10-30
0.34820523858070374,1992-11-02
0.3573678731918335,1992-11-03
0.3558407723903656,1992-11-04
0.3634771704673767,1992-11-05
0.3879126012325287,1992-11-06
0.39096692204475403,1992-11-09
0.3818032741546631,1992-11-10
0.3879126012325287,1992-11-11
0.3756949007511139,1992-11-12
0.39096692204475403,1992-11-13
0.39402106404304504,1992-11-16
0.3970760405063629,1992-11-17
0.4154021739959717,1992-11-18
0.43983760476112366,1992-11-19
0.43525636196136475,1992-11-20
0.43678340315818787,1992-11-23
0.43983760476112366,1992-11-24
0.450528085231781,1992-11-25
0.4474739134311676,1992-11-27
0.46121877431869507,1992-11-30
0.45205533504486084,1992-12-01
0.43678340315818787,1992-12-02
0.4306741952896118,1992-12-03
0.4306741952896118,1992-12-04
0.41998353600502014,1992-12-07
0.41845640540122986,1992-12-08
0.4123478829860687,1992-12-09
0.4276200234889984,1992-12-10
0.4245656430721283,1992-12-11
0.41845640540122986,1992-12-14
0.4306741952896118,1992-12-15
0.43983760476112366,1992-12-16
0.45205533504486084,1992-12-17
0.4490012228488922,1992-12-18
0.45510971546173096,1992-12-21
0.44594690203666687,1992-12-22
0.43372923135757446,1992-12-23
0.4276200234889984,1992-12-24
0.42609280347824097,1992-12-28
0.43983760476112366,1992-12-29
0.43983760476112366,1992-12-30
0.45205533504486084,1992-12-31
0.45510971546173096,1993-01-04
0.4642731249332428,1993-01-05
0.4703822731971741,1993-01-06
0.4825999140739441,1993-01-07
0.47649067640304565,1993-01-08
0.4703822731971741,1993-01-11
0.4658001661300659,1993-01-12
0.4642731249332428,1993-01-13
0.5009259581565857,1993-01-14
0.4917627274990082,1993-01-15
0.49787193536758423,1993-01-18
0.4856542944908142,1993-01-19
0.474963515996933,1993-01-20
0.4642731249332428,1993-01-21
0.4734365940093994,1993-01-22
0.47954511642456055,1993-01-25
0.47954511642456055,1993-01-26
0.467327356338501,1993-01-27
0.46121877431869507,1993-01-28
0.4703822731971741,1993-01-29
0.46121877431869507,1993-02-01
0.4703822731971741,1993-02-02
0.4703822731971741,1993-02-03
0.4887084662914276,1993-02-04
0.4703822731971741,1993-02-05
0.46274587512016296,1993-02-08
0.44594690203666687,1993-02-09
0.43372923135757446,1993-02-10
0.43678340315818787,1993-02-11
0.43525636196136475,1993-02-12
0.4245656430721283,1993-02-16
0.41387516260147095,1993-02-17
0.42151138186454773,1993-02-18
0.4154021739959717,1993-02-19
0.41387516260147095,1993-02-22
0.40318453311920166,1993-02-23
0.4123478829860687,1993-02-24
0.43678340315818787,1993-02-25
0.44289177656173706,1993-02-26
0.4306741952896118,1993-03-01
0.44594690203666687,1993-03-02
0.4581645727157593,1993-03-03
0.4581645727157593,1993-03-04
0.45205533504486084,1993-03-05
0.45205533504486084,1993-03-08
0.45205533504486084,1993-03-09
0.44594690203666687,1993-03-10
0.4810720682144165,1993-03-11
0.4734365940093994,1993-03-12
0.4887084662914276,1993-03-15
0.4825999140739441,1993-03-16
0.47649067640304565,1993-03-17
0.4734365940093994,1993-03-18
0.4703822731971741,1993-03-19
0.4703822731971741,1993-03-22
0.4734365940093994,1993-03-23
0.4734365940093994,1993-03-24
0.47954511642456055,1993-03-25
0.46121877431869507,1993-03-26
0.4581645727157593,1993-03-29
0.4490012228488922,1993-03-30
0.4642731249332428,1993-03-31
0.467327356338501,1993-04-01
0.46121877431869507,1993-04-02
0.4581645727157593,1993-04-05
0.4276200234889984,1993-04-06
0.43983760476112366,1993-04-07
0.47649067640304565,1993-04-08
0.4734365940093994,1993-04-12
0.4825999140739441,1993-04-13
0.4825999140739441,1993-04-14
0.4825999140739441,1993-04-15
0.4734365940093994,1993-04-16
0.4856542944908142,1993-04-19
0.4642731249332428,1993-04-20
0.4734365940093994,1993-04-21
0.47649067640304565,1993-04-22
0.46121877431869507,1993-04-23
0.45969173312187195,1993-04-26
0.46121877431869507,1993-04-27
0.4703822731971741,1993-04-28
0.47649067640304565,1993-04-29
0.4734365940093994,1993-04-30
0.49481770396232605,1993-05-03
0.5131440758705139,1993-05-04
0.5161983370780945,1993-05-05
0.5223074555397034,1993-05-06
0.5161983370780945,1993-05-07
0.5375792980194092,1993-05-10
0.5497969388961792,1993-05-11
0.5406335592269897,1993-05-12
0.5284159183502197,1993-05-13
0.5406335592269897,1993-05-14
0.5360521674156189,1993-05-17
0.5436885952949524,1993-05-18
0.5467426776885986,1993-05-19
0.5833959579467773,1993-05-20
0.5711780190467834,1993-05-21
0.5742325186729431,1993-05-24
0.5772866606712341,1993-05-25
0.5864502191543579,1993-05-26
0.5925590991973877,1993-05-27
0.5864502191543579,1993-05-28
0.5742325186729431,1993-06-01
0.5742325186729431,1993-06-02
0.5879774689674377,1993-06-03
