FDX,Date
0.7939863204956055,1978-04-12
0.8266602158546448,1978-04-13
0.878939151763916,1978-04-14
0.8527994751930237,1978-04-17
0.8462650179862976,1978-04-18
0.8626022338867188,1978-04-19
0.8854745030403137,1978-04-20
0.878939151763916,1978-04-21
0.8626022338867188,1978-04-24
0.901811420917511,1978-04-25
0.9442879557609558,1978-04-26
0.9442879557609558,1978-04-27
1.0031012296676636,1978-04-28
0.9606252908706665,1978-05-01
0.9704274535179138,1978-05-02
0.9442879557609558,1978-05-03
0.9606252908706665,1978-05-04
0.9704274535179138,1978-05-05
0.9802293181419373,1978-05-08
0.9867650270462036,1978-05-09
0.996566653251648,1978-05-10
1.0292413234710693,1978-05-11
1.045578956604004,1978-05-12
1.0357756614685059,1978-05-15
1.104392647743225,1978-05-16
1.0945899486541748,1978-05-17
1.0880545377731323,1978-05-18
1.0292413234710693,1978-05-19
1.0194387435913086,1978-05-22
0.9802293181419373,1978-05-23
0.9442879557609558,1978-05-24
0.9704274535179138,1978-05-25
0.9867650270462036,1978-05-26
1.0292413234710693,1978-05-30
1.0292413234710693,1978-05-31
1.0194387435913086,1978-06-01
1.0129045248031616,1978-06-02
1.0292413234710693,1978-06-05
1.045578956604004,1978-06-06
1.0292413234710693,1978-06-07
1.045578956604004,1978-06-08
1.0357756614685059,1978-06-09
1.0619150400161743,1978-06-12
1.1207294464111328,1978-06-13
1.13706636428833,1978-06-14
1.13706636428833,1978-06-15
1.104392647743225,1978-06-16
1.0717182159423828,1978-06-19
1.0292413234710693,1978-06-20
1.0031012296676636,1978-06-21
1.0194387435913086,1978-06-22
1.0031012296676636,1978-06-23
0.9704274535179138,1978-06-26
0.9606252908706665,1978-06-27
0.9704274535179138,1978-06-28
1.0031012296676636,1978-06-29
1.045578956604004,1978-06-30
1.055380940437317,1978-07-03
1.0357756614685059,1978-07-05
1.0945899486541748,1978-07-06
1.1109269857406616,1978-07-07
1.130532145500183,1978-07-10
1.153403401374817,1978-07-11
1.13706636428833,1978-07-12
1.130532145500183,1978-07-13
1.1468684673309326,1978-07-14
1.195880651473999,1978-07-17
1.195880651473999,1978-07-18
1.2383567094802856,1978-07-19
1.2383567094802856,1978-07-20
1.205682635307312,1978-07-21
1.205682635307312,1978-07-24
1.195880651473999,1978-07-25
1.195880651473999,1978-07-26
1.2122176885604858,1978-07-27
1.2122176885604858,1978-07-28
1.205682635307312,1978-07-31
1.2285544872283936,1978-08-01
1.2448911666870117,1978-08-02
1.3037058115005493,1978-08-03
1.3723214864730835,1978-08-04
1.4213333129882812,1978-08-07
1.4540070295333862,1978-08-08
1.4474724531173706,1978-08-09
1.4376704692840576,1978-08-10
1.4376704692840576,1978-08-11
1.4474724531173706,1978-08-14
1.480146884918213,1978-08-15
1.538960576057434,1978-08-16
1.5977741479873657,1978-08-17
1.5716344118118286,1978-08-18
1.463809847831726,1978-08-21
1.4736117124557495,1978-08-22
1.5487631559371948,1978-08-23
1.6467857360839844,1978-08-24
1.7219371795654297,1978-08-25
1.6631226539611816,1978-08-28
1.6075772047042847,1978-08-29
1.555297613143921,1978-08-30
1.5128207206726074,1978-08-31
1.538960576057434,1978-09-01
1.6075772047042847,1978-09-05
1.630448579788208,1978-09-06
1.630448579788208,1978-09-07
1.7154017686843872,1978-09-08
1.7480762004852295,1978-09-11
1.7742156982421875,1978-09-12
1.7480762004852295,1978-09-13
1.7219371795654297,1978-09-14
1.7219371795654297,1978-09-15
1.640251636505127,1978-09-18
1.587972640991211,1978-09-19
1.522623896598816,1978-09-20
1.463809847831726,1978-09-21
1.3788567781448364,1978-09-22
1.3886579275131226,1978-09-25
1.4899495840072632,1978-09-26
1.5422282218933105,1978-09-27
1.6337159872055054,1978-09-28
1.6729251146316528,1978-09-29
1.7252044677734375,1978-10-02
1.6990654468536377,1978-10-03
1.6729251146316528,1978-10-04
1.6925300359725952,1978-10-05
1.7121344804763794,1978-10-06
1.7644131183624268,1978-10-09
1.7382742166519165,1978-10-10
1.784018874168396,1978-10-11
1.7905527353286743,1978-10-12
