BIIB,Date
3.125,1991-09-17
3.125,1991-09-18
3.1458330154418945,1991-09-19
3.0833330154418945,1991-09-20
2.9583330154418945,1991-09-23
3.0,1991-09-24
3.0416669845581055,1991-09-25
3.1666669845581055,1991-09-26
3.3333330154418945,1991-09-27
3.125,1991-09-30
3.0833330154418945,1991-10-01
3.1666669845581055,1991-10-02
2.9583330154418945,1991-10-03
2.875,1991-10-04
2.6666669845581055,1991-10-07
2.5416669845581055,1991-10-08
2.5208330154418945,1991-10-09
2.5625,1991-10-10
2.6875,1991-10-11
2.9583330154418945,1991-10-14
3.3125,1991-10-15
3.5416669845581055,1991-10-16
3.1666669845581055,1991-10-17
3.375,1991-10-18
3.2916669845581055,1991-10-21
3.25,1991-10-22
3.1666669845581055,1991-10-23
3.0833330154418945,1991-10-24
3.0,1991-10-25
2.9583330154418945,1991-10-28
3.1666669845581055,1991-10-29
3.1666669845581055,1991-10-30
3.0833330154418945,1991-10-31
3.0416669845581055,1991-11-01
2.9583330154418945,1991-11-04
2.75,1991-11-05
2.6666669845581055,1991-11-06
2.5416669845581055,1991-11-07
2.7083330154418945,1991-11-08
2.7083330154418945,1991-11-11
2.9166669845581055,1991-11-12
2.9166669845581055,1991-11-13
2.9791669845581055,1991-11-14
2.375,1991-11-15
2.4583330154418945,1991-11-18
2.375,1991-11-19
2.2083330154418945,1991-11-20
2.25,1991-11-21
2.0833330154418945,1991-11-22
2.0833330154418945,1991-11-25
1.875,1991-11-26
1.9583330154418945,1991-11-27
2.0,1991-11-29
2.125,1991-12-02
2.0625,1991-12-03
2.0,1991-12-04
2.0416669845581055,1991-12-05
1.9583330154418945,1991-12-06
2.0416669845581055,1991-12-09
2.0416669845581055,1991-12-10
2.3333330154418945,1991-12-11
2.4583330154418945,1991-12-12
2.4583330154418945,1991-12-13
2.4583330154418945,1991-12-16
2.4166669845581055,1991-12-17
2.3333330154418945,1991-12-18
2.2916669845581055,1991-12-19
2.1666669845581055,1991-12-20
2.25,1991-12-23
2.1666669845581055,1991-12-24
2.0833330154418945,1991-12-26
2.125,1991-12-27
2.2916669845581055,1991-12-30
2.1666669845581055,1991-12-31
2.125,1992-01-02
2.3125,1992-01-03
2.5833330154418945,1992-01-06
2.75,1992-01-07
3.25,1992-01-08
3.2083330154418945,1992-01-09
3.0416669845581055,1992-01-10
3.0833330154418945,1992-01-13
3.3333330154418945,1992-01-14
2.9583330154418945,1992-01-15
3.1666669845581055,1992-01-16
3.0833330154418945,1992-01-17
2.8333330154418945,1992-01-20
2.7291669845581055,1992-01-21
2.7916669845581055,1992-01-22
2.7916669845581055,1992-01-23
2.7916669845581055,1992-01-24
2.625,1992-01-27
2.6666669845581055,1992-01-28
2.5833330154418945,1992-01-29
2.625,1992-01-30
2.5833330154418945,1992-01-31
2.5625,1992-02-03
2.5,1992-02-04
2.5833330154418945,1992-02-05
2.5833330154418945,1992-02-06
2.5,1992-02-07
2.3333330154418945,1992-02-10
2.2916669845581055,1992-02-11
2.2083330154418945,1992-02-12
2.4583330154418945,1992-02-13
2.2916669845581055,1992-02-14
2.125,1992-02-18
2.0833330154418945,1992-02-19
2.25,1992-02-20
2.2708330154418945,1992-02-21
2.2916669845581055,1992-02-24
2.2083330154418945,1992-02-25
2.375,1992-02-26
2.2083330154418945,1992-02-27
2.3333330154418945,1992-02-28
2.2916669845581055,1992-03-02
2.25,1992-03-03
2.3333330154418945,1992-03-04
2.25,1992-03-05
2.1666669845581055,1992-03-06
2.125,1992-03-09
2.1666669845581055,1992-03-10
2.0833330154418945,1992-03-11
2.125,1992-03-12
2.0,1992-03-13
1.9166669845581055,1992-03-16
1.9583330154418945,1992-03-17
1.875,1992-03-18
1.875,1992-03-19
1.875,1992-03-20
1.875,1992-03-23
1.9166669845581055,1992-03-24
1.8333330154418945,1992-03-25
1.9166669845581055,1992-03-26
1.8958330154418945,1992-03-27
1.9166669845581055,1992-03-30
1.8333330154418945,1992-03-31
1.7916669845581055,1992-04-01
1.8333330154418945,1992-04-02
1.875,1992-04-03
1.5833330154418945,1992-04-06
1.2708330154418945,1992-04-07
1.2916669845581055,1992-04-08
1.4583330154418945,1992-04-09
1.5,1992-04-10
1.5,1992-04-13
1.4583330154418945,1992-04-14
1.375,1992-04-15
1.3333330154418945,1992-04-16
1.125,1992-04-20
1.3333330154418945,1992-04-21
1.3333330154418945,1992-04-22
1.375,1992-04-23
1.375,1992-04-24
1.3333330154418945,1992-04-27
1.3333330154418945,1992-04-28
1.2083330154418945,1992-04-29
1.3333330154418945,1992-04-30
1.375,1992-05-01
1.2916669845581055,1992-05-04
1.4166669845581055,1992-05-05
1.2291669845581055,1992-05-06
1.25,1992-05-07
1.1666669845581055,1992-05-08
1.1666669845581055,1992-05-11
1.2083330154418945,1992-05-12
1.2083330154418945,1992-05-13
1.125,1992-05-14
1.0833330154418945,1992-05-15
1.1041669845581055,1992-05-18
1.1666669845581055,1992-05-19
1.1666669845581055,1992-05-20
1.1666669845581055,1992-05-21
1.1041669845581055,1992-05-22
1.0416669845581055,1992-05-26
1.2083330154418945,1992-05-27
1.2916669845581055,1992-05-28
1.3333330154418945,1992-05-29
1.375,1992-06-01
1.4166669845581055,1992-06-02
1.3333330154418945,1992-06-03
1.4166669845581055,1992-06-04
1.3541669845581055,1992-06-05
1.375,1992-06-08
1.3333330154418945,1992-06-09
1.2916669845581055,1992-06-10
1.3541669845581055,1992-06-11
1.375,1992-06-12
1.3333330154418945,1992-06-15
1.25,1992-06-16
1.25,1992-06-17
1.1875,1992-06-18
1.25,1992-06-19
1.25,1992-06-22
1.1666669845581055,1992-06-23
1.125,1992-06-24
1.1875,1992-06-25
1.125,1992-06-26
1.1666669845581055,1992-06-29
1.1041669845581055,1992-06-30
1.1666669845581055,1992-07-01
1.1458330154418945,1992-07-02
1.3333330154418945,1992-07-06
1.2916669845581055,1992-07-07
1.2916669845581055,1992-07-08
1.5,1992-07-09
1.4375,1992-07-10
1.3333330154418945,1992-07-13
1.3333330154418945,1992-07-14
1.2916669845581055,1992-07-15
1.25,1992-07-16
1.25,1992-07-17
1.25,1992-07-20
1.25,1992-07-21
