AMT,Date
13.703121185302734,1998-02-27
13.604537963867188,1998-03-02
13.505949974060059,1998-03-03
12.421531677246094,1998-03-04
12.717283248901367,1998-03-05
12.717283248901367,1998-03-06
12.52011489868164,1998-03-09
12.815866470336914,1998-03-10
12.815866470336914,1998-03-11
12.914450645446777,1998-03-12
13.013031005859375,1998-03-13
12.717283248901367,1998-03-16
12.52011489868164,1998-03-17
12.717283248901367,1998-03-18
13.505949974060059,1998-03-19
13.998875617980957,1998-03-20
14.88612174987793,1998-03-23
15.576207160949707,1998-03-24
15.674789428710938,1998-03-25
15.477619171142578,1998-03-26
15.18187427520752,1998-03-27
15.674789428710938,1998-03-30
15.87195873260498,1998-03-31
16.167707443237305,1998-04-01
18.336549758911133,1998-04-02
19.519554138183594,1998-04-03
18.928050994873047,1998-04-06
17.449291229248047,1998-04-07
17.745046615600586,1998-04-08
18.139379501342773,1998-04-09
17.843631744384766,1998-04-13
17.942216873168945,1998-04-14
17.153545379638672,1998-04-15
16.75921058654785,1998-04-16
17.054960250854492,1998-04-17
17.449291229248047,1998-04-20
17.449291229248047,1998-04-21
18.139379501342773,1998-04-22
18.53371810913086,1998-04-23
17.350711822509766,1998-04-24
16.463462829589844,1998-04-27
16.956378936767578,1998-04-28
17.745046615600586,1998-04-29
18.139379501342773,1998-04-30
17.449291229248047,1998-05-01
17.054960250854492,1998-05-04
16.75921058654785,1998-05-05
17.350711822509766,1998-05-06
16.85779571533203,1998-05-07
17.843631744384766,1998-05-08
17.646461486816406,1998-05-11
17.350711822509766,1998-05-12
17.646461486816406,1998-05-13
17.745046615600586,1998-05-14
17.350711822509766,1998-05-15
16.956378936767578,1998-05-18
17.350711822509766,1998-05-19
16.562044143676758,1998-05-20
16.660629272460938,1998-05-21
16.26629066467285,1998-05-22
15.379043579101562,1998-05-26
15.18187427520752,1998-05-27
16.167707443237305,1998-05-28
17.745046615600586,1998-05-29
17.449291229248047,1998-06-01
17.646461486816406,1998-06-02
16.364877700805664,1998-06-03
16.364877700805664,1998-06-04
18.04079818725586,1998-06-05
18.139379501342773,1998-06-08
17.646461486816406,1998-06-09
18.04079818725586,1998-06-10
18.139379501342773,1998-06-11
17.794336318969727,1998-06-12
17.25212287902832,1998-06-15
17.153545379638672,1998-06-16
17.301429748535156,1998-06-17
16.956378936767578,1998-06-18
16.709918975830078,1998-06-19
16.660629272460938,1998-06-22
17.745046615600586,1998-06-23
18.139379501342773,1998-06-24
18.139379501342773,1998-06-25
18.435129165649414,1998-06-26
18.04079818725586,1998-06-29
19.66742515563965,1998-06-30
19.47025489807129,1998-07-01
18.928050994873047,1998-07-02
19.91387939453125,1998-07-06
20.40680503845215,1998-07-07
20.899723052978516,1998-07-08
20.456090927124023,1998-07-09
20.702550888061523,1998-07-10
21.4912166595459,1998-07-13
20.60396957397461,1998-07-14
21.24476432800293,1998-07-15
21.24476432800293,1998-07-16
21.29405403137207,1998-07-17
21.343353271484375,1998-07-20
21.63910484313965,1998-07-21
21.88555335998535,1998-07-22
22.08272933959961,1998-07-23
21.98413848876953,1998-07-24
20.949018478393555,1998-07-27
20.702550888061523,1998-07-28
20.702550888061523,1998-07-29
20.40680503845215,1998-07-30
18.928050994873047,1998-07-31
19.66742515563965,1998-08-03
18.139379501342773,1998-08-04
17.745046615600586,1998-08-05
18.04079818725586,1998-08-06
18.139379501342773,1998-08-07
18.336549758911133,1998-08-10
17.942216873168945,1998-08-11
18.97734832763672,1998-08-12
19.026634216308594,1998-08-13
18.583005905151367,1998-08-14
18.287260055541992,1998-08-17
17.59717559814453,1998-08-18
16.364877700805664,1998-08-19
15.87195873260498,1998-08-20
15.970538139343262,1998-08-21
15.773369789123535,1998-08-24
15.773369789123535,1998-08-25
15.379043579101562,1998-08-26
14.245329856872559,1998-08-27
13.407370567321777,1998-08-28
12.421531677246094,1998-08-31
13.407370567321777,1998-09-01
15.18187427520752,1998-09-02
14.88612174987793,1998-09-03
14.688950538635254,1998-09-04
15.773369789123535,1998-09-08
16.463462829589844,1998-09-09
16.562044143676758,1998-09-10
17.449291229248047,1998-09-11
18.139379501342773,1998-09-14
18.090084075927734,1998-09-15
18.336549758911133,1998-09-16
17.59717559814453,1998-09-17
17.498580932617188,1998-09-18
17.449291229248047,1998-09-21
17.449291229248047,1998-09-22
17.892919540405273,1998-09-23
18.139379501342773,1998-09-24
18.04079818725586,1998-09-25
18.04079818725586,1998-09-28
18.139379501342773,1998-09-29
20.111051559448242,1998-09-30
19.273086547851562,1998-10-01
18.484416961669922,1998-10-02
15.773369789123535,1998-10-05
14.491789817810059,1998-10-06
12.569409370422363,1998-10-07
11.337113380432129,1998-10-08
10.647027015686035,1998-10-09
12.914450645446777,1998-10-12
12.815866470336914,1998-10-13
13.407370567321777,1998-10-14
14.7875394821167,1998-10-15
14.88612174987793,1998-10-16
14.88612174987793,1998-10-19
14.83682918548584,1998-10-20
15.773369789123535,1998-10-21
16.463462829589844,1998-10-22
16.26629066467285,1998-10-23
16.85779571533203,1998-10-26
17.25212287902832,1998-10-27
17.54787254333496,1998-10-28
16.463462829589844,1998-10-29
17.25212287902832,1998-10-30
17.54787254333496,1998-11-02
16.364877700805664,1998-11-03
16.808494567871094,1998-11-04
16.512746810913086,1998-11-05
16.364877700805664,1998-11-06
15.576207160949707,1998-11-09
15.674789428710938,1998-11-10
15.329745292663574,1998-11-11
14.393204689025879,1998-11-12
14.98470401763916,1998-11-13
