NSC,Date
1.4730010032653809,1982-06-02
1.4515269994735718,1982-06-03
1.4214661121368408,1982-06-04
1.4429391622543335,1982-06-07
1.4214661121368408,1982-06-08
1.4214661121368408,1982-06-09
1.4214661121368408,1982-06-10
1.430055856704712,1982-06-11
1.4171720743179321,1982-06-14
1.425761103630066,1982-06-15
1.425761103630066,1982-06-16
1.3956996202468872,1982-06-17
1.3956996202468872,1982-06-18
1.4128767251968384,1982-06-21
1.4601162672042847,1982-06-22
1.5460056066513062,1982-06-23
1.5202395915985107,1982-06-24
1.5245336294174194,1982-06-25
1.528828740119934,1982-06-28
1.5545951128005981,1982-06-29
1.563184142112732,1982-06-30
1.563184142112732,1982-07-01
1.5975381135940552,1982-07-02
1.5975381135940552,1982-07-06
1.5846549272537231,1982-07-07
1.558889627456665,1982-07-08
1.5460056066513062,1982-07-09
1.5417109727859497,1982-07-12
1.5460056066513062,1982-07-13
1.5417109727859497,1982-07-14
1.4901783466339111,1982-07-15
1.4858838319778442,1982-07-16
1.4687062501907349,1982-07-19
1.5073564052581787,1982-07-20
1.5245336294174194,1982-07-21
1.5374170541763306,1982-07-22
1.5846549272537231,1982-07-23
1.558889627456665,1982-07-26
1.558889627456665,1982-07-27
1.5545951128005981,1982-07-28
1.5545951128005981,1982-07-29
1.558889627456665,1982-07-30
1.5920381546020508,1982-08-02
1.5876768827438354,1982-08-03
1.5658680200576782,1982-08-04
1.513527512550354,1982-08-05
1.5178898572921753,1982-08-06
1.526612639427185,1982-08-09
1.5309747457504272,1982-08-10
1.5396976470947266,1982-08-11
1.5353351831436157,1982-08-12
1.5789541006088257,1982-08-13
1.5876768827438354,1982-08-16
1.648742437362671,1982-08-17
1.6531031131744385,1982-08-18
1.666189193725586,1982-08-19
1.6792731285095215,1982-08-20
1.7534234523773193,1982-08-23
1.7665081024169922,1982-08-24
1.8362957239151,1982-08-25
1.8581061363220215,1982-08-26
1.8362957239151,1982-08-27
1.8362957239151,1982-08-30
1.892999291419983,1982-08-31
1.906084418296814,1982-09-01
1.9366167783737183,1982-09-02
1.9191704988479614,1982-09-03
1.8581061363220215,1982-09-07
1.8450204133987427,1982-09-08
