INTC,Date
0.1833929866552353,1980-03-17
0.18192602694034576,1980-03-18
0.18632705509662628,1980-03-19
0.18559366464614868,1980-03-20
0.17899124324321747,1980-03-21
0.17532357573509216,1980-03-24
0.17605717480182648,1980-03-25
0.17459022998809814,1980-03-26
0.16872142255306244,1980-03-27
0.17532357573509216,1980-03-28
0.18119236826896667,1980-03-31
0.18192602694034576,1980-04-01
0.1833929866552353,1980-04-02
0.1797247678041458,1980-04-03
0.17532357573509216,1980-04-07
0.17605717480182648,1980-04-08
0.17238956689834595,1980-04-09
0.17165596783161163,1980-04-10
0.17165596783161163,1980-04-11
0.1731230914592743,1980-04-14
0.17092189192771912,1980-04-15
0.16432026028633118,1980-04-16
0.16138558089733124,1980-04-17
0.16358670592308044,1980-04-18
0.1621190905570984,1980-04-21
0.169454887509346,1980-04-22
0.1797247678041458,1980-04-23
0.1804589331150055,1980-04-24
0.1775241643190384,1980-04-25
0.17605717480182648,1980-04-28
0.1775241643190384,1980-04-29
0.1797247678041458,1980-04-30
0.1804589331150055,1980-05-01
0.1833929866552353,1980-05-02
0.18559366464614868,1980-05-05
0.18486005067825317,1980-05-06
0.18486005067825317,1980-05-07
0.18265949189662933,1980-05-08
0.18486005067825317,1980-05-09
0.1841265708208084,1980-05-12
0.1877942532300949,1980-05-13
0.1907287836074829,1980-05-14
0.19219578802585602,1980-05-15
0.1943964809179306,1980-05-16
0.19512993097305298,1980-05-19
0.19292937219142914,1980-05-20
0.18852759897708893,1980-05-21
0.18632705509662628,1980-05-22
0.19292937219142914,1980-05-23
0.19219578802585602,1980-05-27
0.19659702479839325,1980-05-28
0.19659702479839325,1980-05-29
0.1995316445827484,1980-05-30
0.20026525855064392,1980-06-02
0.19512993097305298,1980-06-03
0.19806458055973053,1980-06-04
0.19806458055973053,1980-06-05
0.19659702479839325,1980-06-06
0.19512993097305298,1980-06-09
0.1973305195569992,1980-06-10
0.1995316445827484,1980-06-11
0.19659702479839325,1980-06-12
0.19659702479839325,1980-06-13
0.19659702479839325,1980-06-16
0.19586342573165894,1980-06-17
0.1943964809179306,1980-06-18
0.1907287836074829,1980-06-19
0.19146238267421722,1980-06-20
0.19146238267421722,1980-06-23
0.19146238267421722,1980-06-24
0.1936628520488739,1980-06-25
0.1936628520488739,1980-06-26
0.1943964809179306,1980-06-27
0.19292937219142914,1980-06-30
0.19586342573165894,1980-07-01
0.1973305195569992,1980-07-02
0.19879812002182007,1980-07-03
0.20613336563110352,1980-07-07
0.21053506433963776,1980-07-08
0.21053506433963776,1980-07-09
0.2134692221879959,1980-07-10
0.21273581683635712,1980-07-11
0.21493612229824066,1980-07-14
0.22153855860233307,1980-07-15
0.22520677745342255,1980-07-16
0.23034131526947021,1980-07-17
0.23621024191379547,1980-07-18
0.23621024191379547,1980-07-21
0.23327602446079254,1980-07-22
0.2310749590396881,1980-07-23
0.22960776090621948,1980-07-24
0.22740726172924042,1980-07-25
0.22960776090621948,1980-07-28
0.23987767100334167,1980-07-29
0.24721355736255646,1980-07-30
0.24868063628673553,1980-07-31
0.2450130730867386,1980-08-01
0.24868063628673553,1980-08-04
0.2501477897167206,1980-08-05
0.247947096824646,1980-08-06
0.25088170170783997,1980-08-07
0.2545492947101593,1980-08-08
0.2706880271434784,1980-08-11
0.2714216113090515,1980-08-12
0.26628631353378296,1980-08-13
0.26628631353378296,1980-08-14
0.26261869072914124,1980-08-15
0.2552828788757324,1980-08-18
0.25161534547805786,1980-08-19
0.2567499577999115,1980-08-20
0.2596847712993622,1980-08-21
0.2611517012119293,1980-08-22
0.2611517012119293,1980-08-25
0.2611517012119293,1980-08-26
0.26041823625564575,1980-08-27
0.2582170367240906,1980-08-28
0.2567499577999115,1980-08-29
0.26041823625564575,1980-09-02
0.2684876322746277,1980-09-03
0.2706880271434784,1980-09-04
0.2692210376262665,1980-09-05
0.2618851065635681,1980-09-08
0.26261869072914124,1980-09-09
0.2596847712993622,1980-09-10
0.2611517012119293,1980-09-11
0.26041823625564575,1980-09-12
0.25748351216316223,1980-09-15
0.26481929421424866,1980-09-16
0.27655625343322754,1980-09-17
0.2772902846336365,1980-09-18
0.2794909179210663,1980-09-19
0.27508920431137085,1980-09-22
0.26481929421424866,1980-09-23
0.2618851065635681,1980-09-24
0.25895053148269653,1980-09-25
0.2552828788757324,1980-09-26
0.25601646304130554,1980-09-29
0.2611517012119293,1980-09-30
0.264085978269577,1980-10-01
0.2633521854877472,1980-10-02
0.27215516567230225,1980-10-03
0.2890273332595825,1980-10-06
0.2897608280181885,1980-10-07
0.28389212489128113,1980-10-08
0.2831586003303528,1980-10-09
0.28022444248199463,1980-10-10
0.2816915810108185,1980-10-13
0.2831586003303528,1980-10-14
0.2890273332595825,1980-10-15
0.28756028413772583,1980-10-16
0.2846256494522095,1980-10-17
0.2816915810108185,1980-10-20
0.2787575125694275,1980-10-21
0.2816915810108185,1980-10-22
0.2758226692676544,1980-10-23
0.26995453238487244,1980-10-24
0.2552828788757324,1980-10-27
0.26261869072914124,1980-10-28
0.2684876322746277,1980-10-29
0.2406112104654312,1980-10-30
0.24647997319698334,1980-10-31
0.24647997319698334,1980-11-03
0.264085978269577,1980-11-05
0.247947096824646,1980-11-06
0.25234875082969666,1980-11-07
0.25088170170783997,1980-11-10
0.2552828788757324,1980-11-11
0.264085978269577,1980-11-12
0.26995453238487244,1980-11-13
0.2816915810108185,1980-11-14
0.2831586003303528,1980-11-17
0.29049432277679443,1980-11-18
0.28609326481819153,1980-11-19
0.2831586003303528,1980-11-20
