MCO,Date
6.5694899559021,1994-10-31
6.520095348358154,1994-11-01
6.470700263977051,1994-11-02
6.470700263977051,1994-11-03
6.421307563781738,1994-11-04
6.371910095214844,1994-11-07
6.223727703094482,1994-11-08
6.3225178718566895,1994-11-09
6.371910095214844,1994-11-10
6.3225178718566895,1994-11-11
6.273120403289795,1994-11-14
6.223727703094482,1994-11-15
6.223727703094482,1994-11-16
6.174332141876221,1994-11-17
6.124937057495117,1994-11-18
5.976754188537598,1994-11-21
5.877964496612549,1994-11-22
5.9273600578308105,1994-11-23
5.9273600578308105,1994-11-25
5.976754188537598,1994-11-28
5.9273600578308105,1994-11-29
5.9273600578308105,1994-11-30
5.877964496612549,1994-12-01
5.9273600578308105,1994-12-02
5.877964496612549,1994-12-05
5.877964496612549,1994-12-06
5.8285722732543945,1994-12-07
5.8285722732543945,1994-12-08
5.8285722732543945,1994-12-09
5.8285722732543945,1994-12-12
5.877964496612549,1994-12-13
5.9273600578308105,1994-12-14
5.9273600578308105,1994-12-15
5.9273600578308105,1994-12-16
5.976754188537598,1994-12-19
6.026149272918701,1994-12-20
6.026149272918701,1994-12-21
6.124937057495117,1994-12-22
6.026149272918701,1994-12-23
6.124937057495117,1994-12-27
6.124937057495117,1994-12-28
6.174332141876221,1994-12-29
6.174332141876221,1994-12-30
6.124937057495117,1995-01-03
6.0755414962768555,1995-01-04
6.124937057495117,1995-01-05
6.0755414962768555,1995-01-06
6.0755414962768555,1995-01-09
6.0755414962768555,1995-01-10
6.026149272918701,1995-01-11
5.9273600578308105,1995-01-12
5.976754188537598,1995-01-13
6.026149272918701,1995-01-16
6.026149272918701,1995-01-17
5.976754188537598,1995-01-18
5.9273600578308105,1995-01-19
5.9273600578308105,1995-01-20
5.976754188537598,1995-01-23
5.976754188537598,1995-01-24
6.026149272918701,1995-01-25
5.581598281860352,1995-01-26
5.482807636260986,1995-01-27
5.532203674316406,1995-01-30
5.581598281860352,1995-01-31
5.482807636260986,1995-02-01
5.482807636260986,1995-02-02
5.581598281860352,1995-02-03
5.581598281860352,1995-02-06
5.680385589599609,1995-02-07
5.680385589599609,1995-02-08
5.729780197143555,1995-02-09
5.680385589599609,1995-02-10
5.6309919357299805,1995-02-13
5.6309919357299805,1995-02-14
5.680385589599609,1995-02-15
5.680385589599609,1995-02-16
5.729780197143555,1995-02-17
5.680385589599609,1995-02-21
5.680385589599609,1995-02-22
5.680385589599609,1995-02-23
5.729780197143555,1995-02-24
5.729780197143555,1995-02-27
5.779175281524658,1995-02-28
5.877964496612549,1995-03-01
5.9273600578308105,1995-03-02
5.9273600578308105,1995-03-03
5.877964496612549,1995-03-06
5.877964496612549,1995-03-07
5.877964496612549,1995-03-08
5.877964496612549,1995-03-09
5.9273600578308105,1995-03-10
5.976754188537598,1995-03-13
6.026149272918701,1995-03-14
5.976754188537598,1995-03-15
5.976754188537598,1995-03-16
5.9273600578308105,1995-03-17
5.976754188537598,1995-03-20
5.9273600578308105,1995-03-21
5.9273600578308105,1995-03-22
5.976754188537598,1995-03-23
5.9273600578308105,1995-03-24
5.877964496612549,1995-03-27
5.877964496612549,1995-03-28
5.877964496612549,1995-03-29
5.9273600578308105,1995-03-30
5.877964496612549,1995-03-31
5.877964496612549,1995-04-03
6.026149272918701,1995-04-04
5.9273600578308105,1995-04-05
5.9273600578308105,1995-04-06
6.026149272918701,1995-04-07
5.976754188537598,1995-04-10
5.9273600578308105,1995-04-11
5.9273600578308105,1995-04-12
5.877964496612549,1995-04-13
5.877964496612549,1995-04-17
5.8285722732543945,1995-04-18
5.680385589599609,1995-04-19
5.680385589599609,1995-04-20
5.779175281524658,1995-04-21
5.877964496612549,1995-04-24
5.8285722732543945,1995-04-25
5.877964496612549,1995-04-26
5.8285722732543945,1995-04-27
5.8285722732543945,1995-04-28
5.8285722732543945,1995-05-01
5.8285722732543945,1995-05-02
5.877964496612549,1995-05-03
5.9273600578308105,1995-05-04
5.9273600578308105,1995-05-05
6.026149272918701,1995-05-08
6.026149272918701,1995-05-09
6.0755414962768555,1995-05-10
6.174332141876221,1995-05-11
