DASH,Date
189.50999450683594,2020-12-09
186.0,2020-12-10
175.0,2020-12-11
160.0,2020-12-14
158.88999938964844,2020-12-15
158.0500030517578,2020-12-16
154.2100067138672,2020-12-17
166.35000610351562,2020-12-18
160.22999572753906,2020-12-21
156.7899932861328,2020-12-22
158.22000122070312,2020-12-23
158.4600067138672,2020-12-24
147.88999938964844,2020-12-28
141.27000427246094,2020-12-29
140.1999969482422,2020-12-30
142.75,2020-12-31
139.19000244140625,2021-01-04
144.42999267578125,2021-01-05
140.00999450683594,2021-01-06
152.77000427246094,2021-01-07
156.08999633789062,2021-01-08
167.0,2021-01-11
191.99000549316406,2021-01-12
198.0,2021-01-13
207.24000549316406,2021-01-14
187.14999389648438,2021-01-15
198.75,2021-01-19
189.4600067138672,2021-01-20
190.88999938964844,2021-01-21
192.0,2021-01-22
191.80999755859375,2021-01-25
198.22000122070312,2021-01-26
193.07000732421875,2021-01-27
183.8000030517578,2021-01-28
193.27000427246094,2021-01-29
191.1699981689453,2021-02-01
182.52999877929688,2021-02-02
180.5800018310547,2021-02-03
189.3300018310547,2021-02-04
181.22999572753906,2021-02-05
177.42999267578125,2021-02-08
187.75,2021-02-09
215.16000366210938,2021-02-10
213.25999450683594,2021-02-11
202.97000122070312,2021-02-12
212.1699981689453,2021-02-16
197.8699951171875,2021-02-17
200.05999755859375,2021-02-18
205.97000122070312,2021-02-19
178.07000732421875,2021-02-22
173.5,2021-02-23
176.32000732421875,2021-02-24
166.8699951171875,2021-02-25
169.49000549316406,2021-02-26
168.88999938964844,2021-03-01
160.58999633789062,2021-03-02
148.25,2021-03-03
150.0,2021-03-04
151.47999572753906,2021-03-05
133.41000366210938,2021-03-08
141.47999572753906,2021-03-09
135.77000427246094,2021-03-10
144.97000122070312,2021-03-11
142.02999877929688,2021-03-12
140.69000244140625,2021-03-15
133.66000366210938,2021-03-16
133.8000030517578,2021-03-17
130.6199951171875,2021-03-18
135.02999877929688,2021-03-19
135.91000366210938,2021-03-22
131.75999450683594,2021-03-23
125.52999877929688,2021-03-24
131.75,2021-03-25
134.00999450683594,2021-03-26
129.97999572753906,2021-03-29
130.60000610351562,2021-03-30
131.1300048828125,2021-03-31
133.13999938964844,2021-04-01
133.5500030517578,2021-04-05
131.08999633789062,2021-04-06
