ORCL,Date
0.051486823707818985,1986-03-12
0.05274244025349617,1986-03-13
0.0546262152493,1986-03-14
0.05336983874440193,1986-03-17
0.05211422219872475,1986-03-18
0.050858620554208755,1986-03-19
0.050858620554208755,1986-03-20
0.048974812030792236,1986-03-21
0.048974812030792236,1986-03-24
0.048974812030792236,1986-03-25
0.04960303381085396,1986-03-26
0.051486823707818985,1986-03-27
0.05211422219872475,1986-03-31
0.04960303381085396,1986-04-01
0.048974812030792236,1986-04-02
0.050858620554208755,1986-04-03
0.050230421125888824,1986-04-04
0.050858620554208755,1986-04-07
0.050858620554208755,1986-04-08
0.050858620554208755,1986-04-09
0.050858620554208755,1986-04-10
0.05211422219872475,1986-04-11
0.05211422219872475,1986-04-14
0.05274244025349617,1986-04-15
0.05525362864136696,1986-04-16
0.06027684733271599,1986-04-17
0.06530003994703293,1986-04-18
0.07157883793115616,1986-04-21
0.06781122833490372,1986-04-22
0.06592825055122375,1986-04-23
0.06718383729457855,1986-04-24
0.06843944638967514,1986-04-25
0.06906762719154358,1986-04-28
0.06843944638967514,1986-04-29
0.06278803199529648,1986-04-30
0.06404443085193634,1986-05-01
0.06027684733271599,1986-05-02
0.06153241544961929,1986-05-05
0.06341622024774551,1986-05-06
0.0646718442440033,1986-05-07
0.06530003994703293,1986-05-08
0.06655561178922653,1986-05-09
0.06592825055122375,1986-05-12
0.06781122833490372,1986-05-13
0.06592825055122375,1986-05-14
0.06718383729457855,1986-05-15
0.06781122833490372,1986-05-16
0.06404443085193634,1986-05-19
0.06404443085193634,1986-05-20
0.0646718442440033,1986-05-21
0.06278803199529648,1986-05-22
0.06153241544961929,1986-05-23
0.06216062605381012,1986-05-27
0.06216062605381012,1986-05-28
0.059648606926202774,1986-05-29
0.059021227061748505,1986-05-30
0.057137418538331985,1986-06-02
0.0587070994079113,1986-06-03
0.059021227061748505,1986-06-04
0.06278803199529648,1986-06-05
0.06278803199529648,1986-06-06
0.06216062605381012,1986-06-09
0.06090504303574562,1986-06-10
0.06278803199529648,1986-06-11
0.06216062605381012,1986-06-12
0.06278803199529648,1986-06-13
0.06216062605381012,1986-06-16
0.06153241544961929,1986-06-17
0.06090504303574562,1986-06-18
0.061846502125263214,1986-06-19
0.06090504303574562,1986-06-20
0.06216062605381012,1986-06-23
0.06216062605381012,1986-06-24
0.06153241544961929,1986-06-25
0.06216062605381012,1986-06-26
0.06090504303574562,1986-06-27
0.06121831387281418,1986-06-30
0.06216062605381012,1986-07-01
0.06090504303574562,1986-07-02
0.06090504303574562,1986-07-03
0.06027684733271599,1986-07-07
0.059648606926202774,1986-07-08
0.06027684733271599,1986-07-09
0.06027684733271599,1986-07-10
0.059648606926202774,1986-07-11
0.06090504303574562,1986-07-14
0.05399802327156067,1986-07-15
0.04457981511950493,1986-07-16
0.04771921783685684,1986-07-17
0.04709102585911751,1986-07-18
0.04646362364292145,1986-07-21
0.04520802944898605,1986-07-22
0.04457981511950493,1986-07-23
0.042068615555763245,1986-07-24
0.041440412402153015,1986-07-25
0.040812209248542786,1986-07-28
0.039870720356702805,1986-07-29
0.04018481820821762,1986-07-30
0.038929231464862823,1986-07-31
0.038929231464862823,1986-08-01
0.0370454341173172,1986-08-04
0.03641722351312637,1986-08-05
0.037358712404966354,1986-08-06
0.0383010134100914,1986-08-07
