JPM,Date
1.0904009342193604,1980-03-17
1.0984187126159668,1980-03-18
1.1144545078277588,1980-03-19
1.1064363718032837,1980-03-20
1.1304895877838135,1980-03-21
1.1024279594421387,1980-03-24
1.0984187126159668,1980-03-25
1.1064363718032837,1980-03-26
1.0984187126159668,1980-03-27
1.0863926410675049,1980-03-28
1.1184629201889038,1980-03-31
1.1064363718032837,1980-04-01
1.146525263786316,1980-04-02
1.1906219720840454,1980-04-03
1.198639154434204,1980-04-07
1.1785953044891357,1980-04-08
1.1625607013702393,1980-04-09
1.18661367893219,1980-04-10
1.18661367893219,1980-04-11
1.1826039552688599,1980-04-14
1.1545425653457642,1980-04-15
1.1745866537094116,1980-04-16
1.1545425653457642,1980-04-17
1.146525263786316,1980-04-18
1.1184629201889038,1980-04-21
1.1545425653457642,1980-04-22
1.1545425653457642,1980-04-23
1.146525263786316,1980-04-24
1.1304895877838135,1980-04-25
1.1545425653457642,1980-04-28
1.158551573753357,1980-04-29
1.1705777645111084,1980-04-30
1.1906219720840454,1980-05-01
1.2026488780975342,1980-05-02
1.2667895555496216,1980-05-05
1.2467451095581055,1980-05-06
1.2667895555496216,1980-05-07
1.262781023979187,1980-05-08
1.254763126373291,1980-05-09
1.2507538795471191,1980-05-12
1.2467451095581055,1980-05-13
1.2507538795471191,1980-05-14
1.2467451095581055,1980-05-15
1.2427371740341187,1980-05-16
1.2707985639572144,1980-05-19
1.2467451095581055,1980-05-20
1.2387276887893677,1980-05-21
1.2507538795471191,1980-05-22
1.2667895555496216,1980-05-23
1.254763126373291,1980-05-27
1.2748064994812012,1980-05-28
1.258771300315857,1980-05-29
1.254763126373291,1980-05-30
1.2467451095581055,1980-06-02
1.254763126373291,1980-06-03
1.2868338823318481,1980-06-04
1.2828251123428345,1980-06-05
1.3469651937484741,1980-06-06
1.2828251123428345,1980-06-09
1.3028689622879028,1980-06-10
1.3269219398498535,1980-06-11
1.3229129314422607,1980-06-12
1.3790369033813477,1980-06-13
1.3309310674667358,1980-06-16
1.3309310674667358,1980-06-17
1.3028689622879028,1980-06-18
1.258771300315857,1980-06-19
1.2507538795471191,1980-06-20
1.2467451095581055,1980-06-23
1.2828251123428345,1980-06-24
1.2868338823318481,1980-06-25
1.2828251123428345,1980-06-26
1.2868338823318481,1980-06-27
1.2828251123428345,1980-06-30
1.2828251123428345,1980-07-01
1.2868338823318481,1980-07-02
1.2908427715301514,1980-07-03
1.2908427715301514,1980-07-07
1.2908427715301514,1980-07-08
1.2868338823318481,1980-07-09
1.2988600730895996,1980-07-10
1.3028689622879028,1980-07-11
1.3469651937484741,1980-07-14
1.3309310674667358,1980-07-15
1.3509747982025146,1980-07-16
1.358992576599121,1980-07-17
1.3710192441940308,1980-07-18
1.4391694068908691,1980-07-21
1.3870545625686646,1980-07-22
1.3509747982025146,1980-07-23
1.358992576599121,1980-07-24
1.3429577350616455,1980-07-25
1.3309310674667358,1980-07-28
1.3389480113983154,1980-07-29
1.3429577350616455,1980-07-30
1.3429577350616455,1980-07-31
1.3309310674667358,1980-08-01
1.318904995918274,1980-08-04
1.3028689622879028,1980-08-05
1.3108868598937988,1980-08-06
1.3309310674667358,1980-08-07
1.3229129314422607,1980-08-08
1.3148958683013916,1980-08-11
1.318904995918274,1980-08-12
1.3108868598937988,1980-08-13
1.3148958683013916,1980-08-14
1.3469651937484741,1980-08-15
1.3309310674667358,1980-08-18
1.3269219398498535,1980-08-19
1.3229129314422607,1980-08-20
1.3269219398498535,1980-08-21
1.3309310674667358,1980-08-22
1.3309310674667358,1980-08-25
1.3469651937484741,1980-08-26
1.318904995918274,1980-08-27
1.3068782091140747,1980-08-28
1.3148958683013916,1980-08-29
1.3349400758743286,1980-09-02
1.3830454349517822,1980-09-03
1.3670101165771484,1980-09-04
1.358992576599121,1980-09-05
1.3670101165771484,1980-09-08
1.3349400758743286,1980-09-09
1.3469651937484741,1980-09-10
1.3710192441940308,1980-09-11
1.3670101165771484,1980-09-12
1.375028133392334,1980-09-15
1.3670101165771484,1980-09-16
1.3710192441940308,1980-09-17
1.375028133392334,1980-09-18
1.3710192441940308,1980-09-19
1.3670101165771484,1980-09-22
1.3710192441940308,1980-09-23
1.3630015850067139,1980-09-24
1.3429577350616455,1980-09-25
