BXP,Date
7.941141128540039,1997-06-18
7.904032230377197,1997-06-19
7.8298187255859375,1997-06-20
7.755598545074463,1997-06-23
7.737044334411621,1997-06-24
7.848370552062988,1997-06-25
8.01535415649414,1997-06-26
7.978249549865723,1997-06-27
8.089569091796875,1997-06-30
7.904032230377197,1997-07-01
7.8298187255859375,1997-07-02
7.904032230377197,1997-07-03
7.941141128540039,1997-07-07
7.922584056854248,1997-07-08
7.885476589202881,1997-07-09
7.8298187255859375,1997-07-10
7.848370552062988,1997-07-11
7.941141128540039,1997-07-14
7.922584056854248,1997-07-15
7.978249549865723,1997-07-16
8.033913612365723,1997-07-17
7.904032230377197,1997-07-18
7.959691047668457,1997-07-21
7.959691047668457,1997-07-22
7.959691047668457,1997-07-23
8.033913612365723,1997-07-24
8.108128547668457,1997-07-25
8.108128547668457,1997-07-28
8.145236015319824,1997-07-29
8.182339668273926,1997-07-30
8.275115966796875,1997-07-31
8.275115966796875,1997-08-01
8.275115966796875,1997-08-04
8.349329948425293,1997-08-05
8.720410346984863,1997-08-06
8.683307647705078,1997-08-07
8.609084129333496,1997-08-08
8.367883682250977,1997-08-11
8.293667793273926,1997-08-12
8.219454765319824,1997-08-13
8.163790702819824,1997-08-14
8.200895309448242,1997-08-15
8.256561279296875,1997-08-18
8.38643741607666,1997-08-19
8.516316413879395,1997-08-20
8.609084129333496,1997-08-21
8.683307647705078,1997-08-22
8.701857566833496,1997-08-25
8.683307647705078,1997-08-26
8.701857566833496,1997-08-27
8.776073455810547,1997-08-28
8.850287437438965,1997-08-29
8.868844032287598,1997-09-02
8.887399673461914,1997-09-03
8.794629096984863,1997-09-04
9.165705680847168,1997-09-05
9.258481979370117,1997-09-08
9.202813148498535,1997-09-09
9.0729398727417,1997-09-10
8.943052291870117,1997-09-11
9.0729398727417,1997-09-12
9.202813148498535,1997-09-15
9.444023132324219,1997-09-16
9.425461769104004,1997-09-17
9.499677658081055,1997-09-18
9.499677658081055,1997-09-19
9.481130599975586,1997-09-22
9.369805335998535,1997-09-23
9.46257495880127,1997-09-24
9.53679084777832,1997-09-25
9.629557609558105,1997-09-26
9.870763778686523,1997-09-29
9.740883827209473,1997-09-30
10.019195556640625,1997-10-01
10.093412399291992,1997-10-02
10.074857711791992,1997-10-03
9.944979667663574,1997-10-06
9.740883827209473,1997-10-07
9.85221004486084,1997-10-08
9.740883827209473,1997-10-09
9.648115158081055,1997-10-10
9.722328186035156,1997-10-13
9.870763778686523,1997-10-14
9.889318466186523,1997-10-15
9.611003875732422,1997-10-16
9.499677658081055,1997-10-17
9.481130599975586,1997-10-20
9.351249694824219,1997-10-21
9.425461769104004,1997-10-22
9.258481979370117,1997-10-23
9.46257495880127,1997-10-24
9.165705680847168,1997-10-27
8.905951499938965,1997-10-28
9.147153854370117,1997-10-29
8.924507141113281,1997-10-30
9.499677658081055,1997-10-31
10.019195556640625,1997-11-03
10.111964225769043,1997-11-04
10.075130462646484,1997-11-05
10.150313377380371,1997-11-06
10.112719535827637,1997-11-07
9.943549156188965,1997-11-10
9.811971664428711,1997-11-11
9.755575180053711,1997-11-12
9.605201721191406,1997-11-13
9.999937057495117,1997-11-14
10.225499153137207,1997-11-17
10.225499153137207,1997-11-18
10.28188705444336,1997-11-19
10.33828067779541,1997-11-20
10.319483757019043,1997-11-21
10.225499153137207,1997-11-24
10.206700325012207,1997-11-25
9.849566459655762,1997-11-26
9.811971664428711,1997-11-28
9.999937057495117,1997-12-01
10.187906265258789,1997-12-02
10.33828067779541,1997-12-03
10.33828067779541,1997-12-04
10.206700325012207,1997-12-05
10.187906265258789,1997-12-08
10.33828067779541,1997-12-09
10.244301795959473,1997-12-10
10.187906265258789,1997-12-11
10.075130462646484,1997-12-12
10.244301795959473,1997-12-15
10.187906265258789,1997-12-16
10.33828067779541,1997-12-17
10.244301795959473,1997-12-18
10.225499153137207,1997-12-19
9.999937057495117,1997-12-22
10.009075164794922,1997-12-23
10.12324333190918,1997-12-24
10.104212760925293,1997-12-26
10.104212760925293,1997-12-29
10.256441116333008,1997-12-30
10.06615924835205,1997-12-31
10.104212760925293,1998-01-02
10.23741626739502,1998-01-05
10.256441116333008,1998-01-06
10.21838665008545,1998-01-07
10.256441116333008,1998-01-08
10.180329322814941,1998-01-09
10.047128677368164,1998-01-12
9.894898414611816,1998-01-13
10.009075164794922,1998-01-14
10.12324333190918,1998-01-15
10.503815650939941,1998-01-16
10.21838665008545,1998-01-20
10.389642715454102,1998-01-21
10.522845268249512,1998-01-22
10.637015342712402,1998-01-23
10.69410228729248,1998-01-26
10.827305793762207,1998-01-27
10.846331596374512,1998-01-28
10.884389877319336,1998-01-29
10.827305793762207,1998-01-30
10.922445297241211,1998-02-02
10.922445297241211,1998-02-03
10.865360260009766,1998-02-04
10.903420448303223,1998-02-05
10.884389877319336,1998-02-06
10.865360260009766,1998-02-09
10.827305793762207,1998-02-10
10.78924560546875,1998-02-11
10.751189231872559,1998-02-12
10.713129043579102,1998-02-13
10.69410228729248,1998-02-17
10.656044006347656,1998-02-18
10.656044006347656,1998-02-19
10.617995262145996,1998-02-20
10.617995262145996,1998-02-23
10.656044006347656,1998-02-24
10.57993221282959,1998-02-25
10.389642715454102,1998-02-26
10.35158634185791,1998-02-27
10.23741626739502,1998-03-02
10.085186958312988,1998-03-03
10.380128860473633,1998-03-04
10.446728706359863,1998-03-05
10.465758323669434,1998-03-06
10.446728706359863,1998-03-09
10.484786033630371,1998-03-10
10.427705764770508,1998-03-11
10.446728706359863,1998-03-12
10.427705764770508,1998-03-13
10.104212760925293,1998-03-16
10.047128677368164,1998-03-17
9.99003791809082,1998-03-18
10.009075164794922,1998-03-19
10.199360847473145,1998-03-20
10.35158634185791,1998-03-23
10.465758323669434,1998-03-24
10.446728706359863,1998-03-25
10.656044006347656,1998-03-26
10.713129043579102,1998-03-27
10.69410228729248,1998-03-30
10.713129043579102,1998-03-31
10.656044006347656,1998-04-01
10.732155799865723,1998-04-02
10.751189231872559,1998-04-03
10.57993221282959,1998-04-06
10.617995262145996,1998-04-07
10.503815650939941,1998-04-08
10.656044006347656,1998-04-09
10.57993221282959,1998-04-13
10.713129043579102,1998-04-14
10.827305793762207,1998-04-15
10.941476821899414,1998-04-16
10.732155799865723,1998-04-17
10.465758323669434,1998-04-20
10.35158634185791,1998-04-21
10.313529968261719,1998-04-22
10.12324333190918,1998-04-23
10.06615924835205,1998-04-24
9.932958602905273,1998-04-27
10.028099060058594,1998-04-28
10.256441116333008,1998-04-29
10.06615924835205,1998-04-30
10.06615924835205,1998-05-01
10.104212760925293,1998-05-04
10.161297798156738,1998-05-05
10.247596740722656,1998-05-06
10.286118507385254,1998-05-07
10.30538272857666,1998-05-08
10.30538272857666,1998-05-11
10.209073066711426,1998-05-12
10.478743553161621,1998-05-13
10.478743553161621,1998-05-14
10.613580703735352,1998-05-15
10.652107238769531,1998-05-18
10.652107238769531,1998-05-19
10.671367645263672,1998-05-20
10.613580703735352,1998-05-21
10.729161262512207,1998-05-22
10.613580703735352,1998-05-26
10.536528587341309,1998-05-27
10.49801254272461,1998-05-28
10.478743553161621,1998-05-29
10.440218925476074,1998-06-01
10.266862869262695,1998-06-02
10.30538272857666,1998-06-03
10.324649810791016,1998-06-04
10.189810752868652,1998-06-05
9.881611824035645,1998-06-08
9.958662986755371,1998-06-09
10.170546531677246,1998-06-10
10.189810752868652,1998-06-11
9.920135498046875,1998-06-12
9.920135498046875,1998-06-15
9.99717903137207,1998-06-16
10.054975509643555,1998-06-17
10.286118507385254,1998-06-18
10.478743553161621,1998-06-19
10.420960426330566,1998-06-22
10.517268180847168,1998-06-23
10.459479331970215,1998-06-24
10.459479331970215,1998-06-25
10.440218925476074,1998-06-26
10.478743553161621,1998-06-29
10.478743553161621,1998-06-30
10.575056076049805,1998-07-01
10.517268180847168,1998-07-02
10.632843017578125,1998-07-06
10.690627098083496,1998-07-07
10.632843017578125,1998-07-08
10.594318389892578,1998-07-09
10.536528587341309,1998-07-10
10.517268180847168,1998-07-13
10.363171577453613,1998-07-14
10.420960426330566,1998-07-15
10.324649810791016,1998-07-16
10.459479331970215,1998-07-17
10.363171577453613,1998-07-20
10.420960426330566,1998-07-21
10.401695251464844,1998-07-22
10.11275577545166,1998-07-23
10.266862869262695,1998-07-24
10.11275577545166,1998-07-27
9.900873184204102,1998-07-28
9.920135498046875,1998-07-29
9.881611824035645,1998-07-30
9.958662986755371,1998-07-31
9.785298347473145,1998-08-03
9.57341480255127,1998-08-04
9.457837104797363,1998-08-05
9.760010719299316,1998-08-06
9.896646499633789,1998-08-07
9.877127647399902,1998-08-10
9.877127647399902,1998-08-11
10.052803993225098,1998-08-12
9.994243621826172,1998-08-13
9.877127647399902,1998-08-14
9.916167259216309,1998-08-17
9.916167259216309,1998-08-18
9.974722862243652,1998-08-19
9.955206871032715,1998-08-20
9.877127647399902,1998-08-21
9.877127647399902,1998-08-24
9.877127647399902,1998-08-25
10.09184741973877,1998-08-26
9.681926727294922,1998-08-27
9.291524887084961,1998-08-28
8.86208724975586,1998-08-31
8.920646667480469,1998-09-01
8.64736270904541,1998-09-02
8.432644844055176,1998-09-03
8.432644844055176,1998-09-04
8.452165603637695,1998-09-08
8.159367561340332,1998-09-09
7.671367168426514,1998-09-10
7.45664644241333,1998-09-11
7.495687484741211,1998-09-14
7.749446392059326,1998-09-15
8.120331764221191,1998-09-16
8.41312313079834,1998-09-17
8.588808059692383,1998-09-18
9.193923950195312,1998-09-21
9.79904556274414,1998-09-22
9.818564414978027,1998-09-23
9.642885208129883,1998-09-24
9.252487182617188,1998-09-25
9.0182466506958,1998-09-28
8.998729705810547,1998-09-29
8.901128768920898,1998-09-30
8.784008026123047,1998-10-01
8.627849578857422,1998-10-02
8.354567527770996,1998-10-05
8.530248641967773,1998-10-06
8.471688270568848,1998-10-07
8.31552505493164,1998-10-08
8.41312313079834,1998-10-09
8.744967460632324,1998-10-12
8.84256649017334,1998-10-13
8.86208724975586,1998-10-14
8.959689140319824,1998-10-15
9.369608879089355,1998-10-16
9.350085258483887,1998-10-19
9.350085258483887,1998-10-20
9.21345043182373,1998-10-21
9.115845680236816,1998-10-22
8.998729705810547,1998-10-23
8.998729705810547,1998-10-26
8.959689140319824,1998-10-27
8.705925941467285,1998-10-28
8.686403274536133,1998-10-29
8.901128768920898,1998-10-30
9.232969284057617,1998-11-02
9.05728816986084,1998-11-03
9.584328651428223,1998-11-04
9.659546852111816,1998-11-05
9.619955062866211,1998-11-06
9.897074699401855,1998-11-09
9.77830982208252,1998-11-10
9.6001615524292,1998-11-11
9.342840194702148,1998-11-12
9.461602210998535,1998-11-13
9.6001615524292,1998-11-16
9.50119400024414,1998-11-17
9.50119400024414,1998-11-18
9.619955062866211,1998-11-19
9.798100471496582,1998-11-20
9.81789779663086,1998-11-23
9.936660766601562,1998-11-24
9.956456184387207,1998-11-25
9.897074699401855,1998-11-27
9.99604606628418,1998-11-30
10.114806175231934,1998-12-01
10.17419147491455,1998-12-02
10.134603500366211,1998-12-03
10.292952537536621,1998-12-04
10.193984985351562,1998-12-07
10.134603500366211,1998-12-08
9.99604606628418,1998-12-09
9.976250648498535,1998-12-10
9.936660766601562,1998-12-11
9.956456184387207,1998-12-14
9.99604606628418,1998-12-15
10.114806175231934,1998-12-16
10.055423736572266,1998-12-17
10.055423736572266,1998-12-18
9.877278327941895,1998-12-21
9.619955062866211,1998-12-22
9.659546852111816,1998-12-23
9.619955062866211,1998-12-24
9.716316223144531,1998-12-28
9.7765474319458,1998-12-29
9.836767196655273,1998-12-30
9.79661750793457,1998-12-31
9.736384391784668,1999-01-04
10.057592391967773,1999-01-05
10.077659606933594,1999-01-06
10.09774398803711,1999-01-07
10.157970428466797,1999-01-08
10.178044319152832,1999-01-11
10.157970428466797,1999-01-12
10.157970428466797,1999-01-13
10.077659606933594,1999-01-14
10.157970428466797,1999-01-15
10.198118209838867,1999-01-19
10.218192100524902,1999-01-20
10.258345603942871,1999-01-21
10.960968971252441,1999-01-22
11.001120567321777,1999-01-25
11.141643524169922,1999-01-26
10.720065116882324,1999-01-27
10.57953929901123,1999-01-28
10.439014434814453,1999-01-29
10.760218620300293,1999-02-01
11.001120567321777,1999-02-02
10.940896034240723,1999-02-03
10.920814514160156,1999-02-04
10.800370216369629,1999-02-05
10.800370216369629,1999-02-08
10.720065116882324,1999-02-09
10.57953929901123,1999-02-10
10.639769554138184,1999-02-11
10.519317626953125,1999-02-12
10.53939151763916,1999-02-16
10.459095001220703,1999-02-17
10.439014434814453,1999-02-18
10.398868560791016,1999-02-19
10.459095001220703,1999-02-22
