PDCO,Date
1.3281155824661255,1992-10-28
1.346821665763855,1992-10-29
1.3094096183776855,1992-10-30
1.2532927989959717,1992-11-02
1.271998405456543,1992-11-03
1.290704607963562,1992-11-04
1.3094096183776855,1992-11-05
1.346821665763855,1992-11-06
1.4029392004013062,1992-11-09
1.4590572118759155,1992-11-10
1.5525867938995361,1992-11-11
1.5338804721832275,1992-11-12
1.5525867938995361,1992-11-13
1.4590572118759155,1992-11-16
1.4777626991271973,1992-11-17
1.5338804721832275,1992-11-18
1.5151748657226562,1992-11-19
1.5338804721832275,1992-11-20
1.5151748657226562,1992-11-23
1.5712919235229492,1992-11-24
1.5899980068206787,1992-11-25
1.5899980068206787,1992-11-27
1.5712919235229492,1992-11-30
1.636763334274292,1992-12-01
1.6835271120071411,1992-12-02
1.6835271120071411,1992-12-03
1.7209392786026,1992-12-04
1.664821743965149,1992-12-07
1.7396447658538818,1992-12-08
1.7583510875701904,1992-12-09
1.7396447658538818,1992-12-10
1.7396447658538818,1992-12-11
1.7583510875701904,1992-12-14
1.6835271120071411,1992-12-15
1.6928805112838745,1992-12-16
1.7583510875701904,1992-12-17
1.8892920017242432,1992-12-18
1.8144676685333252,1992-12-21
1.8144676685333252,1992-12-22
1.8144676685333252,1992-12-23
1.833174467086792,1992-12-24
1.8705860376358032,1992-12-28
1.833174467086792,1992-12-29
1.8705860376358032,1992-12-30
1.9079973697662354,1992-12-31
1.9079973697662354,1993-01-04
1.9079973697662354,1993-01-05
1.8144676685333252,1993-01-06
1.5899980068206787,1993-01-07
1.5525867938995361,1993-01-08
1.5619392395019531,1993-01-11
1.5712919235229492,1993-01-12
1.5525867938995361,1993-01-13
1.5899980068206787,1993-01-14
1.5899980068206787,1993-01-15
1.5338804721832275,1993-01-18
1.5338804721832275,1993-01-19
1.5619392395019531,1993-01-20
1.5712919235229492,1993-01-21
1.5712919235229492,1993-01-22
1.5525867938995361,1993-01-25
1.5338804721832275,1993-01-26
1.6180572509765625,1993-01-27
1.6835271120071411,1993-01-28
1.6835271120071411,1993-01-29
1.6835271120071411,1993-02-01
1.702232837677002,1993-02-02
1.7302919626235962,1993-02-03
