AMLN,Date
20.75,1992-01-17
21.0,1992-01-20
19.375,1992-01-21
20.0,1992-01-22
20.5,1992-01-23
21.375,1992-01-24
23.0,1992-01-27
21.0,1992-01-28
21.0,1992-01-29
20.25,1992-01-30
19.75,1992-01-31
20.0,1992-02-03
19.75,1992-02-04
19.0,1992-02-05
18.0,1992-02-06
18.25,1992-02-07
16.75,1992-02-10
17.0,1992-02-11
18.125,1992-02-12
17.5,1992-02-13
17.25,1992-02-14
15.125,1992-02-18
14.75,1992-02-19
15.75,1992-02-20
16.0,1992-02-21
16.0,1992-02-24
15.75,1992-02-25
17.0,1992-02-26
16.75,1992-02-27
16.75,1992-02-28
17.25,1992-03-02
17.0,1992-03-03
15.5,1992-03-04
15.25,1992-03-05
14.25,1992-03-06
14.375,1992-03-09
14.75,1992-03-10
14.0,1992-03-11
13.25,1992-03-12
13.5,1992-03-13
14.5,1992-03-16
14.75,1992-03-17
14.625,1992-03-18
15.5,1992-03-19
15.25,1992-03-20
14.75,1992-03-23
14.75,1992-03-24
15.0,1992-03-25
14.75,1992-03-26
14.0,1992-03-27
14.0,1992-03-30
13.75,1992-03-31
13.5,1992-04-01
13.0,1992-04-02
12.25,1992-04-03
11.5,1992-04-06
9.75,1992-04-07
10.0,1992-04-08
12.0,1992-04-09
12.25,1992-04-10
11.75,1992-04-13
12.25,1992-04-14
11.5,1992-04-15
10.0,1992-04-16
9.75,1992-04-20
9.375,1992-04-21
9.5,1992-04-22
9.875,1992-04-23
10.0,1992-04-24
9.875,1992-04-27
9.5,1992-04-28
10.5,1992-04-29
11.25,1992-04-30
11.0,1992-05-01
10.375,1992-05-04
11.25,1992-05-05
10.25,1992-05-06
10.5,1992-05-07
9.625,1992-05-08
10.0,1992-05-11
9.375,1992-05-12
9.25,1992-05-13
8.75,1992-05-14
9.0,1992-05-15
9.5,1992-05-18
9.0,1992-05-19
8.75,1992-05-20
8.75,1992-05-21
9.625,1992-05-22
9.25,1992-05-26
9.375,1992-05-27
9.5,1992-05-28
9.75,1992-05-29
10.0,1992-06-01
9.75,1992-06-02
9.75,1992-06-03
10.125,1992-06-04
9.5,1992-06-05
10.0,1992-06-08
8.75,1992-06-09
8.25,1992-06-10
8.25,1992-06-11
7.75,1992-06-12
7.75,1992-06-15
7.25,1992-06-16
7.0,1992-06-17
6.75,1992-06-18
7.5,1992-06-19
7.25,1992-06-22
7.0,1992-06-23
7.0,1992-06-24
6.75,1992-06-25
6.5,1992-06-26
6.5,1992-06-29
7.25,1992-06-30
7.75,1992-07-01
7.0,1992-07-02
7.75,1992-07-06
7.5,1992-07-07
7.0,1992-07-08
7.0,1992-07-09
7.0,1992-07-10
7.25,1992-07-13
7.25,1992-07-14
7.75,1992-07-15
7.5,1992-07-16
7.125,1992-07-17
7.25,1992-07-20
7.0,1992-07-21
7.0,1992-07-22
7.5,1992-07-23
7.25,1992-07-24
7.0,1992-07-27
7.0,1992-07-28
7.0,1992-07-29
7.0,1992-07-30
7.0,1992-07-31
6.625,1992-08-03
6.375,1992-08-04
6.25,1992-08-05
6.25,1992-08-06
6.375,1992-08-07
7.25,1992-08-10
7.75,1992-08-11
7.75,1992-08-12
7.625,1992-08-13
7.5,1992-08-14
7.5,1992-08-17
7.25,1992-08-18
6.75,1992-08-19
6.75,1992-08-20
7.0,1992-08-21
6.25,1992-08-24
6.0,1992-08-25
6.25,1992-08-26
5.75,1992-08-27
6.5,1992-08-28
6.25,1992-08-31
