FTV,Date
39.431297302246094,2016-07-05
38.74165344238281,2016-07-06
38.73354721069336,2016-07-07
40.72944641113281,2016-07-08
41.475887298583984,2016-07-11
41.02964401245117,2016-07-12
41.070213317871094,2016-07-13
41.84098815917969,2016-07-14
41.56512451171875,2016-07-15
41.61380386352539,2016-07-18
41.82475280761719,2016-07-19
40.84303665161133,2016-07-20
40.761898040771484,2016-07-21
40.080379486083984,2016-07-22
39.739601135253906,2016-07-25
39.98301315307617,2016-07-26
39.69092559814453,2016-07-27
39.471866607666016,2016-07-28
39.11487579345703,2016-07-29
38.78221893310547,2016-08-01
38.538814544677734,2016-08-02
39.98301315307617,2016-08-03
40.59152603149414,2016-08-04
41.037750244140625,2016-08-05
40.60773849487305,2016-08-08
40.94039535522461,2016-08-09
40.932273864746094,2016-08-10
42.63610076904297,2016-08-11
42.76592254638672,2016-08-12
43.53670120239258,2016-08-15
43.44744110107422,2016-08-16
43.333858489990234,2016-08-17
43.13102722167969,2016-08-18
42.12495422363281,2016-08-19
41.5894660949707,2016-08-22
42.108734130859375,2016-08-23
41.735008239746094,2016-08-24
41.93812942504883,2016-08-25
42.1412239074707,2016-08-26
42.57994842529297,2016-08-29
42.742435455322266,2016-08-30
42.79117965698242,2016-08-31
42.758670806884766,2016-09-01
43.368003845214844,2016-09-02
42.83992004394531,2016-09-06
43.01054000854492,2016-09-07
42.51494598388672,2016-09-08
41.06880569458008,2016-09-09
41.60501480102539,2016-09-12
40.654449462890625,2016-09-13
40.63822555541992,2016-09-14
41.02006912231445,2016-09-15
40.833187103271484,2016-09-16
41.25566482543945,2016-09-19
40.825077056884766,2016-09-20
41.41816329956055,2016-09-21
41.95436477661133,2016-09-22
41.336917877197266,2016-09-23
41.61314010620117,2016-09-26
41.929996490478516,2016-09-27
42.01935958862305,2016-09-28
41.190673828125,2016-09-29
41.3531608581543,2016-09-30
41.751258850097656,2016-10-03
41.280033111572266,2016-10-04
41.38565444946289,2016-10-05
41.190673828125,2016-10-06
40.56509017944336,2016-10-07
40.58133316040039,2016-10-10
39.9882698059082,2016-10-11
39.80140686035156,2016-10-12
39.66328430175781,2016-10-13
40.18324661254883,2016-10-14
39.85826873779297,2016-10-17
39.882652282714844,2016-10-18
40.126380920410156,2016-10-19
39.56580352783203,2016-10-20
39.54141616821289,2016-10-21
39.44392395019531,2016-10-24
38.93208694458008,2016-10-25
38.810218811035156,2016-10-26
38.582740783691406,2016-10-27
40.79256820678711,2016-10-28
41.47502517700195,2016-10-31
41.02006912231445,2016-11-01
40.8819465637207,2016-11-02
41.41816329956055,2016-11-03
41.523773193359375,2016-11-04
42.07624053955078,2016-11-07
42.77492904663086,2016-11-08
43.43301010131836,2016-11-09
44.03419494628906,2016-11-10
43.384254455566406,2016-11-11
43.72548294067383,2016-11-14
43.96921920776367,2016-11-15
44.22918701171875,2016-11-16
44.277931213378906,2016-11-17
44.38356018066406,2016-11-18
44.546051025390625,2016-11-21
45.042274475097656,2016-11-22
45.39207458496094,2016-11-23
45.530357360839844,2016-11-25
45.22123336791992,2016-11-28
44.96906280517578,2016-11-29
44.73314666748047,2016-11-30
44.082366943359375,2016-12-01
44.31827163696289,2016-12-02
43.85458755493164,2016-12-05
43.92780685424805,2016-12-06
44.1230354309082,2016-12-07
43.66749572753906,2016-12-08
43.92780685424805,2016-12-09
43.91967010498047,2016-12-12
