CBRE,Date
6.116666793823242,2004-06-10
6.066667079925537,2004-06-14
6.25,2004-06-15
6.3333330154418945,2004-06-16
6.349999904632568,2004-06-17
6.343332767486572,2004-06-18
6.363333225250244,2004-06-21
6.353332996368408,2004-06-22
6.296667098999023,2004-06-23
6.3333330154418945,2004-06-24
6.3333330154418945,2004-06-25
6.3333330154418945,2004-06-28
6.366666793823242,2004-06-29
6.366666793823242,2004-06-30
6.366666793823242,2004-07-01
6.383333206176758,2004-07-02
6.363333225250244,2004-07-06
6.349999904632568,2004-07-07
6.349999904632568,2004-07-08
6.3333330154418945,2004-07-09
6.303332805633545,2004-07-12
6.353332996368408,2004-07-13
6.366666793823242,2004-07-14
6.349999904632568,2004-07-15
6.300000190734863,2004-07-16
6.3333330154418945,2004-07-19
6.3333330154418945,2004-07-20
6.336667060852051,2004-07-21
6.406667232513428,2004-07-22
6.300000190734863,2004-07-23
6.260000228881836,2004-07-26
6.260000228881836,2004-07-27
6.2866668701171875,2004-07-28
6.300000190734863,2004-07-29
6.313333034515381,2004-07-30
6.340000152587891,2004-08-02
6.389999866485596,2004-08-03
6.349999904632568,2004-08-04
6.570000171661377,2004-08-05
6.47333288192749,2004-08-06
6.360000133514404,2004-08-09
6.433332920074463,2004-08-10
6.433332920074463,2004-08-11
6.4166669845581055,2004-08-12
6.400000095367432,2004-08-13
6.386666774749756,2004-08-16
6.283332824707031,2004-08-17
6.303332805633545,2004-08-18
6.373332977294922,2004-08-19
6.466667175292969,2004-08-20
6.3933329582214355,2004-08-23
6.433332920074463,2004-08-24
6.446667194366455,2004-08-25
6.480000019073486,2004-08-26
6.443333148956299,2004-08-27
6.47333288192749,2004-08-30
6.49666690826416,2004-08-31
6.579999923706055,2004-09-01
6.656667232513428,2004-09-02
6.866666793823242,2004-09-03
6.913332939147949,2004-09-07
6.7733330726623535,2004-09-08
7.133333206176758,2004-09-09
7.453332901000977,2004-09-10
7.519999980926514,2004-09-13
7.590000152587891,2004-09-14
7.49666690826416,2004-09-15
7.396667003631592,2004-09-16
7.3333330154418945,2004-09-17
7.466667175292969,2004-09-20
7.453332901000977,2004-09-21
7.483333110809326,2004-09-22
7.646667003631592,2004-09-23
7.533332824707031,2004-09-24
7.5366668701171875,2004-09-27
7.693333148956299,2004-09-28
7.880000114440918,2004-09-29
7.699999809265137,2004-09-30
7.836667060852051,2004-10-01
8.140000343322754,2004-10-04
8.083333015441895,2004-10-05
8.103333473205566,2004-10-06
8.239999771118164,2004-10-07
8.300000190734863,2004-10-08
8.44333267211914,2004-10-11
8.333333015441895,2004-10-12
8.266667366027832,2004-10-13
8.300000190734863,2004-10-14
8.039999961853027,2004-10-15
8.140000343322754,2004-10-18
8.149999618530273,2004-10-19
8.363332748413086,2004-10-20
8.436667442321777,2004-10-21
8.34000015258789,2004-10-22
8.386667251586914,2004-10-25
8.463333129882812,2004-10-26
8.716667175292969,2004-10-27
8.729999542236328,2004-10-28
8.633333206176758,2004-10-29
8.563332557678223,2004-11-01
8.633333206176758,2004-11-02
8.793333053588867,2004-11-03
8.883333206176758,2004-11-04
8.933333396911621,2004-11-05
8.960000038146973,2004-11-08
8.543333053588867,2004-11-09
8.699999809265137,2004-11-10
8.69333267211914,2004-11-11
8.800000190734863,2004-11-12
8.50333309173584,2004-11-15
8.616666793823242,2004-11-16
8.616666793823242,2004-11-17
8.58666706085205,2004-11-18
8.59333324432373,2004-11-19
8.683333396911621,2004-11-22
8.619999885559082,2004-11-23
8.789999961853027,2004-11-24
8.966667175292969,2004-11-26
8.9399995803833,2004-11-29
9.029999732971191,2004-11-30
9.633333206176758,2004-12-01
10.043333053588867,2004-12-02
10.266667366027832,2004-12-03
10.029999732971191,2004-12-06
9.353333473205566,2004-12-07
9.800000190734863,2004-12-08
9.94333267211914,2004-12-09
9.970000267028809,2004-12-10
9.90999984741211,2004-12-13
10.013333320617676,2004-12-14
10.109999656677246,2004-12-15
10.016667366027832,2004-12-16
9.933333396911621,2004-12-17
9.856666564941406,2004-12-20
10.066666603088379,2004-12-21
10.326666831970215,2004-12-22
10.786666870117188,2004-12-23
10.636667251586914,2004-12-27
10.75333309173584,2004-12-28
10.966667175292969,2004-12-29
11.303333282470703,2004-12-30
11.183333396911621,2004-12-31
10.983332633972168,2005-01-03
10.920000076293945,2005-01-04
10.606666564941406,2005-01-05
10.723333358764648,2005-01-06
10.733332633972168,2005-01-07
11.153332710266113,2005-01-10
10.916666984558105,2005-01-11
11.25,2005-01-12
11.216667175292969,2005-01-13
11.316666603088379,2005-01-14
11.609999656677246,2005-01-18
11.399999618530273,2005-01-19
11.066666603088379,2005-01-20
11.176667213439941,2005-01-21
11.113332748413086,2005-01-24
11.0,2005-01-25
11.199999809265137,2005-01-26
11.100000381469727,2005-01-27
11.153332710266113,2005-01-28
11.66333293914795,2005-01-31
11.829999923706055,2005-02-01
11.716667175292969,2005-02-02
12.523332595825195,2005-02-03
12.346667289733887,2005-02-04
12.039999961853027,2005-02-07
12.333333015441895,2005-02-08
12.25,2005-02-09
12.220000267028809,2005-02-10
12.633333206176758,2005-02-11
12.69333267211914,2005-02-14
12.59000015258789,2005-02-15
12.760000228881836,2005-02-16
12.569999694824219,2005-02-17
12.333333015441895,2005-02-18
12.266667366027832,2005-02-22
12.016667366027832,2005-02-23
12.183333396911621,2005-02-24
12.133333206176758,2005-02-25
12.026666641235352,2005-02-28
12.066666603088379,2005-03-01
12.170000076293945,2005-03-02
12.170000076293945,2005-03-03
12.333333015441895,2005-03-04
12.300000190734863,2005-03-07
12.023332595825195,2005-03-08
11.733332633972168,2005-03-09
11.573332786560059,2005-03-10
11.520000457763672,2005-03-11
11.5,2005-03-14
11.453332901000977,2005-03-15
11.516667366027832,2005-03-16
11.630000114440918,2005-03-17
11.646666526794434,2005-03-18
11.416666984558105,2005-03-21
11.673333168029785,2005-03-22
11.583333015441895,2005-03-23
11.853333473205566,2005-03-24
11.829999923706055,2005-03-28
11.416666984558105,2005-03-29
11.566666603088379,2005-03-30
11.66333293914795,2005-03-31
11.626667022705078,2005-04-01
11.399999618530273,2005-04-04
11.383333206176758,2005-04-05
11.283332824707031,2005-04-06
11.449999809265137,2005-04-07
11.393333435058594,2005-04-08
11.58666706085205,2005-04-11
11.66333293914795,2005-04-12
11.106666564941406,2005-04-13
11.25333309173584,2005-04-14
10.91333293914795,2005-04-15
10.883333206176758,2005-04-18
11.0,2005-04-19
11.109999656677246,2005-04-20
11.316666603088379,2005-04-21
11.470000267028809,2005-04-22
11.686667442321777,2005-04-25
11.486666679382324,2005-04-26
11.666666984558105,2005-04-27
10.986666679382324,2005-04-28
11.583333015441895,2005-04-29
11.760000228881836,2005-05-02
11.826666831970215,2005-05-03
11.766667366027832,2005-05-04
11.449999809265137,2005-05-05
11.460000038146973,2005-05-06
11.603333473205566,2005-05-09
11.399999618530273,2005-05-10
11.479999542236328,2005-05-11
11.373332977294922,2005-05-12
11.199999809265137,2005-05-13
11.300000190734863,2005-05-16
11.386667251586914,2005-05-17
11.800000190734863,2005-05-18
12.40666675567627,2005-05-19
12.399999618530273,2005-05-20
12.813332557678223,2005-05-23
12.966667175292969,2005-05-24
12.710000038146973,2005-05-25
12.899999618530273,2005-05-26
12.960000038146973,2005-05-27
12.819999694824219,2005-05-31
12.573332786560059,2005-06-01
12.873332977294922,2005-06-02
12.846667289733887,2005-06-03
13.006667137145996,2005-06-06
12.949999809265137,2005-06-07
12.986666679382324,2005-06-08
13.303333282470703,2005-06-09
12.983332633972168,2005-06-10
12.966667175292969,2005-06-13
12.90666675567627,2005-06-14
13.036666870117188,2005-06-15
13.073332786560059,2005-06-16
13.376667022705078,2005-06-17
13.800000190734863,2005-06-20
13.603333473205566,2005-06-21
13.666666984558105,2005-06-22
13.720000267028809,2005-06-23
14.116666793823242,2005-06-24
14.359999656677246,2005-06-27
14.666666984558105,2005-06-28
14.380000114440918,2005-06-29
14.619999885559082,2005-06-30
14.376667022705078,2005-07-01
14.596667289733887,2005-07-05
14.760000228881836,2005-07-06
14.773332595825195,2005-07-07
14.80666732788086,2005-07-08
15.113332748413086,2005-07-11
15.140000343322754,2005-07-12
14.526666641235352,2005-07-13
14.053333282470703,2005-07-14
14.050000190734863,2005-07-15
14.079999923706055,2005-07-18
14.50333309173584,2005-07-19
14.390000343322754,2005-07-20
14.183333396911621,2005-07-21
14.183333396911621,2005-07-22
14.116666793823242,2005-07-25
14.203332901000977,2005-07-26
14.896666526794434,2005-07-27
15.256667137145996,2005-07-28
15.346667289733887,2005-07-29
15.220000267028809,2005-08-01
15.363332748413086,2005-08-02
16.28333282470703,2005-08-03
15.989999771118164,2005-08-04
15.619999885559082,2005-08-05
15.33666706085205,2005-08-08
15.630000114440918,2005-08-09
15.739999771118164,2005-08-10
15.949999809265137,2005-08-11
15.899999618530273,2005-08-12
15.966667175292969,2005-08-15
16.00666618347168,2005-08-16
15.486666679382324,2005-08-17
15.333333015441895,2005-08-18
15.399999618530273,2005-08-19
15.543333053588867,2005-08-22
15.449999809265137,2005-08-23
15.50333309173584,2005-08-24
15.25,2005-08-25
14.433333396911621,2005-08-26
14.41333293914795,2005-08-29
