RIG,Date
9.838571548461914,1993-05-28
10.338836669921875,1993-06-01
10.227668762207031,1993-06-02
10.005327224731445,1993-06-03
10.060911178588867,1993-06-04
9.671815872192383,1993-06-07
9.782983779907227,1993-06-08
9.727400779724121,1993-06-09
9.782983779907227,1993-06-10
9.671815872192383,1993-06-11
9.282718658447266,1993-06-14
9.17154598236084,1993-06-15
8.94920825958252,1993-06-16
9.115962028503418,1993-06-17
9.449474334716797,1993-06-18
9.449474334716797,1993-06-21
9.616230964660645,1993-06-22
9.505057334899902,1993-06-23
9.227133750915527,1993-06-24
9.060379981994629,1993-06-25
9.115962028503418,1993-06-28
8.94920825958252,1993-06-29
9.060379981994629,1993-06-30
8.838035583496094,1993-07-01
8.560111045837402,1993-07-02
8.282185554504395,1993-07-06
8.448941230773926,1993-07-07
8.226597785949707,1993-07-08
8.171016693115234,1993-07-09
8.448941230773926,1993-07-12
8.504526138305664,1993-07-13
8.448941230773926,1993-07-14
8.226597785949707,1993-07-15
8.337769508361816,1993-07-16
8.226597785949707,1993-07-19
8.226597785949707,1993-07-20
8.171016693115234,1993-07-21
8.11543083190918,1993-07-22
8.282185554504395,1993-07-23
8.448941230773926,1993-07-26
8.782451629638672,1993-07-27
8.782451629638672,1993-07-28
9.004790306091309,1993-07-29
8.94920825958252,1993-07-30
9.004790306091309,1993-08-02
9.004790306091309,1993-08-03
8.838035583496094,1993-08-04
8.838035583496094,1993-08-05
8.893622398376465,1993-08-06
8.838035583496094,1993-08-09
8.782451629638672,1993-08-10
8.448941230773926,1993-08-11
8.560111045837402,1993-08-12
8.448941230773926,1993-08-13
8.504526138305664,1993-08-16
8.615696907043457,1993-08-17
8.782451629638672,1993-08-18
9.115962028503418,1993-08-19
9.17154598236084,1993-08-20
9.727400779724121,1993-08-23
9.671815872192383,1993-08-24
9.616230964660645,1993-08-25
9.393887519836426,1993-08-26
9.505057334899902,1993-08-27
9.56064510345459,1993-08-30
9.782983779907227,1993-08-31
9.727400779724121,1993-09-01
9.671815872192383,1993-09-02
9.671815872192383,1993-09-03
9.671815872192383,1993-09-07
9.505057334899902,1993-09-08
9.282718658447266,1993-09-09
8.671282768249512,1993-09-10
8.504526138305664,1993-09-13
8.337769508361816,1993-09-14
8.337769508361816,1993-09-15
8.504526138305664,1993-09-16
8.504526138305664,1993-09-17
8.615696907043457,1993-09-20
8.337769508361816,1993-09-21
8.560111045837402,1993-09-22
8.615696907043457,1993-09-23
8.615696907043457,1993-09-24
8.560111045837402,1993-09-27
8.560111045837402,1993-09-28
8.782451629638672,1993-09-29
9.393887519836426,1993-09-30
9.838571548461914,1993-10-01
10.227668762207031,1993-10-04
10.227668762207031,1993-10-05
10.338836669921875,1993-10-06
10.283251762390137,1993-10-07
9.894158363342285,1993-10-08
10.005327224731445,1993-10-11
9.894158363342285,1993-10-12
10.005327224731445,1993-10-13
9.894158363342285,1993-10-14
9.894158363342285,1993-10-15
9.894158363342285,1993-10-18
9.449474334716797,1993-10-19
9.17154598236084,1993-10-20
9.004790306091309,1993-10-21
9.060379981994629,1993-10-22
8.94920825958252,1993-10-25
8.94920825958252,1993-10-26
9.227133750915527,1993-10-27
9.115962028503418,1993-10-28
9.17154598236084,1993-10-29
9.227133750915527,1993-11-01
9.115962028503418,1993-11-02
9.060379981994629,1993-11-03
8.94920825958252,1993-11-04
9.031717300415039,1993-11-05
8.92021656036377,1993-11-08
8.808713912963867,1993-11-09
8.808713912963867,1993-11-10
8.92021656036377,1993-11-11
9.366230964660645,1993-11-12
9.366230964660645,1993-11-15
9.25472640991211,1993-11-16
9.143220901489258,1993-11-17
8.92021656036377,1993-11-18
8.641457557678223,1993-11-19
8.641457557678223,1993-11-22
8.808713912963867,1993-11-23
8.808713912963867,1993-11-24
8.585708618164062,1993-11-26
8.139697074890137,1993-11-29
8.306951522827148,1993-11-30
7.80518913269043,1993-12-01
7.637936115264893,1993-12-02
7.749439239501953,1993-12-03
7.749439239501953,1993-12-06
7.69368839263916,1993-12-07
7.582184314727783,1993-12-08
7.526432037353516,1993-12-09
7.582184314727783,1993-12-10
7.526432037353516,1993-12-13
7.1919264793396,1993-12-14
7.247675895690918,1993-12-15
7.247675895690918,1993-12-16
7.247675895690918,1993-12-17
7.136173725128174,1993-12-20
7.024670124053955,1993-12-21
6.857417106628418,1993-12-22
6.96891975402832,1993-12-23
7.247675895690918,1993-12-27
7.359178066253662,1993-12-28
7.30342960357666,1993-12-29
7.1919264793396,1993-12-30
7.136173725128174,1993-12-31
7.136173725128174,1994-01-03
7.247675895690918,1994-01-04
7.860942363739014,1994-01-05
7.91669225692749,1994-01-06
8.251202583312988,1994-01-07
7.972445011138916,1994-01-10
7.526432037353516,1994-01-11
7.526432037353516,1994-01-12
7.359178066253662,1994-01-13
7.526432037353516,1994-01-14
7.69368839263916,1994-01-17
7.526432037353516,1994-01-18
7.860942363739014,1994-01-19
7.526432037353516,1994-01-20
7.41493034362793,1994-01-21
7.526432037353516,1994-01-24
7.526432037353516,1994-01-25
7.4706830978393555,1994-01-26
7.359178066253662,1994-01-27
7.4706830978393555,1994-01-28
7.582184314727783,1994-01-31
7.749439239501953,1994-02-01
8.195450782775879,1994-02-02
8.083948135375977,1994-02-03
8.028194427490234,1994-02-04
8.028194427490234,1994-02-07
7.831294059753418,1994-02-08
7.999109268188477,1994-02-09
7.887233734130859,1994-02-10
7.719420433044434,1994-02-11
7.663481712341309,1994-02-14
7.607542991638184,1994-02-15
7.607542991638184,1994-02-16
7.719420433044434,1994-02-17
7.719420433044434,1994-02-18
7.831294059753418,1994-02-22
7.831294059753418,1994-02-23
7.719420433044434,1994-02-24
7.831294059753418,1994-02-25
7.775357723236084,1994-02-28
7.831294059753418,1994-03-01
7.775357723236084,1994-03-02
7.607542991638184,1994-03-03
8.055045127868652,1994-03-04
8.110984802246094,1994-03-07
7.999109268188477,1994-03-08
7.887233734130859,1994-03-09
7.607542991638184,1994-03-10
7.607542991638184,1994-03-11
7.999109268188477,1994-03-14
7.999109268188477,1994-03-15
8.055045127868652,1994-03-16
7.999109268188477,1994-03-17
7.887233734130859,1994-03-18
7.887233734130859,1994-03-21
8.055045127868652,1994-03-22
8.110984802246094,1994-03-23
8.055045127868652,1994-03-24
8.055045127868652,1994-03-25
7.943170070648193,1994-03-28
7.663481712341309,1994-03-29
7.607542991638184,1994-03-30
7.551604270935059,1994-03-31
7.719420433044434,1994-04-04
7.999109268188477,1994-04-05
7.719420433044434,1994-04-06
7.719420433044434,1994-04-07
7.607542991638184,1994-04-08
7.719420433044434,1994-04-11
7.663481712341309,1994-04-12
7.551604270935059,1994-04-13
7.551604270935059,1994-04-14
7.663481712341309,1994-04-15
7.887233734130859,1994-04-18
7.607542991638184,1994-04-19
7.495668888092041,1994-04-20
7.551604270935059,1994-04-21
7.831294059753418,1994-04-22
7.775357723236084,1994-04-25
7.831294059753418,1994-04-26
7.999109268188477,1994-04-28
7.943170070648193,1994-04-29
7.887233734130859,1994-05-02
7.887233734130859,1994-05-03
8.110984802246094,1994-05-04
7.887233734130859,1994-05-05
8.222860336303711,1994-05-06
8.081433296203613,1994-05-09
8.249797821044922,1994-05-10
7.913073539733887,1994-05-11
7.7447099685668945,1994-05-12
7.7447099685668945,1994-05-13
7.800829887390137,1994-05-16
7.800829887390137,1994-05-17
7.96919059753418,1994-05-18
8.081433296203613,1994-05-19
8.081433296203613,1994-05-20
