GIS,Date
0.3098596930503845,1980-03-17
0.3154936730861664,1980-03-18
0.31737151741981506,1980-03-19
0.31924960017204285,1980-03-20
0.3136155903339386,1980-03-21
0.31737151741981506,1980-03-24
0.3136155903339386,1980-03-25
0.32112735509872437,1980-03-26
0.3136155903339386,1980-03-27
0.336151123046875,1980-03-28
0.33990707993507385,1980-03-31
0.3511742651462555,1980-04-01
0.36056405305862427,1980-04-02
0.358686238527298,1980-04-03
0.358686238527298,1980-04-07
0.3699539005756378,1980-04-08
0.37370985746383667,1980-04-09
0.3755876421928406,1980-04-10
0.37183189392089844,1980-04-11
0.35680824518203735,1980-04-14
0.35493043065071106,1980-04-15
0.3530527353286743,1980-04-16
0.34929659962654114,1980-04-17
0.3511742651462555,1980-04-18
0.3511742651462555,1980-04-21
0.35680824518203735,1980-04-22
0.3530527353286743,1980-04-23
0.343662828207016,1980-04-24
0.336151123046875,1980-04-25
0.3417849540710449,1980-04-28
0.34929659962654114,1980-04-29
0.35493043065071106,1980-04-30
0.3511742651462555,1980-05-01
0.34929659962654114,1980-05-02
0.35680824518203735,1980-05-05
0.36431992053985596,1980-05-06
0.3755876421928406,1980-05-07
0.3755876421928406,1980-05-08
0.3774656653404236,1980-05-09
0.3812215030193329,1980-05-12
0.38685503602027893,1980-05-13
0.40375688672065735,1980-05-14
0.407512903213501,1980-05-15
0.41126853227615356,1980-05-16
0.409390389919281,1980-05-19
0.40187883377075195,1980-05-20
0.3962450325489044,1980-05-21
0.41126853227615356,1980-05-22
0.41878023743629456,1980-05-23
0.4169023633003235,1980-05-27
0.41502460837364197,1980-05-28
0.41314637660980225,1980-05-29
0.41878023743629456,1980-05-30
0.42253637313842773,1980-06-02
0.41878023743629456,1980-06-03
0.41878023743629456,1980-06-04
0.42065852880477905,1980-06-05
0.40563467144966125,1980-06-06
0.409390389919281,1980-06-09
0.40187883377075195,1980-06-10
0.3981229364871979,1980-06-11
0.3943670392036438,1980-06-12
0.3962450325489044,1980-06-13
0.40187883377075195,1980-06-16
0.41314637660980225,1980-06-17
0.41502460837364197,1980-06-18
0.409390389919281,1980-06-19
0.40187883377075195,1980-06-20
0.4000009596347809,1980-06-23
0.41878023743629456,1980-06-24
0.42253637313842773,1980-06-25
0.41502460837364197,1980-06-26
0.41502460837364197,1980-06-27
0.41314637660980225,1980-06-30
0.409390389919281,1980-07-01
0.41126853227615356,1980-07-02
0.407512903213501,1980-07-03
0.41314637660980225,1980-07-07
0.4000009596347809,1980-07-08
0.40375688672065735,1980-07-09
0.3962450325489044,1980-07-10
0.40187883377075195,1980-07-11
0.40563467144966125,1980-07-14
0.40375688672065735,1980-07-15
0.40187883377075195,1980-07-16
0.3981229364871979,1980-07-17
0.3981229364871979,1980-07-18
0.3906112015247345,1980-07-21
0.3906112015247345,1980-07-22
0.38685503602027893,1980-07-23
0.3943670392036438,1980-07-24
0.39248940348625183,1980-07-25
0.4000009596347809,1980-07-28
0.40563467144966125,1980-07-29
0.41502460837364197,1980-07-30
0.41314637660980225,1980-07-31
0.42065852880477905,1980-08-01
0.44882726669311523,1980-08-04
0.4431932866573334,1980-08-05
0.4413154721260071,1980-08-06
0.43943750858306885,1980-08-07
0.43943750858306885,1980-08-08
0.4450714588165283,1980-08-11
0.44694915413856506,1980-08-12
0.44882726669311523,1980-08-13
0.4507055878639221,1980-08-14
0.4582172930240631,1980-08-15
0.4431932866573334,1980-08-18
0.4375596046447754,1980-08-19
0.4319259822368622,1980-08-20
0.4319259822368622,1980-08-21
0.4375596046447754,1980-08-22
0.4413154721260071,1980-08-25
0.43568167090415955,1980-08-26
0.4300477206707001,1980-08-27
0.42629197239875793,1980-08-28
0.42065852880477905,1980-08-29
0.42441409826278687,1980-09-02
0.4281700551509857,1980-09-03
0.4281700551509857,1980-09-04
0.42629197239875793,1980-09-05
0.42441409826278687,1980-09-08
0.42441409826278687,1980-09-09
0.42253637313842773,1980-09-10
0.4169023633003235,1980-09-11
0.42065852880477905,1980-09-12
0.41878023743629456,1980-09-15
0.42065852880477905,1980-09-16
0.42065852880477905,1980-09-17
0.42441409826278687,1980-09-18
0.42253637313842773,1980-09-19
0.43568167090415955,1980-09-22
0.433803528547287,1980-09-23
0.4375596046447754,1980-09-24
0.433803528547287,1980-09-25
0.4169023633003235,1980-09-26
0.40563467144966125,1980-09-29
0.41502460837364197,1980-09-30
0.4169023633003235,1980-10-01
0.409390389919281,1980-10-02
0.409390389919281,1980-10-03
0.407512903213501,1980-10-06
0.407512903213501,1980-10-07
0.409390389919281,1980-10-08
0.409390389919281,1980-10-09
0.409390389919281,1980-10-10
0.41126853227615356,1980-10-13
0.407512903213501,1980-10-14
0.40563467144966125,1980-10-15
0.40375688672065735,1980-10-16
0.3981229364871979,1980-10-17
0.39248940348625183,1980-10-20
0.3906112015247345,1980-10-21
0.3755876421928406,1980-10-22
0.3774656653404236,1980-10-23
0.37370985746383667,1980-10-24
0.37934350967407227,1980-10-27
0.3755876421928406,1980-10-28
0.3812215030193329,1980-10-29
0.37934350967407227,1980-10-30
0.37934350967407227,1980-10-31
0.3812215030193329,1980-11-03
0.38685503602027893,1980-11-05
0.37183189392089844,1980-11-06
0.36056405305862427,1980-11-07
0.36431992053985596,1980-11-10
0.3699539005756378,1980-11-11
0.37370985746383667,1980-11-12
0.3680758774280548,1980-11-13
0.3680758774280548,1980-11-14
0.36431992053985596,1980-11-17
0.37183189392089844,1980-11-18
0.3699539005756378,1980-11-19
0.36056405305862427,1980-11-20
0.3624420464038849,1980-11-21
