CSX,Date
0.12912869453430176,1980-11-03
0.13027478754520416,1980-11-05
0.12760043144226074,1980-11-06
0.12683625519275665,1980-11-07
0.127218559384346,1980-11-10
0.1314208060503006,1980-11-11
0.13600529730319977,1980-11-12
0.13944359123706818,1980-11-13
0.13906152546405792,1980-11-14
0.13791543245315552,1980-11-17
0.1402079164981842,1980-11-18
0.1402079164981842,1980-11-19
0.13791543245315552,1980-11-20
0.13906152546405792,1980-11-21
0.1386795938014984,1980-11-24
0.13906152546405792,1980-11-25
0.13829734921455383,1980-11-26
0.13906152546405792,1980-11-28
0.13791543245315552,1980-12-01
0.13600529730319977,1980-12-02
0.13715125620365143,1980-12-03
0.1386795938014984,1980-12-04
0.13600529730319977,1980-12-05
0.13333092629909515,1980-12-08
0.13409508764743805,1980-12-09
0.13409508764743805,1980-12-10
0.12874650955200195,1980-12-11
0.1314208060503006,1980-12-12
0.134476900100708,1980-12-15
0.13256679475307465,1980-12-16
0.13409508764743805,1980-12-17
0.13676930963993073,1980-12-18
0.13715125620365143,1980-12-19
0.1402079164981842,1980-12-22
0.14326408505439758,1980-12-23
0.14784856140613556,1980-12-24
0.1482304334640503,1980-12-26
0.1447918862104416,1980-12-29
0.1451743096113205,1980-12-30
0.14593826234340668,1980-12-31
0.14632023870944977,1981-01-02
0.1489945650100708,1981-01-05
0.14975868165493011,1981-01-06
0.14670208096504211,1981-01-07
0.1447918862104416,1981-01-08
0.14288175106048584,1981-01-09
0.14402811229228973,1981-01-12
0.14288175106048584,1981-01-13
0.1424998939037323,1981-01-14
0.14441002905368805,1981-01-15
0.14784856140613556,1981-01-16
0.15205080807209015,1981-01-19
0.15243305265903473,1981-01-20
0.1531968116760254,1981-01-21
0.15205080807209015,1981-01-22
0.15166893601417542,1981-01-23
0.14975868165493011,1981-01-26
0.15357907116413116,1981-01-27
0.15587113797664642,1981-01-28
0.1566353291273117,1981-01-29
0.16045568883419037,1981-01-30
0.15587113797664642,1981-02-02
0.15701711177825928,1981-02-03
0.1589273363351822,1981-02-04
0.15739940106868744,1981-02-05
0.15816356241703033,1981-02-06
0.15205080807209015,1981-02-09
0.15205080807209015,1981-02-10
0.14861223101615906,1981-02-11
0.1405896246433258,1981-02-12
0.1386795938014984,1981-02-13
0.14415113627910614,1981-02-17
0.14880093932151794,1981-02-18
