HAS,Date
0.051303643733263016,1980-03-17
0.048096880316734314,1980-03-18
0.05344104394316673,1980-03-19
0.05237258970737457,1980-03-20
0.051303643733263016,1980-03-21
0.04916580766439438,1980-03-24
0.0459594763815403,1980-03-25
0.04489058628678322,1980-03-26
0.03847748041152954,1980-03-27
0.04168427735567093,1980-03-28
0.04275272414088249,1980-03-31
0.04275272414088249,1980-04-01
0.04489058628678322,1980-04-02
0.04489058628678322,1980-04-03
0.04489058628678322,1980-04-07
0.04382164776325226,1980-04-08
0.04382164776325226,1980-04-09
0.04702841490507126,1980-04-10
0.048096880316734314,1980-04-11
0.04702841490507126,1980-04-14
0.0459594763815403,1980-04-15
0.04382164776325226,1980-04-16
0.04275272414088249,1980-04-17
0.04489058628678322,1980-04-18
0.04489058628678322,1980-04-21
0.051303643733263016,1980-04-22
0.054509978741407394,1980-04-23
0.057716697454452515,1980-04-24
0.05557883903384209,1980-04-25
0.05985410884022713,1980-04-28
0.05664777755737305,1980-04-29
0.054509978741407394,1980-04-30
0.054509978741407394,1980-05-01
0.05344104394316673,1980-05-02
0.05557883903384209,1980-05-05
0.05557883903384209,1980-05-06
0.05557883903384209,1980-05-07
0.054509978741407394,1980-05-08
0.054509978741407394,1980-05-09
0.05664777755737305,1980-05-12
0.05557883903384209,1980-05-13
0.05557883903384209,1980-05-14
0.05557883903384209,1980-05-15
0.05557883903384209,1980-05-16
0.05557883903384209,1980-05-19
0.05664777755737305,1980-05-20
0.05664777755737305,1980-05-21
0.05557883903384209,1980-05-22
0.054509978741407394,1980-05-23
0.05664777755737305,1980-05-27
0.05557883903384209,1980-05-28
0.05878515541553497,1980-05-29
0.05664777755737305,1980-05-30
0.05557883903384209,1980-06-02
0.05557883903384209,1980-06-03
0.057716697454452515,1980-06-04
0.05985410884022713,1980-06-05
0.05878515541553497,1980-06-06
0.05985410884022713,1980-06-09
0.057716697454452515,1980-06-10
0.05557883903384209,1980-06-11
0.05664777755737305,1980-06-12
0.054509978741407394,1980-06-13
0.054509978741407394,1980-06-16
0.054509978741407394,1980-06-17
