SO,Date
0.29528748989105225,1981-12-31
0.30143946409225464,1982-01-04
0.2983632981777191,1982-01-05
0.2983632981777191,1982-01-06
0.29528748989105225,1982-01-07
0.30143946409225464,1982-01-08
0.30143946409225464,1982-01-11
0.29528748989105225,1982-01-12
0.29221153259277344,1982-01-13
0.29221153259277344,1982-01-14
0.2983632981777191,1982-01-15
0.2983632981777191,1982-01-18
0.2983632981777191,1982-01-19
0.29528748989105225,1982-01-20
0.30143946409225464,1982-01-21
0.30143946409225464,1982-01-22
0.30143946409225464,1982-01-25
0.3022027611732483,1982-01-26
0.2958405017852783,1982-01-27
0.3022027611732483,1982-01-28
0.3085649311542511,1982-01-29
0.2990216314792633,1982-02-01
0.3022027611732483,1982-02-02
0.3022027611732483,1982-02-03
0.3022027611732483,1982-02-04
0.3053838908672333,1982-02-05
0.2990216314792633,1982-02-08
0.2990216314792633,1982-02-09
0.2990216314792633,1982-02-10
0.2990216314792633,1982-02-11
0.2990216314792633,1982-02-12
0.2958405017852783,1982-02-16
0.2958405017852783,1982-02-17
0.2958405017852783,1982-02-18
0.2958405017852783,1982-02-19
0.2926594316959381,1982-02-22
0.2958405017852783,1982-02-23
0.3053838908672333,1982-02-24
0.3053838908672333,1982-02-25
0.3085649311542511,1982-02-26
0.3085649311542511,1982-03-01
0.3117460608482361,1982-03-02
0.3117460608482361,1982-03-03
0.3149271607398987,1982-03-04
0.3149271607398987,1982-03-05
0.3117460608482361,1982-03-08
0.3149271607398987,1982-03-09
0.3149271607398987,1982-03-10
0.3085649311542511,1982-03-11
0.3117460608482361,1982-03-12
0.3117460608482361,1982-03-15
0.3117460608482361,1982-03-16
0.3149271607398987,1982-03-17
0.3117460608482361,1982-03-18
0.3149271607398987,1982-03-19
0.3181079626083374,1982-03-22
0.32128918170928955,1982-03-23
0.3181079626083374,1982-03-24
0.32128918170928955,1982-03-25
0.3181079626083374,1982-03-26
0.3244704008102417,1982-03-29
0.3308326005935669,1982-03-30
0.3340134620666504,1982-03-31
0.3371947407722473,1982-04-01
0.3371947407722473,1982-04-02
0.3403756022453308,1982-04-05
0.3340134620666504,1982-04-06
0.3371947407722473,1982-04-07
0.3371947407722473,1982-04-08
0.3340134620666504,1982-04-12
0.3371947407722473,1982-04-13
0.3371947407722473,1982-04-14
0.3403756022453308,1982-04-15
0.3371947407722473,1982-04-16
0.3403756022453308,1982-04-19
0.3371947407722473,1982-04-20
0.3371947407722473,1982-04-21
0.3403756022453308,1982-04-22
0.34355685114860535,1982-04-23
0.34355685114860535,1982-04-26
0.341064453125,1982-04-27
0.3345056474208832,1982-04-28
0.3345056474208832,1982-04-29
0.3377849757671356,1982-04-30
0.3377849757671356,1982-05-03
0.3377849757671356,1982-05-04
0.3345056474208832,1982-05-05
0.3377849757671356,1982-05-06
0.341064453125,1982-05-07
0.3377849757671356,1982-05-10
0.3377849757671356,1982-05-11
0.3377849757671356,1982-05-12
0.3377849757671356,1982-05-13
0.3345056474208832,1982-05-14
0.3312261402606964,1982-05-17
0.3312261402606964,1982-05-18
0.3312261402606964,1982-05-19
0.3312261402606964,1982-05-20
0.3312261402606964,1982-05-21
0.3345056474208832,1982-05-24
0.3345056474208832,1982-05-25
0.3312261402606964,1982-05-26
0.3312261402606964,1982-05-27
0.32794660329818726,1982-05-28
0.3312261402606964,1982-06-01
0.32794660329818726,1982-06-02
0.3246670365333557,1982-06-03
0.3181079626083374,1982-06-04
0.3181079626083374,1982-06-07
0.3181079626083374,1982-06-08
0.3181079626083374,1982-06-09
0.3213876485824585,1982-06-10
0.3246670365333557,1982-06-11
0.3246670365333557,1982-06-14
0.3213876485824585,1982-06-15
0.3213876485824585,1982-06-16
0.3181079626083374,1982-06-17
0.3181079626083374,1982-06-18
0.31482869386672974,1982-06-21
0.3213876485824585,1982-06-22
0.3213876485824585,1982-06-23
0.3181079626083374,1982-06-24
0.3181079626083374,1982-06-25
0.3181079626083374,1982-06-28
0.3246670365333557,1982-06-29
0.32794660329818726,1982-06-30
0.32794660329818726,1982-07-01
0.32794660329818726,1982-07-02
0.32794660329818726,1982-07-06
0.3246670365333557,1982-07-07
0.32794660329818726,1982-07-08
0.3312261402606964,1982-07-09
0.341064453125,1982-07-12
0.341064453125,1982-07-13
0.341064453125,1982-07-14
0.341064453125,1982-07-15
0.341064453125,1982-07-16
0.34434378147125244,1982-07-19
0.34762340784072876,1982-07-20
0.34434378147125244,1982-07-21
0.34762340784072876,1982-07-22
0.34762340784072876,1982-07-23
0.34762340784072876,1982-07-26
0.34220218658447266,1982-07-27
0.3455905318260193,1982-07-28
0.3455905318260193,1982-07-29
0.3489784896373749,1982-07-30
0.3455905318260193,1982-08-02
0.3489784896373749,1982-08-03
0.3455905318260193,1982-08-04
0.3489784896373749,1982-08-05
0.3489784896373749,1982-08-06
0.3489784896373749,1982-08-09
0.3489784896373749,1982-08-10
0.3489784896373749,1982-08-11
0.3557548224925995,1982-08-12
0.3625310957431793,1982-08-13
0.365919291973114,1982-08-16
0.38285982608795166,1982-08-17
0.38285982608795166,1982-08-18
0.38285982608795166,1982-08-19
0.3930246829986572,1982-08-20
0.3896362781524658,1982-08-23
0.3930246829986572,1982-08-24
0.3896362781524658,1982-08-25
0.3896362781524658,1982-08-26
0.3896362781524658,1982-08-27
0.3930246829986572,1982-08-30
0.3930246829986572,1982-08-31
0.38285982608795166,1982-09-01
0.38285982608795166,1982-09-02
0.3896362781524658,1982-09-03
0.38624799251556396,1982-09-07
0.38624799251556396,1982-09-08
0.3896362781524658,1982-09-09
