ED,Date
0.2599295675754547,1962-01-02
0.2599295675754547,1962-01-03
0.25912708044052124,1962-01-04
0.25351157784461975,1962-01-05
0.25471481680870056,1962-01-08
0.25431376695632935,1962-01-09
0.25351157784461975,1962-01-10
0.25471481680870056,1962-01-11
0.25672048330307007,1962-01-12
0.25752294063568115,1962-01-15
0.25391268730163574,1962-01-16
0.25351157784461975,1962-01-17
0.25351157784461975,1962-01-18
0.25311052799224854,1962-01-19
0.2527092695236206,1962-01-22
0.24950025975704193,1962-01-23
0.24869810044765472,1962-01-24
0.2446867674589157,1962-01-25
0.2446867674589157,1962-01-26
0.24589025974273682,1962-01-29
0.2495361864566803,1962-01-30
0.24872596561908722,1962-01-31
0.2495361864566803,1962-02-01
0.2495361864566803,1962-02-02
0.2495361864566803,1962-02-05
0.24913093447685242,1962-02-06
0.250346302986145,1962-02-07
0.24832074344158173,1962-02-08
0.2495361864566803,1962-02-09
0.2495361864566803,1962-02-12
0.2531817555427551,1962-02-13
0.25682756304740906,1962-02-14
0.26006844639778137,1962-02-15
0.2564225494861603,1962-02-16
0.2572326362133026,1962-02-19
0.2584479749202728,1962-02-20
0.2548021078109741,1962-02-21
0.25439682602882385,1962-02-23
0.25358694791793823,1962-02-26
0.2519664168357849,1962-02-27
0.2527766525745392,1962-02-28
0.25439682602882385,1962-03-01
0.25439682602882385,1962-03-02
0.2548021078109741,1962-03-05
0.2527766525745392,1962-03-06
0.2531817555427551,1962-03-07
0.25561243295669556,1962-03-08
0.2608785033226013,1962-03-09
0.2620938718318939,1962-03-12
0.2624989151954651,1962-03-13
0.26168856024742126,1962-03-14
0.2612834870815277,1962-03-15
0.26168856024742126,1962-03-16
0.2624989151954651,1962-03-19
0.2624989151954651,1962-03-20
0.2637140452861786,1962-03-21
0.2629038989543915,1962-03-22
0.26411938667297363,1962-03-23
0.266549676656723,1962-03-26
0.26735997200012207,1962-03-27
0.26573967933654785,1962-03-28
0.2649295926094055,1962-03-29
0.2624989151954651,1962-03-30
0.2596632242202759,1962-04-02
0.25925809144973755,1962-04-03
0.25763779878616333,1962-04-04
0.2580428421497345,1962-04-05
0.26006844639778137,1962-04-06
0.25601744651794434,1962-04-09
0.2580428421497345,1962-04-10
0.25763779878616333,1962-04-11
0.25763779878616333,1962-04-12
0.25763779878616333,1962-04-13
0.2580428421497345,1962-04-16
0.2596632242202759,1962-04-17
0.2580428421497345,1962-04-18
0.2580428421497345,1962-04-19
0.2580428421497345,1962-04-23
0.25763779878616333,1962-04-24
0.258853018283844,1962-04-25
0.25601744651794434,1962-04-26
0.2548021078109741,1962-04-27
0.2548021078109741,1962-04-30
0.25357508659362793,1962-05-01
0.25357508659362793,1962-05-02
0.25398409366607666,1962-05-03
0.2519393265247345,1962-05-04
0.25357508659362793,1962-05-07
0.2511214017868042,1962-05-08
0.25030338764190674,1962-05-09
0.2511214017868042,1962-05-10
0.24580438435077667,1962-05-11
0.2470313012599945,1962-05-14
0.24866725504398346,1962-05-15
0.25153034925460815,1962-05-16
0.25030338764190674,1962-05-17
0.25153034925460815,1962-05-18
