NTRS,Date
0.3746275305747986,1980-03-17
0.36816856265068054,1980-03-18
0.36816856265068054,1980-03-19
0.36816856265068054,1980-03-20
0.3649387061595917,1980-03-21
0.3649387061595917,1980-03-24
0.3649387061595917,1980-03-25
0.3649387061595917,1980-03-26
0.35847964882850647,1980-03-27
0.3649387061595917,1980-03-28
0.37139779329299927,1980-03-31
0.37139779329299927,1980-04-01
0.3746275305747986,1980-04-02
0.3746275305747986,1980-04-03
0.3746275305747986,1980-04-07
0.3746275305747986,1980-04-08
0.3746275305747986,1980-04-09
0.37139779329299927,1980-04-10
0.37139779329299927,1980-04-11
0.37139779329299927,1980-04-14
0.37139779329299927,1980-04-15
0.37139779329299927,1980-04-16
0.3746275305747986,1980-04-17
0.3746275305747986,1980-04-18
0.3746275305747986,1980-04-21
0.3746275305747986,1980-04-22
0.381086528301239,1980-04-23
0.3875454068183899,1980-04-24
0.394004762172699,1980-04-25
0.39723461866378784,1980-04-28
0.40046390891075134,1980-04-29
0.40369364619255066,1980-04-30
0.4069230556488037,1980-05-01
0.40369364619255066,1980-05-02
0.42952948808670044,1980-05-05
0.43275943398475647,1980-05-06
0.43275943398475647,1980-05-07
0.44567736983299255,1980-05-08
0.44567736983299255,1980-05-09
0.44567736983299255,1980-05-12
0.44567736983299255,1980-05-13
0.44567736983299255,1980-05-14
0.44567736983299255,1980-05-15
0.4392184019088745,1980-05-16
0.4392184019088745,1980-05-19
0.4359888434410095,1980-05-20
0.43275943398475647,1980-05-21
0.43275943398475647,1980-05-22
0.4392184019088745,1980-05-23
0.4392184019088745,1980-05-27
0.4392184019088745,1980-05-28
0.43275943398475647,1980-05-29
0.42952948808670044,1980-05-30
0.4263002872467041,1980-06-02
0.4263002872467041,1980-06-03
0.42307043075561523,1980-06-04
0.4263002872467041,1980-06-05
0.4263002872467041,1980-06-06
0.4263002872467041,1980-06-09
0.4263002872467041,1980-06-10
0.4263002872467041,1980-06-11
0.4263002872467041,1980-06-12
0.43275943398475647,1980-06-13
0.43275943398475647,1980-06-16
0.43275943398475647,1980-06-17
0.42952948808670044,1980-06-18
0.42952948808670044,1980-06-19
0.42952948808670044,1980-06-20
0.4263002872467041,1980-06-23
0.42307043075561523,1980-06-24
0.4263002872467041,1980-06-25
0.42952948808670044,1980-06-26
0.4263002872467041,1980-06-27
0.4263002872467041,1980-06-30
0.42307043075561523,1980-07-01
0.4263002872467041,1980-07-02
0.4263002872467041,1980-07-03
0.42952948808670044,1980-07-07
0.43275943398475647,1980-07-08
0.4392184019088745,1980-07-09
0.4424479007720947,1980-07-10
0.4424479007720947,1980-07-11
0.4424479007720947,1980-07-14
0.44890740513801575,1980-07-15
0.4553663730621338,1980-07-16
0.4585958421230316,1980-07-17
0.461825430393219,1980-07-18
0.461825430393219,1980-07-21
0.4650548994541168,1980-07-22
0.4585958421230316,1980-07-23
0.4585958421230316,1980-07-24
0.4553663730621338,1980-07-25
0.4521368443965912,1980-07-28
0.4585958421230316,1980-07-29
0.4553663730621338,1980-07-30
0.4553663730621338,1980-07-31
0.4553663730621338,1980-08-01
0.4553663730621338,1980-08-04
0.4521368443965912,1980-08-05
0.4521368443965912,1980-08-06
0.4521368443965912,1980-08-07
0.4521368443965912,1980-08-08
0.4521368443965912,1980-08-11
0.4521368443965912,1980-08-12
0.44890740513801575,1980-08-13
0.4521368443965912,1980-08-14
0.4553663730621338,1980-08-15
0.4553663730621338,1980-08-18
0.4521368443965912,1980-08-19
0.4521368443965912,1980-08-20
0.4521368443965912,1980-08-21
0.4521368443965912,1980-08-22
0.4521368443965912,1980-08-25
0.4585958421230316,1980-08-26
0.4553663730621338,1980-08-27
0.4521368443965912,1980-08-28
0.4521368443965912,1980-08-29
0.4521368443965912,1980-09-02
0.4553663730621338,1980-09-03
0.4553663730621338,1980-09-04
0.4553663730621338,1980-09-05
0.4521368443965912,1980-09-08
0.4521368443965912,1980-09-09
0.4521368443965912,1980-09-10
0.4521368443965912,1980-09-11
0.4521368443965912,1980-09-12
0.4521368443965912,1980-09-15
0.4521368443965912,1980-09-16
0.4521368443965912,1980-09-17
0.4521368443965912,1980-09-18
0.44890740513801575,1980-09-19
0.44567736983299255,1980-09-22
0.44567736983299255,1980-09-23
0.44567736983299255,1980-09-24
0.4359888434410095,1980-09-25
0.4392184019088745,1980-09-26
0.4392184019088745,1980-09-29
0.4392184019088745,1980-09-30
0.4424479007720947,1980-10-01
0.44567736983299255,1980-10-02
0.44567736983299255,1980-10-03
0.44567736983299255,1980-10-06
0.4521368443965912,1980-10-07
0.4521368443965912,1980-10-08
0.4521368443965912,1980-10-09
0.4521368443965912,1980-10-10
0.461825430393219,1980-10-13
0.4747432470321655,1980-10-14
0.4779733121395111,1980-10-15
0.49089163541793823,1980-10-16
0.49089163541793823,1980-10-17
0.49089163541793823,1980-10-20
0.49089163541793823,1980-10-21
0.49089163541793823,1980-10-22
0.4844319820404053,1980-10-23
0.4779733121395111,1980-10-24
0.4715142548084259,1980-10-27
0.46828383207321167,1980-10-28
0.46828383207321167,1980-10-29
0.461825430393219,1980-10-30
0.461825430393219,1980-10-31
0.461825430393219,1980-11-03
0.461825430393219,1980-11-05
0.461825430393219,1980-11-06
0.461825430393219,1980-11-07
0.4585958421230316,1980-11-10
0.4553663730621338,1980-11-11
0.4585958421230316,1980-11-12
0.4585958421230316,1980-11-13
0.4585958421230316,1980-11-14
0.4585958421230316,1980-11-17
0.4585958421230316,1980-11-18
0.4585958421230316,1980-11-19
0.4585958421230316,1980-11-20
0.4585958421230316,1980-11-21
0.4585958421230316,1980-11-24
